k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.50000000|[121, 8, 1, 3]                                                             |  | used linear model with 129 points | iterate failure | actual_k=4
       2|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.25000000|[242, 16, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=4
       3|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.12500000|[363, 24, 3, 9]                                                            |  | used linear model with 129 points | iterate failure | actual_k=4
       4|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.06250000|[484, 32, 4, 12]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       5|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.03125000|[605, 40, 5, 15]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       6|[4.13645156361676, 0.0480222413068811, 0.1760889676516276, 0.0211788773343502, 1.6560911083412038, 0.0244638344037696, 1.1910687308453833, 0.0221863702926953, 0.2933004284380675, 0.0173002993235432, 0.3307754841013353, 0.0170561971551505, 0.0787272978250206, 0.0209295115494544, 0.2517466765200801, 0.0243172647655276, 1.3996039719246907, 0.0236370077472475, 1.170775141440883, 0.0224299397997457, 0.0919801829854196, 0.018369520058923, 0.1299960429815692, 0.0186529033902923, 0.3016646103847564, 0.0200993807060288, 0.1051595009664895, 0.0210849899211008, 0.1194415347856213, 0.017242522008702, 0.5461071484909158, 0.0203064994087917, 0.0054590722581028, 0.0200189000278702, 0.0898202884681233, 0.0207515939110269, 0.1085647935820305, 0.0204017421237397, 0.0415124625162648, 0.0190461597896616, 0.0976466084656499, 0.0195897350691866, 0.2852930443163626, 0.0202661573756378, 0.4212465363336604, 0.0196514958184086, 0.1622501353530474, 0.0188041239375161, 0.070782135850669, 0.0229319089625784, 0.3146146382936699, 0.0197672059862663, 0.1376010733555797, 0.0224384883642817, 0.2892314371212361, 0.0193792434505209, 0.062630944098675, 0.0185912766680756, 0.1534637403715799, 0.0201708663929616, 0.1949379833093811, 0.019282132215908, 0.1503665507030444, 0.0187492265246735, 0.3911507172435351, 0.0205739647598228]|171194.4598414406646043|      0.06250000|[726, 48, 6, 18]                                                           |  | used linear model with 129 points | iterate success | actual_k=4
       7|[4.13645156361676, 0.0480222413068811, 0.1760889676516276, 0.0211788773343502, 1.6560911083412038, 0.0244638344037696, 1.1910687308453833, 0.0221863702926953, 0.2933004284380675, 0.0173002993235432, 0.3307754841013353, 0.0170561971551505, 0.0787272978250206, 0.0209295115494544, 0.2517466765200801, 0.0243172647655276, 1.3996039719246907, 0.0236370077472475, 1.170775141440883, 0.0224299397997457, 0.0919801829854196, 0.018369520058923, 0.1299960429815692, 0.0186529033902923, 0.3016646103847564, 0.0200993807060288, 0.1051595009664895, 0.0210849899211008, 0.1194415347856213, 0.017242522008702, 0.5461071484909158, 0.0203064994087917, 0.0054590722581028, 0.0200189000278702, 0.0898202884681233, 0.0207515939110269, 0.1085647935820305, 0.0204017421237397, 0.0415124625162648, 0.0190461597896616, 0.0976466084656499, 0.0195897350691866, 0.2852930443163626, 0.0202661573756378, 0.4212465363336604, 0.0196514958184086, 0.1622501353530474, 0.0188041239375161, 0.070782135850669, 0.0229319089625784, 0.3146146382936699, 0.0197672059862663, 0.1376010733555797, 0.0224384883642817, 0.2892314371212361, 0.0193792434505209, 0.062630944098675, 0.0185912766680756, 0.1534637403715799, 0.0201708663929616, 0.1949379833093811, 0.019282132215908, 0.1503665507030444, 0.0187492265246735, 0.3911507172435351, 0.0205739647598228]|171194.4598414406646043|      0.03125000|[847, 56, 7, 21]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       8|[4.137172026675887, 0.0683095244858848, 0.1771294358836217, 0.0203229173764088, 1.653676084082859, 0.0339971415553957, 1.1907937506722417, 0.031165779688191, 0.2915459462949405, 0.0154233231433678, 0.3307496450298953, 0.0151643190661522, 0.0799566697354535, 0.0214133778731503, 0.2532046018875247, 0.023966574014953, 1.3983762107221236, 0.035003436123269, 1.170048105925276, 0.0338210829683223, 0.0917775135715378, 0.0182827065289682, 0.1295981242762321, 0.0199077845424105, 0.3005560463948241, 0.0190022680658749, 0.1052779124907256, 0.0192556822742714, 0.1183307485686729, 0.0187131544665506, 0.547876862801539, 0.0223586610835604, 0.0026972114080429, 0.0213805812262113, 0.0914490415040438, 0.0205649928387983, 0.1082397531355373, 0.018409278807097, 0.0409690440869157, 0.0202380227090841, 0.096951199489432, 0.0182569293822518, 0.2883607060643987, 0.0228588742586379, 0.4226133116976085, 0.0214440661798064, 0.1626678133937438, 0.0207176564445075, 0.0722592096136316, 0.025649581235518, 0.31541461362747, 0.0185393278247848, 0.140556164756639, 0.0225298416866828, 0.2873649624752291, 0.0215187429008336, 0.0598240606034955, 0.0187587182377387, 0.1539889900803643, 0.0205704934047645, 0.1927996222996327, 0.0186667839625024, 0.1493713516350163, 0.0195110662603577, 0.3926669963722563, 0.0214691355361624]|140237.3497796346200630|      0.06250000|[968, 64, 8, 24]                                                           |  | used linear model with 129 points | iterate success | actual_k=4
       9|[4.137172026675887, 0.0683095244858848, 0.1771294358836217, 0.0203229173764088, 1.653676084082859, 0.0339971415553957, 1.1907937506722417, 0.031165779688191, 0.2915459462949405, 0.0154233231433678, 0.3307496450298953, 0.0151643190661522, 0.0799566697354535, 0.0214133778731503, 0.2532046018875247, 0.023966574014953, 1.3983762107221236, 0.035003436123269, 1.170048105925276, 0.0338210829683223, 0.0917775135715378, 0.0182827065289682, 0.1295981242762321, 0.0199077845424105, 0.3005560463948241, 0.0190022680658749, 0.1052779124907256, 0.0192556822742714, 0.1183307485686729, 0.0187131544665506, 0.547876862801539, 0.0223586610835604, 0.0026972114080429, 0.0213805812262113, 0.0914490415040438, 0.0205649928387983, 0.1082397531355373, 0.018409278807097, 0.0409690440869157, 0.0202380227090841, 0.096951199489432, 0.0182569293822518, 0.2883607060643987, 0.0228588742586379, 0.4226133116976085, 0.0214440661798064, 0.1626678133937438, 0.0207176564445075, 0.0722592096136316, 0.025649581235518, 0.31541461362747, 0.0185393278247848, 0.140556164756639, 0.0225298416866828, 0.2873649624752291, 0.0215187429008336, 0.0598240606034955, 0.0187587182377387, 0.1539889900803643, 0.0205704934047645, 0.1927996222996327, 0.0186667839625024, 0.1493713516350163, 0.0195110662603577, 0.3926669963722563, 0.0214691355361624]|140237.3497796346200630|      0.03125000|[1089, 72, 9, 27]                                                          |  | used linear model with 129 points | iterate failure | actual_k=4
      10|[4.137292377852726, 0.0889280406018381, 0.1759947839008885, 0.022028235980441, 1.6549857287273357, 0.0479694578965138, 1.18866882977847, 0.0399769431698891, 0.2896023790914988, 0.0194138637801456, 0.3306059048089526, 0.0164232079500991, 0.074923760315731, 0.0226258422513006, 0.2523133150285256, 0.0254709371278613, 1.4001810360785794, 0.0402076734214973, 1.172124678747944, 0.0396663231054309, 0.0909510906766916, 0.0194819044367622, 0.1271496408807809, 0.0174646094259598, 0.301001102273304, 0.0207354464898772, 0.1032145339509939, 0.0184549976233492, 0.1190862304846977, 0.0149963860649301, 0.5464674264195248, 0.0264699979613792, 0.0019980592647799, 0.0233478870458346, 0.0927125865886339, 0.022305203483741, 0.1096029663872335, 0.0182618963251538, 0.0391903905708229, 0.0219659725051023, 0.1011985466211629, 0.0161050554295502, 0.2890842967596706, 0.0230921389353633, 0.4213492563492708, 0.0224079202095458, 0.1613027301241802, 0.0216651716269556, 0.0733178751266799, 0.0242291880732769, 0.3149566818357649, 0.0185122847825655, 0.1418657706515652, 0.0198924397619777, 0.2892284925632259, 0.0199444169156078, 0.0581593882855723, 0.0164711123708817, 0.1518613649142973, 0.0208421076637466, 0.1909683643526863, 0.0221952693596666, 0.149381812345, 0.0196708494643691, 0.3934051673432651, 0.0219054635338773]|123446.1689377836737549|      0.06250000|[1210, 80, 10, 30]                                                         |  | used linear model with 129 points | iterate success | actual_k=4
      11|[4.131420386163193, 0.1096058405774495, 0.1811567864167244, 0.0140222125560798, 1.6575648013318385, 0.0589478349881356, 1.1905890767598721, 0.0605050372346228, 0.2799169572832427, 0.0196706829434791, 0.3283368569086006, 0.0286994730824274, 0.0688447493408241, 0.0112662865608655, 0.2553246770002837, 0.0247935761010394, 1.3877009130063926, 0.0380969292843343, 1.184125116876594, 0.0445905391838823, 0.0894623254800638, 0.0179255177697982, 0.1279394004713224, 0.0303379514749205, 0.2990695451308174, 0.0333535714169679, 0.1120620132128708, 0.0206015763588129, 0.1200467165341694, 0.0249067798931899, 0.5432855626988018, 0.0249280373087064, 0.0014318856063285, 0.0149951516333145, 0.094311878689531, 0.0187136133835445, 0.0982911559087916, 0.0158118183944184, 0.0465596831224441, 0.0166253340291241, 0.1005676224391383, 0.0199927186362125, 0.3008203772750383, 0.0219575242282992, 0.4280508631536219, 0.0309004364727281, 0.1608598367240932, 0.0244726299063137, 0.0697426967294228, 0.0281712721796978, 0.322886740152472, 0.0209895646122776, 0.1534747884888802, 0.0214529742205697, 0.2850585548085427, 0.0165030418475567, 0.0657458659152259, 0.026820366464971, 0.1440379635172086, 0.0313037185118421, 0.2032384657599109, 0.0201778533489983, 0.1562784553414794, 0.0147630341287428, 0.3994052521731531, 0.0306037950853525]|112107.3608376300544478|      0.12500000|[1331, 88, 11, 33]                                                         |  | used linear model with 129 points | iterate success | actual_k=4
