k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.25000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[1.0333000779930612, 1.983529248236325, 1.151262732143908, 0.8290321645453762, 0.9863494256041121, 1.0939311772787863]|  0.6783157587051392|      0.50000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       4|[1.0333000779930612, 1.983529248236325, 1.151262732143908, 0.8290321645453762, 0.9863494256041121, 1.0939311772787863]|  0.6783157587051392|      0.25000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[1.0333000779930612, 1.983529248236325, 1.151262732143908, 0.8290321645453762, 0.9863494256041121, 1.0939311772787863]|  0.6783157587051392|      0.12500000|[121, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[1.0896003534947813, 1.995741694664246, 1.0884743570154094, 0.8545327669511663, 1.0443819397447534, 1.028009241181182]|  0.4969918648095394|      0.25000000|[145, 48, 1, 13]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
       7|[1.20156842167894, 1.9472937115520932, 1.1372219205555871, 0.7451810433403955, 1.22577641451485, 1.0474479848289298]|  0.3428226709365845|      0.50000000|[170, 56, 1, 15]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[1.20156842167894, 1.9472937115520932, 1.1372219205555871, 0.7451810433403955, 1.22577641451485, 1.0474479848289298]|  0.3428226709365845|      0.25000000|[194, 64, 1, 17]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[1.20156842167894, 1.9472937115520932, 1.1372219205555871, 0.7451810433403955, 1.22577641451485, 1.0474479848289298]|  0.3428226709365845|      0.12500000|[218, 72, 1, 19]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[1.20156842167894, 1.9472937115520932, 1.1372219205555871, 0.7451810433403955, 1.22577641451485, 1.0474479848289298]|  0.3428226709365845|      0.06250000|[242, 80, 2, 22]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      11|[1.2299858241212256, 1.9566121685860376, 1.1719705583121771, 0.7152071813165146, 1.2554589478049922, 1.0524394359059168]|  0.3216465115547180|      0.12500000|[267, 88, 2, 24]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      12|[1.2299858241212256, 1.9566121685860376, 1.1719705583121771, 0.7152071813165146, 1.2554589478049922, 1.0524394359059168]|  0.3216465115547180|      0.06250000|[291, 96, 3, 27]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
