k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.01378725628682, 149.95828532606888, -100.09094027633455, 1.1292617039408595, 1.9742010048442515]|84542.3696085899864556|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[49.01378725628682, 149.95828532606888, -100.09094027633455, 1.1292617039408595, 1.9742010048442515]|84542.3696085899864556|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[48.01757946649287, 149.89790359430702, -100.15020151302906, 1.1495054811020842, 1.9757441623124665]|81271.3546649160853121|      2.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[48.01757946649287, 149.89790359430702, -100.15020151302906, 1.1495054811020842, 1.9757441623124665]|81271.3546649160853121|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[47.025125231453764, 149.82170664222983, -100.21790097382316, 1.2147252363547028, 1.955950668935334]|78073.5297919674630975|      2.00000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[47.025125231453764, 149.82170664222983, -100.21790097382316, 1.2147252363547028, 1.955950668935334]|78073.5297919674630975|      1.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[46.02874389504327, 149.76142747489945, -100.27763230348548, 1.2192852949582715, 1.9573749445738893]|74933.7573051796643995|      2.00000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[46.02874389504327, 149.76142747489945, -100.27763230348548, 1.2192852949582715, 1.9573749445738893]|74933.7573051796643995|      1.00000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[45.03268530300409, 149.69966926108853, -100.34080669599739, 1.2267388179852776, 1.9599528074570114]|71860.0703327569790417|      2.00000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[45.03268530300409, 149.69966926108853, -100.34080669599739, 1.2267388179852776, 1.9599528074570114]|71860.0703327569790417|      1.00000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[44.041683928205984, 149.66704631479587, -100.37892352403581, 1.350788597691214, 1.956669805986007]|68877.3627251586731290|      2.00000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[42.06905008400711, 149.40877669213407, -100.56983511486263, 1.4221817842172995, 1.9350296549486292]|63078.3719875667520682|      4.00000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[42.06905008400711, 149.40877669213407, -100.56983511486263, 1.4221817842172995, 1.9350296549486292]|63078.3719875667520682|      2.00000000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[40.162697623443385, 149.370202418722, -100.61460480814057, 1.9900479839268002, 2.1346692685644]|57783.6676657183052157|      4.00000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[40.162697623443385, 149.370202418722, -100.61460480814057, 1.9900479839268002, 2.1346692685644]|57783.6676657183052157|      2.00000000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[38.1715987306288, 149.24134030427572, -100.74237349570895, 2.0298349457506717, 2.166479874325134]|52481.2393813118324033|      4.00000000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[38.1715987306288, 149.24134030427572, -100.74237349570895, 2.0298349457506717, 2.166479874325134]|52481.2393813118324033|      2.00000000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[36.254489130884835, 149.22420676129786, -100.84299683891575, 2.5892109084184343, 2.203502832958474]|47646.8147430771205109|      4.00000000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[36.254489130884835, 149.22420676129786, -100.84299683891575, 2.5892109084184343, 2.203502832958474]|47646.8147430771205109|      2.00000000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[34.26537362015228, 149.08164784875368, -100.9921698330764, 2.5818373632890412, 2.175404967154202]|42860.5331649411382386|      4.00000000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[34.26537362015228, 149.08164784875368, -100.9921698330764, 2.5818373632890412, 2.175404967154202]|42860.5331649411382386|      2.00000000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[32.27469506042831, 148.94887552029226, -101.13073411364861, 2.5786629613857412, 2.1564248730479503]|38337.6955386200788780|      4.00000000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[32.27469506042831, 148.94887552029226, -101.13073411364861, 2.5786629613857412, 2.1564248730479503]|38337.6955386200788780|      2.00000000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[30.28687467320657, 148.79367772987757, -101.2870086887272, 2.5773244566522244, 2.148664745142773]|34078.3979674906659056|      4.00000000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[30.28687467320657, 148.79367772987757, -101.2870086887272, 2.5773244566522244, 2.148664745142773]|34078.3979674906659056|      2.00000000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
