k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.037883885306359, -0.0097306162923077, 1.0878324622580793, 0.2572646923930501, 0.8251696316843169, 0.3608332063827459]|478.3136596679687500|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[-0.037883885306359, -0.0097306162923077, 1.0878324622580793, 0.2572646923930501, 0.8251696316843169, 0.3608332063827459]|478.3136596679687500|      1.00000000|[54, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[0.7232491114367625, 0.5461483601033674, 1.0853406351447235, -0.0649445218178901, 0.7433972937687131, 0.3267242237366198]|405.3794555664062500|      2.00000000|[80, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[0.7232491114367625, 0.5461483601033674, 1.0853406351447235, -0.0649445218178901, 0.7433972937687131, 0.3267242237366198]|405.3794555664062500|      1.00000000|[106, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[1.098210125671441, 1.1286116474720194, 1.4249381534616143, -0.0394356834840591, 1.3164417466422575, 0.0514359449768219]|288.8921813964843750|      2.00000000|[133, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[1.098210125671441, 1.1286116474720194, 1.4249381534616143, -0.0394356834840591, 1.3164417466422575, 0.0514359449768219]|288.8921813964843750|      1.00000000|[160, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[1.098210125671441, 1.1286116474720194, 1.4249381534616143, -0.0394356834840591, 1.3164417466422575, 0.0514359449768219]|288.8921813964843750|      0.50000000|[186, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[1.3042647758259336, 0.9487753152168221, 1.6318011989527381, 0.0621294567816167, 0.9698995125443766, 0.006702764561069]|216.5869140625000000|      1.00000000|[212, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       9|[1.3042647758259336, 0.9487753152168221, 1.6318011989527381, 0.0621294567816167, 0.9698995125443766, 0.006702764561069]|216.5869140625000000|      0.50000000|[238, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[1.3042647758259336, 0.9487753152168221, 1.6318011989527381, 0.0621294567816167, 0.9698995125443766, 0.006702764561069]|216.5869140625000000|      0.25000000|[264, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[1.3170555501635575, 1.0467403717650126, 1.7588040055584704, 0.083825643723288, 1.159883286287129, 0.0134088877537593]|171.7451934814453125|      0.50000000|[291, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[1.3170555501635575, 1.0467403717650126, 1.7588040055584704, 0.083825643723288, 1.159883286287129, 0.0134088877537593]|171.7451934814453125|      0.25000000|[318, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[1.3170555501635575, 1.0467403717650126, 1.7588040055584704, 0.083825643723288, 1.159883286287129, 0.0134088877537593]|171.7451934814453125|      0.12500000|[344, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[1.2630327082008896, 1.0666417874449585, 1.8551617434904601, 0.1365472369978068, 1.157806619699138, 0.0289579584436477]|164.5666961669921875|      0.25000000|[371, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      15|[1.2630327082008896, 1.0666417874449585, 1.8551617434904601, 0.1365472369978068, 1.157806619699138, 0.0289579584436477]|164.5666961669921875|      0.12500000|[398, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[1.2017129524877315, 0.9895949682824288, 1.8956216362838902, 0.1902289784368216, 1.1879531395421765, 0.0513438975302087]|158.7020263671875000|      0.25000000|[426, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      17|[1.2017129524877315, 0.9895949682824288, 1.8956216362838902, 0.1902289784368216, 1.1879531395421765, 0.0513438975302087]|158.7020263671875000|      0.12500000|[452, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      18|[1.106492186292771, 0.9756051998639576, 1.8806829177893702, 0.2473412341995401, 1.2273863412000279, 0.0877078852555498]|154.1032409667968750|      0.25000000|[478, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      19|[1.106492186292771, 0.9756051998639576, 1.8806829177893702, 0.2473412341995401, 1.2273863412000279, 0.0877078852555498]|154.1032409667968750|      0.12500000|[505, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[1.0880722385109831, 0.9605041061462305, 1.987079664773065, 0.2877104457364852, 1.201559220641149, 0.125664193388122]|148.3512420654296875|      0.25000000|[531, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[1.0880722385109831, 0.9605041061462305, 1.987079664773065, 0.2877104457364852, 1.201559220641149, 0.125664193388122]|148.3512420654296875|      0.12500000|[558, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      22|[1.0057158715345782, 0.940760741839883, 1.944245091316399, 0.3538357114980323, 1.2213360698007867, 0.1687240722358585]|143.5972290039062500|      0.25000000|[586, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      23|[1.0057158715345782, 0.940760741839883, 1.944245091316399, 0.3538357114980323, 1.2213360698007867, 0.1687240722358585]|143.5972290039062500|      0.12500000|[612, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      24|[1.0090581169821629, 0.9426519406996794, 2.054749252272533, 0.401809676849352, 1.2540611382173026, 0.1738866025482516]|140.1224212646484375|      0.25000000|[638, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      25|[1.0090581169821629, 0.9426519406996794, 2.054749252272533, 0.401809676849352, 1.2540611382173026, 0.1738866025482516]|140.1224212646484375|      0.12500000|[665, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      26|[0.9518303096585624, 0.8669480227982234, 2.060453260468124, 0.4696842186638105, 1.2096458204838267, 0.1713010082415585]|133.7234649658203125|      0.25000000|[691, 104, 0, 52]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      27|[0.9518303096585624, 0.8669480227982234, 2.060453260468124, 0.4696842186638105, 1.2096458204838267, 0.1713010082415585]|133.7234649658203125|      0.12500000|[717, 108, 0, 54]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      28|[0.9136565855698676, 0.8584532292999001, 2.0293407471357936, 0.5274920344413528, 1.2802781395289826, 0.2405610163855059]|130.5296173095703125|      0.25000000|[743, 112, 0, 56]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      29|[0.9136565855698676, 0.8584532292999001, 2.0293407471357936, 0.5274920344413528, 1.2802781395289826, 0.2405610163855059]|130.5296173095703125|      0.12500000|[769, 116, 0, 58]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      30|[0.9147421697682101, 0.8440751502357835, 2.1388379980038037, 0.5759846394947888, 1.2488752492760224, 0.2500357269675988]|125.0228805541992188|      0.25000000|[795, 120, 0, 60]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
