k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]                              | 51.0855557048649089|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.7823742441779123, -0.2845662012496394, 0.3857837346008521, 0.7924601295615243, 0.5411491749303007, 0.6828284256402429, 0.8058443696142651, 1.0510756078380932, 1.0879424449000759, 0.8583701007739329]| 38.5111427307128906|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[-0.0526622374525847, -0.266041781654818, 0.2046628951193362, 0.7184114581257128, -0.2549434134638898, 1.8220203777593027, 1.5064438030185636, 1.043425268643906, 1.560025459438091, 1.6450090119195937]| 18.8788528442382812|      4.00000000|[19, 0, 0, 7]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | iterate success | actual_k=0
       3|[-0.0526622374525847, -0.266041781654818, 0.2046628951193362, 0.7184114581257128, -0.2549434134638898, 1.8220203777593027, 1.5064438030185636, 1.043425268643906, 1.560025459438091, 1.6450090119195937]| 18.8788528442382812|      2.00000000|[31, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[-0.0526622374525847, -0.266041781654818, 0.2046628951193362, 0.7184114581257128, -0.2549434134638898, 1.8220203777593027, 1.5064438030185636, 1.043425268643906, 1.560025459438091, 1.6450090119195937]| 18.8788528442382812|      1.00000000|[43, 0, 0, 17]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[-0.0526622374525847, -0.266041781654818, 0.2046628951193362, 0.7184114581257128, -0.2549434134638898, 1.8220203777593027, 1.5064438030185636, 1.043425268643906, 1.560025459438091, 1.6450090119195937]| 18.8788528442382812|      0.50000000|[55, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-0.0526622374525847, -0.266041781654818, 0.2046628951193362, 0.7184114581257128, -0.2549434134638898, 1.8220203777593027, 1.5064438030185636, 1.043425268643906, 1.560025459438091, 1.6450090119195937]| 18.8788528442382812|      0.25000000|[67, 0, 0, 27]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-0.0526622374525847, -0.266041781654818, 0.2046628951193362, 0.7184114581257128, -0.2549434134638898, 1.8220203777593027, 1.5064438030185636, 1.043425268643906, 1.560025459438091, 1.6450090119195937]| 18.8788528442382812|      0.12500000|[79, 0, 0, 32]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[-0.0526622374525847, -0.266041781654818, 0.2046628951193362, 0.7184114581257128, -0.2549434134638898, 1.8220203777593027, 1.5064438030185636, 1.043425268643906, 1.560025459438091, 1.6450090119195937]| 18.8788528442382812|      0.06250000|[91, 0, 0, 37]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-0.0530468004032145, -0.2266939395180017, 0.1929538720279232, 0.7020822289039765, -0.2535481327332464, 1.8576365085500637, 1.5296488774413532, 1.0537884684608678, 1.5593096666954207, 1.6389044929134713]| 16.2957973480224609|      0.12500000|[101, 0, 0, 41]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | iterate success | actual_k=0
      10|[-0.0530468004032145, -0.2266939395180017, 0.1929538720279232, 0.7020822289039765, -0.2535481327332464, 1.8576365085500637, 1.5296488774413532, 1.0537884684608678, 1.5593096666954207, 1.6389044929134713]| 16.2957973480224609|      0.06250000|[113, 0, 0, 46]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
