k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 39.0, 41.5, 39.0]                                                        |897.5453780404944837|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.12430721999568, 39.08822432884195, 41.03523090438543, 38.90320996636892]    |851.9684448242187500|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[22.58213563393272, 38.70380724458672, 40.289946219185836, 39.861584132589876]  |735.5394897460937500|      4.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[21.75518871912966, 35.42529610013771, 39.51691347365977, 37.86911233851957]    |611.6683959960937500|      8.00000000|[14, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[16.419730451586926, 31.554722781753327, 43.848270785319954, 39.20735413320716] |236.6925506591796875|     16.00000000|[18, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[11.963617875967739, 20.937824299703266, 37.38168909865665, 48.24106038396396]  | 59.6364822387695312|     32.00000000|[23, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[11.963617875967739, 20.937824299703266, 37.38168909865665, 48.24106038396396]  | 59.6364822387695312|     16.00000000|[29, 13, 0, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-2.886745831804891, 21.648526003399382, 36.126137568211234, 54.01905235260057] |  5.4412140846252441|     32.00000000|[33, 15, 0, 15]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[-2.886745831804891, 21.648526003399382, 36.126137568211234, 54.01905235260057] |  5.4412140846252441|     16.00000000|[38, 17, 0, 17]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       9|[-2.886745831804891, 21.648526003399382, 36.126137568211234, 54.01905235260057] |  5.4412140846252441|      8.00000000|[43, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      10|[-2.886745831804891, 21.648526003399382, 36.126137568211234, 54.01905235260057] |  5.4412140846252441|      4.00000000|[48, 21, 0, 21]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      11|[-2.886745831804891, 21.648526003399382, 36.126137568211234, 54.01905235260057] |  5.4412140846252441|      2.00000000|[53, 23, 0, 23]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      12|[-1.632967802458055, 20.193567899872633, 35.785420455542315, 53.57740835655447] |  2.0271630287170410|      4.00000000|[58, 25, 0, 25]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-1.632967802458055, 20.193567899872633, 35.785420455542315, 53.57740835655447] |  2.0271630287170410|      2.00000000|[63, 27, 0, 27]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      14|[-1.632967802458055, 20.193567899872633, 35.785420455542315, 53.57740835655447] |  2.0271630287170410|      1.00000000|[68, 29, 0, 29]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[-0.6480156032525956, 20.035580209739198, 35.763917301141426, 53.51072500482826]|  0.6243779659271240|      2.00000000|[72, 31, 0, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[-0.6480156032525956, 20.035580209739198, 35.763917301141426, 53.51072500482826]|  0.6243779659271240|      1.00000000|[77, 33, 0, 33]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      17|[-0.6480156032525956, 20.035580209739198, 35.763917301141426, 53.51072500482826]|  0.6243779659271240|      0.50000000|[82, 35, 0, 35]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      18|[-0.5063643250657345, 19.819221196599784, 36.19034678083797, 53.54652432978143] |  0.4836335778236389|      1.00000000|[86, 37, 0, 37]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[0.3362895873529507, 19.470318156054642, 36.564101939385246, 53.715367847996184]|  0.0399506092071533|      2.00000000|[91, 39, 0, 39]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      20|[0.3362895873529507, 19.470318156054642, 36.564101939385246, 53.715367847996184]|  0.0399506092071533|      1.00000000|[96, 41, 0, 41]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
