k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.181258816046247, -1.6849202393281177, -0.0649311171139669, 0.0479561622430578, 0.045461795460522, 0.6752587281566942, -0.13704772952977]|57920.6797352005960420|      2.00000000|[8, 0, 1, 2]                                                               |  | used linear model with 8 points | iterate success | actual_k=0
       2|[10.181258816046247, -1.6849202393281177, -0.0649311171139669, 0.0479561622430578, 0.045461795460522, 0.6752587281566942, -0.13704772952977]|57920.6797352005960420|      1.00000000|[16, 0, 2, 4]                                                              |  | used linear model with 8 points | iterate failure | actual_k=0
       3|[10.181258816046247, -1.6849202393281177, -0.0649311171139669, 0.0479561622430578, 0.045461795460522, 0.6752587281566942, -0.13704772952977]|57920.6797352005960420|      0.50000000|[24, 0, 3, 6]                                                              |  | used linear model with 8 points | iterate failure | actual_k=0
       4|[10.181258816046247, -1.6849202393281177, -0.0649311171139669, 0.0479561622430578, 0.045461795460522, 0.6752587281566942, -0.13704772952977]|57920.6797352005960420|      0.25000000|[32, 0, 4, 8]                                                              |  | used linear model with 8 points | iterate failure | actual_k=0
       5|[10.353941737176077, -1.6929361986865747, -0.1742131813999215, -0.0387638533458388, 0.1141129212292226, 0.6342839697075913, -0.0548193003338894]|50631.8856117050963803|      0.50000000|[40, 0, 5, 10]                                                             |  | used linear model with 8 points | iterate success | actual_k=0
       6|[10.353941737176077, -1.6929361986865747, -0.1742131813999215, -0.0387638533458388, 0.1141129212292226, 0.6342839697075913, -0.0548193003338894]|50631.8856117050963803|      0.25000000|[48, 0, 6, 12]                                                             |  | used linear model with 8 points | iterate failure | actual_k=0
       7|[10.353941737176077, -1.6929361986865747, -0.1742131813999215, -0.0387638533458388, 0.1141129212292226, 0.6342839697075913, -0.0548193003338894]|50631.8856117050963803|      0.12500000|[56, 0, 7, 14]                                                             |  | used linear model with 8 points | iterate failure | actual_k=0
       8|[10.353941737176077, -1.6929361986865747, -0.1742131813999215, -0.0387638533458388, 0.1141129212292226, 0.6342839697075913, -0.0548193003338894]|50631.8856117050963803|      0.06250000|[64, 0, 8, 16]                                                             |  | used linear model with 8 points | iterate failure | actual_k=0
       9|[10.353941737176077, -1.6929361986865747, -0.1742131813999215, -0.0387638533458388, 0.1141129212292226, 0.6342839697075913, -0.0548193003338894]|50631.8856117050963803|      0.03125000|[72, 0, 9, 18]                                                             |  | used linear model with 8 points | iterate failure | actual_k=0
      10|[10.356592808648099, -1.6919336899895974, -0.1753127083704684, -0.0657279524781539, 0.116019454496189, 0.6324156966591932, -0.0395506271267957]|44960.7549936114737648|      0.06250000|[80, 0, 10, 20]                                                            |  | used linear model with 8 points | iterate success | actual_k=0
      11|[10.356592808648099, -1.6919336899895974, -0.1753127083704684, -0.0657279524781539, 0.116019454496189, 0.6324156966591932, -0.0395506271267957]|44960.7549936114737648|      0.03125000|[88, 0, 11, 22]                                                            |  | used linear model with 8 points | iterate failure | actual_k=0
      12|[10.356592808648099, -1.6919336899895974, -0.1753127083704684, -0.0657279524781539, 0.116019454496189, 0.6324156966591932, -0.0395506271267957]|44960.7549936114737648|      0.01562500|[96, 0, 12, 24]                                                            |  | used linear model with 8 points | iterate failure | actual_k=0
      13|[10.356592808648099, -1.6919336899895974, -0.1753127083704684, -0.0657279524781539, 0.116019454496189, 0.6324156966591932, -0.0395506271267957]|44960.7549936114737648|      0.00781250|[104, 0, 13, 26]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      14|[10.356592808648099, -1.6919336899895974, -0.1753127083704684, -0.0657279524781539, 0.116019454496189, 0.6324156966591932, -0.0395506271267957]|44960.7549936114737648|      0.00390625|[112, 0, 14, 28]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      15|[10.356592808648099, -1.6919336899895974, -0.1753127083704684, -0.0657279524781539, 0.116019454496189, 0.6324156966591932, -0.0395506271267957]|44960.7549936114737648|      0.00195312|[120, 0, 15, 30]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      16|[10.357108122690823, -1.6925026583481577, -0.1757847540327555, -0.0667143644727475, 0.1162174806037865, 0.6333427715359017, -0.0384871865721444]|44664.5499242991791107|      0.00390625|[128, 0, 16, 32]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      17|[10.357108122690823, -1.6925026583481577, -0.1757847540327555, -0.0667143644727475, 0.1162174806037865, 0.6333427715359017, -0.0384871865721444]|44664.5499242991791107|      0.00195312|[136, 0, 17, 34]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      18|[10.355836797761503, -1.6919149219108511, -0.1760560814897189, -0.0678953772160808, 0.116653109667696, 0.6329351196885226, -0.0386564014389961]|44518.3063517049304210|      0.00390625|[144, 0, 18, 36]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      19|[10.355836797761503, -1.6919149219108511, -0.1760560814897189, -0.0678953772160808, 0.116653109667696, 0.6329351196885226, -0.0386564014389961]|44518.3063517049304210|      0.00195312|[152, 0, 19, 38]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      20|[10.355779805975073, -1.6917259172183623, -0.1762948742084196, -0.0690512785792291, 0.1162164819441757, 0.6327139629460028, -0.0371924880431353]|44371.3492601548059611|      0.00390625|[160, 0, 20, 40]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      21|[10.355779805975073, -1.6917259172183623, -0.1762948742084196, -0.0690512785792291, 0.1162164819441757, 0.6327139629460028, -0.0371924880431353]|44371.3492601548059611|      0.00195312|[168, 0, 21, 42]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      22|[10.355779805975073, -1.6917259172183623, -0.1762948742084196, -0.0690512785792291, 0.1162164819441757, 0.6327139629460028, -0.0371924880431353]|44371.3492601548059611|      0.00097656|[176, 0, 22, 44]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      23|[10.355779805975073, -1.6917259172183623, -0.1762948742084196, -0.0690512785792291, 0.1162164819441757, 0.6327139629460028, -0.0371924880431353]|44371.3492601548059611|      0.00048828|[184, 0, 23, 46]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      24|[10.355783273703342, -1.6917375661169896, -0.1763090637998501, -0.0692385030744292, 0.1161854310446746, 0.6326250446794381, -0.0376331079298022]|44290.0069720281026093|      0.00097656|[192, 0, 24, 48]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      25|[10.355793944144228, -1.69170588430337, -0.1764880378426374, -0.0701926051099797, 0.1161859530812144, 0.6326203795685338, -0.037734064765966]|44158.8062250028378912|      0.00195312|[200, 0, 25, 50]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      26|[10.35581536090513, -1.6919850826558416, -0.1749869141741415, -0.0713538718671906, 0.1164290932014379, 0.6328601573834008, -0.037867344921534]|44004.2822392935850075|      0.00390625|[208, 0, 26, 52]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      27|[10.35581536090513, -1.6919850826558416, -0.1749869141741415, -0.0713538718671906, 0.1164290932014379, 0.6328601573834008, -0.037867344921534]|44004.2822392935850075|      0.00195312|[216, 0, 27, 54]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      28|[10.35569364176954, -1.6919452406863458, -0.1748099676219566, -0.0724885957456799, 0.1151806997289956, 0.6323653000644938, -0.0386895468093124]|43895.5935282317150268|      0.00390625|[224, 0, 28, 56]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      29|[10.35569364176954, -1.6919452406863458, -0.1748099676219566, -0.0724885957456799, 0.1151806997289956, 0.6323653000644938, -0.0386895468093124]|43895.5935282317150268|      0.00195312|[232, 0, 29, 58]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      30|[10.355876202359413, -1.691859875074975, -0.1753771013329798, -0.0742151746712357, 0.1148782605767062, 0.6326714752147936, -0.0381546136235832]|43626.7163451178421383|      0.00390625|[240, 0, 30, 60]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      31|[10.355876202359413, -1.691859875074975, -0.1753771013329798, -0.0742151746712357, 0.1148782605767062, 0.6326714752147936, -0.0381546136235832]|43626.7163451178421383|      0.00195312|[248, 0, 31, 62]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      32|[10.355876202359413, -1.691859875074975, -0.1753771013329798, -0.0742151746712357, 0.1148782605767062, 0.6326714752147936, -0.0381546136235832]|43626.7163451178421383|      0.00097656|[256, 0, 32, 64]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      33|[10.356041034019945, -1.6919686045164855, -0.1752798641565251, -0.0750871458327422, 0.1147948053192711, 0.6325132726952476, -0.0378186059503475]|43511.4905629345666966|      0.00195312|[264, 0, 33, 66]                                                           |  | used linear model with 8 points | iterate success | actual_k=0
      34|[10.356041034019945, -1.6919686045164855, -0.1752798641565251, -0.0750871458327422, 0.1147948053192711, 0.6325132726952476, -0.0378186059503475]|43511.4905629345666966|      0.00097656|[272, 0, 34, 68]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
      35|[10.356041034019945, -1.6919686045164855, -0.1752798641565251, -0.0750871458327422, 0.1147948053192711, 0.6325132726952476, -0.0378186059503475]|43511.4905629345666966|      0.00048828|[280, 0, 35, 70]                                                           |  | used linear model with 8 points | iterate failure | actual_k=0
