k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 5.0, 1.0]                                                                 |634.1111111111110858|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0133512127387814, 4.000091027999304, 0.9980524808310226]                     |265.1957374099399090|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[3.2984660106394386, 2.475041021159465, 1.1487257460593356]                     | 42.3671745477809125|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[3.2984660106394386, 2.475041021159465, 1.1487257460593356]                     | 42.3671745477809125|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[3.2984660106394386, 2.475041021159465, 1.1487257460593356]                     | 42.3671745477809125|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[3.4846478810039536, 1.4925501641473597, 1.1556559001117412]                    |  7.5955053484808728|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[3.4846478810039536, 1.4925501641473597, 1.1556559001117412]                    |  7.5955053484808728|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[4.211441516956484, 0.9093468505711195, 1.5184849311616222]                     |  1.5170741054033881|      2.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[4.211441516956484, 0.9093468505711195, 1.5184849311616222]                     |  1.5170741054033881|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[4.211441516956484, 0.9093468505711195, 1.5184849311616222]                     |  1.5170741054033881|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[4.255574550607405, 0.4262601685941963, 1.3973258083631568]                     |  0.7203370386851373|      1.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[5.244840125440631, 0.299438059602409, 1.469919025131407]                       |  0.1563315003830397|      2.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[5.244840125440631, 0.299438059602409, 1.469919025131407]                       |  0.1563315003830397|      1.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[5.244840125440631, 0.299438059602409, 1.469919025131407]                       |  0.1563315003830397|      0.50000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[5.244840125440631, 0.299438059602409, 1.469919025131407]                       |  0.1563315003830397|      0.25000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[5.01064623677174, 0.2709411533982909, 1.3872077874007531]                      |  0.0911626985693865|      0.50000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
