k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00390625|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[0.4999722886295873, 1.499900581250315, -1.0003077712989163, 0.0136970491603968, 0.0187812952007013]|  0.1671914762891134|      0.00781250|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[0.4999722886295873, 1.499900581250315, -1.0003077712989163, 0.0136970491603968, 0.0187812952007013]|  0.1671914762891134|      0.00390625|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[0.4999722886295873, 1.499900581250315, -1.0003077712989163, 0.0136970491603968, 0.0187812952007013]|  0.1671914762891134|      0.00195312|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[0.4999722886295873, 1.499900581250315, -1.0003077712989163, 0.0136970491603968, 0.0187812952007013]|  0.1671914762891134|      0.00097656|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[0.4999722886295873, 1.499900581250315, -1.0003077712989163, 0.0136970491603968, 0.0187812952007013]|  0.1671914762891134|      0.00048828|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[0.4999345316528101, 1.4998958066904213, -1.0003106389494947, 0.0141834790037262, 0.0187626410461303]|  0.1625765163401774|      0.00097656|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[0.4999345316528101, 1.4998958066904213, -1.0003106389494947, 0.0141834790037262, 0.0187626410461303]|  0.1625765163401774|      0.00048828|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[0.4997849972660966, 1.4998198351644692, -1.000283166125577, 0.0141533184429219, 0.0192193925738281]|  0.1594472631266453|      0.00097656|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      17|[0.4997849972660966, 1.4998198351644692, -1.000283166125577, 0.0141533184429219, 0.0192193925738281]|  0.1594472631266453|      0.00048828|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[0.4997548688476591, 1.499665288223951, -1.0002023505008706, 0.0144710976488831, 0.0195451398865452]|  0.1566865397776495|      0.00097656|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      19|[0.4993896684145944, 1.4995096623447346, -1.0005627763618414, 0.0145838628792999, 0.0203535090765607]|  0.1507828140370731|      0.00195312|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      20|[0.4993896684145944, 1.4995096623447346, -1.0005627763618414, 0.0145838628792999, 0.0203535090765607]|  0.1507828140370731|      0.00097656|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[0.4991946220087662, 1.4992529510425265, -1.0007847544260977, 0.0147564912592646, 0.0212313790582312]|  0.1459795277999883|      0.00195312|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      22|[0.4991946220087662, 1.4992529510425265, -1.0007847544260977, 0.0147564912592646, 0.0212313790582312]|  0.1459795277999883|      0.00097656|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[0.4991946220087662, 1.4992529510425265, -1.0007847544260977, 0.0147564912592646, 0.0212313790582312]|  0.1459795277999883|      0.00048828|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[0.4991158021353859, 1.4992778467490124, -1.0008484722917892, 0.015195826067875, 0.0214171508806248]|  0.1440468968765226|      0.00097656|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[0.4991158021353859, 1.4992778467490124, -1.0008484722917892, 0.015195826067875, 0.0214171508806248]|  0.1440468968765226|      0.00048828|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
