k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |105126.8339513395767426|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0549532029179103, 1.874822557203526, 2.7942110216253813, 2.5920638533408082] |94984.2417279264627723|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[2.0549532029179103, 1.874822557203526, 2.7942110216253813, 2.5920638533408082] |94984.2417279264627723|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[2.0549532029179103, 1.874822557203526, 2.7942110216253813, 2.5920638533408082] |94984.2417279264627723|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[2.326927281628048, 2.143468723208807, 2.5292826323224005, 2.408563753771999]   |89796.9817219888645923|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[2.346802890454831, 3.1090822066660655, 2.5054065381880344, 2.6666828984865862] |76231.1852711329993326|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[2.346802890454831, 3.1090822066660655, 2.5054065381880344, 2.6666828984865862] |76231.1852711329993326|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[2.346802890454831, 3.1090822066660655, 2.5054065381880344, 2.6666828984865862] |76231.1852711329993326|      0.50000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[2.5535603059779475, 3.484437885255157, 2.427797152789475, 2.4210484770892955]  |71340.6822598925937200|      1.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[3.095689126298565, 3.9429958413280364, 2.3090575037746377, 3.115110317887269]  |55320.4395998394466005|      2.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[3.095689126298565, 3.9429958413280364, 2.3090575037746377, 3.115110317887269]  |55320.4395998394466005|      1.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[3.095689126298565, 3.9429958413280364, 2.3090575037746377, 3.115110317887269]  |55320.4395998394466005|      0.50000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[3.095689126298565, 3.9429958413280364, 2.3090575037746377, 3.115110317887269]  |55320.4395998394466005|      0.25000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[3.2056991000460315, 4.094357323627419, 2.4636213133042633, 3.1750897821721824] |53964.9662502931823838|      0.50000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[3.2056991000460315, 4.094357323627419, 2.4636213133042633, 3.1750897821721824] |53964.9662502931823838|      0.25000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
