k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 10.0, 1.0, 1.0]                                                         |3066308.1922855651937425|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.69213723821711, 10.24751186660244, 1.5474495565612685, 1.3999786274103028] |2717360.9324411069974303|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[99.57113763582886, 11.005704099981292, 2.500312644011579, 2.5227236408768645]  |2641739.2947044079191983|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[99.57113763582886, 11.005704099981292, 2.500312644011579, 2.5227236408768645]  |2641739.2947044079191983|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[101.0029328573229, 10.974969992904098, 2.784328054824412, 1.155846504924321]   |2628424.6613450492732227|      4.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[101.0029328573229, 10.974969992904098, 2.784328054824412, 1.155846504924321]   |2628424.6613450492732227|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[101.0029328573229, 10.974969992904098, 2.784328054824412, 1.155846504924321]   |2628424.6613450492732227|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[100.71919024510103, 10.897923816396178, 3.344156777755385, 1.930537293353161]  |2625307.3220979194156826|      2.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[101.46614078876938, 11.241894209616905, 4.644191656348332, 0.6523907570190204] |2618747.0870554773136973|      4.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[101.46614078876938, 11.241894209616905, 4.644191656348332, 0.6523907570190204] |2618747.0870554773136973|      2.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[101.46614078876938, 11.241894209616905, 4.644191656348332, 0.6523907570190204] |2618747.0870554773136973|      1.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[102.27768970055865, 10.784226322531417, 4.324110140500634, 0.4807041468335174] |2610400.0258281715214252|      2.00000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[102.27768970055865, 10.784226322531417, 4.324110140500634, 0.4807041468335174] |2610400.0258281715214252|      1.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[102.66619668981741, 11.56380396525328, 4.812671426279579, 0.4294314610901216]  |2606861.8098224368877709|      2.00000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[102.66619668981741, 11.56380396525328, 4.812671426279579, 0.4294314610901216]  |2606861.8098224368877709|      1.00000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[102.66619668981741, 11.56380396525328, 4.812671426279579, 0.4294314610901216]  |2606861.8098224368877709|      0.50000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      16|[103.15620968825488, 11.649014194940538, 4.762488899325645, 0.4398330046050232] |2601872.9343676022253931|      1.00000000|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      17|[103.15620968825488, 11.649014194940538, 4.762488899325645, 0.4398330046050232] |2601872.9343676022253931|      0.50000000|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      18|[103.58767561661205, 11.728709345056359, 4.692957892875466, 0.6692916607000239] |2597534.7646352932788432|      1.00000000|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      19|[103.58767561661205, 11.728709345056359, 4.692957892875466, 0.6692916607000239] |2597534.7646352932788432|      0.50000000|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      20|[104.05502090798532, 11.902486128862472, 4.6842415861487465, 0.6330420532776998]|2592800.5212654592469335|      1.00000000|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=0
