k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.6656984870727238, -1.0940728053664763, 20.039695992161114]                   |268.1847370894702181|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[0.6656984870727238, -1.0940728053664763, 20.039695992161114]                   |268.1847370894702181|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.6656984870727238, -1.0940728053664763, 20.039695992161114]                   |268.1847370894702181|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.6656984870727238, -1.0940728053664763, 20.039695992161114]                   |268.1847370894702181|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.6656984870727238, -1.0940728053664763, 20.039695992161114]                   |268.1847370894702181|      0.06250000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.6656984870727238, -1.0940728053664763, 20.039695992161114]                   |268.1847370894702181|      0.03125000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.6754399815572678, -1.1237280536377126, 20.0382019924359]                     |247.9677318322913777|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[0.6754399815572678, -1.1237280536377126, 20.0382019924359]                     |247.9677318322913777|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.7044564319292306, -1.1352941738604907, 20.0391146647778]                     |238.6583308867056701|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[0.7044564319292306, -1.1352941738604907, 20.0391146647778]                     |238.6583308867056701|      0.03125000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.7255378281455213, -1.112492366880748, 20.035619692384444]                    |235.1450188687782372|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      13|[0.7255378281455213, -1.112492366880748, 20.035619692384444]                    |235.1450188687782372|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.7534166935132478, -1.1263609871033191, 20.032975313642606]                   |229.1084013445057224|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[0.7534166935132478, -1.1263609871033191, 20.032975313642606]                   |229.1084013445057224|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
