k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.25000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.12500000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.06250000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.03125000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.01562500|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00781250|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00390625|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00195312|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00097656|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[-3.499963435331995, 0.9999672315387724, -0.0003129512927659, -0.0003037016825865, 1.7006006921526382, -0.0003441423214173, 0.000162172508096, -0.0005054952262337]|2204.5171186220900381|      0.00195312|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[-3.499963435331995, 0.9999672315387724, -0.0003129512927659, -0.0003037016825865, 1.7006006921526382, -0.0003441423214173, 0.000162172508096, -0.0005054952262337]|2204.5171186220900381|      0.00097656|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[-3.499963435331995, 0.9999672315387724, -0.0003129512927659, -0.0003037016825865, 1.7006006921526382, -0.0003441423214173, 0.000162172508096, -0.0005054952262337]|2204.5171186220900381|      0.00048828|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[-3.500016264684219, 0.9998416847853012, -7.54353135626e-05, -0.0004327441173503, 1.7006283222315848, -0.0004436691784931, 1.89400607564e-05, -0.0008455177408978]|1958.6385316841870008|      0.00097656|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      15|[-3.500016264684219, 0.9998416847853012, -7.54353135626e-05, -0.0004327441173503, 1.7006283222315848, -0.0004436691784931, 1.89400607564e-05, -0.0008455177408978]|1958.6385316841870008|      0.00048828|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[-3.500016264684219, 0.9998416847853012, -7.54353135626e-05, -0.0004327441173503, 1.7006283222315848, -0.0004436691784931, 1.89400607564e-05, -0.0008455177408978]|1958.6385316841870008|      0.00024414|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[-3.500016264684219, 0.9998416847853012, -7.54353135626e-05, -0.0004327441173503, 1.7006283222315848, -0.0004436691784931, 1.89400607564e-05, -0.0008455177408978]|1958.6385316841870008|      0.00012207|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      18|[-3.5000055805794323, 0.9998157021971433, -0.0001043517171552, -0.0005280982309436, 1.7006476216064563, -0.0004009166093066, 3.6662845548e-06, -0.0008873485256565]|1471.6684859009176307|      0.00024414|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      19|[-3.5000055805794323, 0.9998157021971433, -0.0001043517171552, -0.0005280982309436, 1.7006476216064563, -0.0004009166093066, 3.6662845548e-06, -0.0008873485256565]|1471.6684859009176307|      0.00012207|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      20|[-3.499992757214074, 0.9997587487836489, -0.0001999750227031, -0.00049910891248, 1.700644506908232, -0.0003689007761449, -1.43838909441e-05, -0.0008995267966165]|1244.1266242047615833|      0.00024414|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      21|[-3.499992757214074, 0.9997587487836489, -0.0001999750227031, -0.00049910891248, 1.700644506908232, -0.0003689007761449, -1.43838909441e-05, -0.0008995267966165]|1244.1266242047615833|      0.00012207|[189, 0, 21, 63]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      22|[-3.499992757214074, 0.9997587487836489, -0.0001999750227031, -0.00049910891248, 1.700644506908232, -0.0003689007761449, -1.43838909441e-05, -0.0008995267966165]|1244.1266242047615833|      0.00006104|[198, 0, 22, 66]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      23|[-3.499992757214074, 0.9997587487836489, -0.0001999750227031, -0.00049910891248, 1.700644506908232, -0.0003689007761449, -1.43838909441e-05, -0.0008995267966165]|1244.1266242047615833|      0.00003052|[207, 0, 23, 69]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      24|[-3.499992757214074, 0.9997587487836489, -0.0001999750227031, -0.00049910891248, 1.700644506908232, -0.0003689007761449, -1.43838909441e-05, -0.0008995267966165]|1244.1266242047615833|      0.00001526|[216, 0, 24, 72]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      25|[-3.499992757214074, 0.9997587487836489, -0.0001999750227031, -0.00049910891248, 1.700644506908232, -0.0003689007761449, -1.43838909441e-05, -0.0008995267966165]|1244.1266242047615833|      0.00000763|[225, 0, 25, 75]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      26|[-3.4999979942825905, 0.9997577808690133, -0.0002013048372772, -0.0005019022082708, 1.7006454682518322, -0.0003684732110292, -1.2969859151e-05, -0.0009036700475127]|1183.2932991265986402|      0.00001526|[234, 0, 26, 78]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      27|[-3.4999979942825905, 0.9997577808690133, -0.0002013048372772, -0.0005019022082708, 1.7006454682518322, -0.0003684732110292, -1.2969859151e-05, -0.0009036700475127]|1183.2932991265986402|      0.00000763|[243, 0, 27, 81]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
