k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.053863115894777, -0.8948953435928821, -0.4430136439906598]                  |1195.8039027925510709|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[0.2769179888248514, -1.1321900972946457, -1.917026144340241]                   | 10.4641756196550570|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[0.2769179888248514, -1.1321900972946457, -1.917026144340241]                   | 10.4641756196550570|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.2769179888248514, -1.1321900972946457, -1.917026144340241]                   | 10.4641756196550570|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.2769179888248514, -1.1321900972946457, -1.917026144340241]                   | 10.4641756196550570|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.2769179888248514, -1.1321900972946457, -1.917026144340241]                   | 10.4641756196550570|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.4225480023711322, -0.9453772718547336, -1.8370707354821343]                  |  3.5045853096590096|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[0.4225480023711322, -0.9453772718547336, -1.8370707354821343]                  |  3.5045853096590096|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.4225480023711322, -0.9453772718547336, -1.8370707354821343]                  |  3.5045853096590096|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.4225480023711322, -0.9453772718547336, -1.8370707354821343]                  |  3.5045853096590096|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.4225480023711322, -0.9453772718547336, -1.8370707354821343]                  |  3.5045853096590096|      0.03125000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.4091455109238744, -0.9181492873954741, -1.844525437709085]                   |  3.4186793647244986|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      13|[0.4091455109238744, -0.9181492873954741, -1.844525437709085]                   |  3.4186793647244986|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.4091455109238744, -0.9181492873954741, -1.844525437709085]                   |  3.4186793647244986|      0.01562500|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.4032884080595414, -0.9241946179569074, -1.8313615116442812]                  |  3.3798534647205818|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
