k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[99.02948198028413, 1.167784555992703, -0.0730407933902038]                     |17464.6179080483525468|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[99.02948198028413, 1.167784555992703, -0.0730407933902038]                     |17464.6179080483525468|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[99.02948198028413, 1.167784555992703, -0.0730407933902038]                     |17464.6179080483525468|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[99.02948198028413, 1.167784555992703, -0.0730407933902038]                     |17464.6179080483525468|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[99.02948198028413, 1.167784555992703, -0.0730407933902038]                     |17464.6179080483525468|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[99.04277840933467, 1.1851931379199696, 0.0500248242687735]                     |6771.9980230697301522|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[99.04277840933467, 1.1851931379199696, 0.0500248242687735]                     |6771.9980230697301522|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[99.16550824021829, 1.1955853933384089, 0.0287084071543553]                     |1552.3840168659585288|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[99.16550824021829, 1.1955853933384089, 0.0287084071543553]                     |1552.3840168659585288|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[99.16550824021829, 1.1955853933384089, 0.0287084071543553]                     |1552.3840168659585288|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[99.16550824021829, 1.1955853933384089, 0.0287084071543553]                     |1552.3840168659585288|      0.03125000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[99.16550824021829, 1.1955853933384089, 0.0287084071543553]                     |1552.3840168659585288|      0.01562500|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[99.16550824021829, 1.1955853933384089, 0.0287084071543553]                     |1552.3840168659585288|      0.00781250|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[99.1662426833351, 1.1962802087849134, 0.0209616025838582]                      |1197.5807300893820866|      0.01562500|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[99.1662426833351, 1.1962802087849134, 0.0209616025838582]                      |1197.5807300893820866|      0.00781250|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
