k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0035270533577437, 0.0485400033069547, 1.0907216473601764, 0.3336344981598914, 0.8009143817052509, 0.2888579992579501]|471.4987487792968750|      2.00000000|[31, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[0.0035270533577437, 0.0485400033069547, 1.0907216473601764, 0.3336344981598914, 0.8009143817052509, 0.2888579992579501]|471.4987487792968750|      1.00000000|[61, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.7339815602154276, 0.6711824102930012, 1.156667578703684, 0.0723797789116984, 0.7542048477854266, 0.3518498374967122]|386.0363159179687500|      2.00000000|[91, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[0.7339815602154276, 0.6711824102930012, 1.156667578703684, 0.0723797789116984, 0.7542048477854266, 0.3518498374967122]|386.0363159179687500|      1.00000000|[121, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.1814038121707935, 1.2149986901574228, 1.5922865592836328, -0.0028359507243336, 1.2808555560096568, 0.1749461588737618]|228.3026733398437500|      2.00000000|[151, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[1.1814038121707935, 1.2149986901574228, 1.5922865592836328, -0.0028359507243336, 1.2808555560096568, 0.1749461588737618]|228.3026733398437500|      1.00000000|[181, 12, 1, 13]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[1.1814038121707935, 1.2149986901574228, 1.5922865592836328, -0.0028359507243336, 1.2808555560096568, 0.1749461588737618]|228.3026733398437500|      0.50000000|[212, 14, 1, 15]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.1814038121707935, 1.2149986901574228, 1.5922865592836328, -0.0028359507243336, 1.2808555560096568, 0.1749461588737618]|228.3026733398437500|      0.25000000|[242, 16, 1, 17]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.2218188704332207, 1.152636181690331, 1.7690671534233975, 0.0115437476988085, 1.1214815229782946, 0.1858687962615956]|171.5829315185546875|      0.50000000|[272, 18, 1, 19]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      10|[1.2218188704332207, 1.152636181690331, 1.7690671534233975, 0.0115437476988085, 1.1214815229782946, 0.1858687962615956]|171.5829315185546875|      0.25000000|[302, 20, 1, 21]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[1.2218188704332207, 1.152636181690331, 1.7690671534233975, 0.0115437476988085, 1.1214815229782946, 0.1858687962615956]|171.5829315185546875|      0.12500000|[332, 22, 1, 23]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.2092625352504573, 1.135038124044796, 1.8837863426657802, 0.0561485974824637, 1.1237587102162068, 0.1874102979690112]|164.3141030525522979|      0.25000000|[362, 24, 2, 26]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
      13|[0.9782483922248534, 1.0650460624530866, 1.881149828556453, 0.1082529465738141, 1.0871757202767942, 0.2005802441533736]|159.6298675537109375|      0.50000000|[393, 26, 2, 28]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      14|[0.9782483922248534, 1.0650460624530866, 1.881149828556453, 0.1082529465738141, 1.0871757202767942, 0.2005802441533736]|159.6298675537109375|      0.25000000|[423, 28, 2, 30]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.9712370146084535, 1.1013040621762278, 2.089707398269964, 0.1793605048189178, 1.1989082155057262, 0.2105553544548625]|155.1471252441406250|      0.50000000|[453, 30, 2, 32]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      16|[0.9712370146084535, 1.1013040621762278, 2.089707398269964, 0.1793605048189178, 1.1989082155057262, 0.2105553544548625]|155.1471252441406250|      0.25000000|[483, 32, 2, 34]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.9712370146084535, 1.1013040621762278, 2.089707398269964, 0.1793605048189178, 1.1989082155057262, 0.2105553544548625]|155.1471252441406250|      0.12500000|[513, 34, 2, 36]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.917970512160047, 1.0434116793360357, 2.0149441454395727, 0.2050595517869228, 1.1427490926542136, 0.2162403925112489]|143.9934234619140625|      0.25000000|[543, 36, 2, 38]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
