k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[100.00740195865076, -0.0514697764494989, -0.113670898300185]                   |10348.3796657025086461|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[100.00740195865076, -0.0514697764494989, -0.113670898300185]                   |10348.3796657025086461|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[99.99689498423174, -0.124246784406049, -0.2147555687574326]                    |2231.4736610531335828|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[99.99689498423174, -0.124246784406049, -0.2147555687574326]                    |2231.4736610531335828|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[99.99689498423174, -0.124246784406049, -0.2147555687574326]                    |2231.4736610531335828|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[99.95800790297658, -0.1694019009650889, -0.2335986141586934]                   |1947.2158517483626383|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[99.95800790297658, -0.1694019009650889, -0.2335986141586934]                   |1947.2158517483626383|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[99.96427360151539, -0.229196153868323, -0.2165211921762955]                    |1872.5164040500217197|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[99.96427360151539, -0.229196153868323, -0.2165211921762955]                    |1872.5164040500217197|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[99.96427360151539, -0.229196153868323, -0.2165211921762955]                    |1872.5164040500217197|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[99.96342817987058, -0.2591025368529395, -0.2255464910090163]                   |1865.4204633724320956|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[99.98685442784482, -0.2877941748915651, -0.1752051480341812]                   |1831.0234530674968028|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
