k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.46359450847973, 4.168471240759198, -4.880913032859819, -0.9184686227290302] |6049370.9845142727717757|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[23.335264268733734, 2.546281503937208, -4.62142081002972, -0.7510317268104633] |3640565.0834821625612676|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[20.636921620254, -0.2682880931891725, -3.8480480000550186, -0.3048933725759925]|3060318.5872543156147003|      8.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[20.636921620254, -0.2682880931891725, -3.8480480000550186, -0.3048933725759925]|3060318.5872543156147003|      4.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[20.636921620254, -0.2682880931891725, -3.8480480000550186, -0.3048933725759925]|3060318.5872543156147003|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[20.73819614211877, 1.7162480242478937, -3.629872583188401, -0.2435797747044355]|2273578.0052904263138771|      4.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[17.32533048862232, 2.8621087586194944, -2.130057152900084, 0.6451861583053132] |1489608.1183373369276524|      8.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       8|[17.32533048862232, 2.8621087586194944, -2.130057152900084, 0.6451861583053132] |1489608.1183373369276524|      4.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[14.417454912313351, 5.416543974382456, -1.1639859661064968, 0.9381483115317015]|1225666.7680383098777384|      8.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[14.417454912313351, 5.416543974382456, -1.1639859661064968, 0.9381483115317015]|1225666.7680383098777384|      4.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[14.417454912313351, 5.416543974382456, -1.1639859661064968, 0.9381483115317015]|1225666.7680383098777384|      2.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[13.165661818098052, 3.857625585435434, -1.1135305156081317, 0.9536967324390151]|983379.2428713260451332|      4.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[13.165661818098052, 3.857625585435434, -1.1135305156081317, 0.9536967324390151]|983379.2428713260451332|      2.00000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[13.165661818098052, 3.857625585435434, -1.1135305156081317, 0.9536967324390151]|983379.2428713260451332|      1.00000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
