k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.753576722193742, -1.2873187910716668, 0.4808484210836258, 0.5145553060752612, -0.305668726060236, 0.2338241923218997, 0.5354820177233877]|49269.5312500000000000|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[9.753576722193742, -1.2873187910716668, 0.4808484210836258, 0.5145553060752612, -0.305668726060236, 0.2338241923218997, 0.5354820177233877]|49269.5312500000000000|      1.00000000|[15, 0, 0, 5]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[9.753576722193742, -1.2873187910716668, 0.4808484210836258, 0.5145553060752612, -0.305668726060236, 0.2338241923218997, 0.5354820177233877]|49269.5312500000000000|      0.50000000|[23, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[9.729652401773812, -0.9368813171231558, 0.2474347923676278, 0.7441997720543767, -0.2848261506565146, 0.361695419973583, 0.5866409574037585]|47386.0859375000000000|      1.00000000|[29, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[9.729652401773812, -0.9368813171231558, 0.2474347923676278, 0.7441997720543767, -0.2848261506565146, 0.361695419973583, 0.5866409574037585]|47386.0859375000000000|      0.50000000|[37, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[9.367155910798846, -0.8047608780198909, 0.2299268587389903, 0.992821025715813, -0.2026383910062401, 0.4103534718719517, 0.4137277010033531]|40800.7890625000000000|      1.00000000|[43, 0, 0, 15]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[9.367155910798846, -0.8047608780198909, 0.2299268587389903, 0.992821025715813, -0.2026383910062401, 0.4103534718719517, 0.4137277010033531]|40800.7890625000000000|      0.50000000|[51, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[9.50239047684953, -1.0309809994851176, 0.6055580052209015, 1.0213863573274726, -0.0344074459283832, 0.3473739914352866, 0.3340203200773615]|37220.9218750000000000|      1.00000000|[57, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[9.50239047684953, -1.0309809994851176, 0.6055580052209015, 1.0213863573274726, -0.0344074459283832, 0.3473739914352866, 0.3340203200773615]|37220.9218750000000000|      0.50000000|[65, 0, 0, 23]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[9.484485284377635, -1.00998642567903, 0.2821722712867315, 0.7078910825693804, -0.0801069352043426, 0.2911645284679195, 0.1312074390803984]|26254.3027343750000000|      1.00000000|[71, 0, 0, 25]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[9.484485284377635, -1.00998642567903, 0.2821722712867315, 0.7078910825693804, -0.0801069352043426, 0.2911645284679195, 0.1312074390803984]|26254.3027343750000000|      0.50000000|[79, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[9.778827295341697, -1.2299002547858604, 0.4219179864223072, 0.9980168992692311, -0.1331673991568968, 0.3676597090014015, 0.0799053099336941]|7753.5434570312500000|      1.00000000|[85, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[9.778827295341697, -1.2299002547858604, 0.4219179864223072, 0.9980168992692311, -0.1331673991568968, 0.3676597090014015, 0.0799053099336941]|7753.5434570312500000|      0.50000000|[93, 0, 0, 33]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[9.778827295341697, -1.2299002547858604, 0.4219179864223072, 0.9980168992692311, -0.1331673991568968, 0.3676597090014015, 0.0799053099336941]|7753.5434570312500000|      0.25000000|[101, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[9.778827295341697, -1.2299002547858604, 0.4219179864223072, 0.9980168992692311, -0.1331673991568968, 0.3676597090014015, 0.0799053099336941]|7753.5434570312500000|      0.12500000|[109, 0, 0, 39]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[9.778827295341697, -1.2299002547858604, 0.4219179864223072, 0.9980168992692311, -0.1331673991568968, 0.3676597090014015, 0.0799053099336941]|7753.5434570312500000|      0.06250000|[117, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[9.778827295341697, -1.2299002547858604, 0.4219179864223072, 0.9980168992692311, -0.1331673991568968, 0.3676597090014015, 0.0799053099336941]|7753.5434570312500000|      0.03125000|[125, 0, 0, 45]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[9.770601179095534, -1.2453744762891068, 0.4060498286796878, 0.9883046914111632, -0.1402553452240091, 0.3696027971790285, 0.0634948864890117]|6277.6982421875000000|      0.06250000|[131, 0, 0, 47]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      19|[9.770601179095534, -1.2453744762891068, 0.4060498286796878, 0.9883046914111632, -0.1402553452240091, 0.3696027971790285, 0.0634948864890117]|6277.6982421875000000|      0.03125000|[139, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[9.770601179095534, -1.2453744762891068, 0.4060498286796878, 0.9883046914111632, -0.1402553452240091, 0.3696027971790285, 0.0634948864890117]|6277.6982421875000000|      0.01562500|[147, 0, 0, 53]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      21|[9.770601179095534, -1.2453744762891068, 0.4060498286796878, 0.9883046914111632, -0.1402553452240091, 0.3696027971790285, 0.0634948864890117]|6277.6982421875000000|      0.00781250|[155, 0, 0, 56]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      22|[9.770601179095534, -1.2453744762891068, 0.4060498286796878, 0.9883046914111632, -0.1402553452240091, 0.3696027971790285, 0.0634948864890117]|6277.6982421875000000|      0.00390625|[163, 0, 0, 59]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      23|[9.772163293435838, -1.2458084142575283, 0.4054155398067587, 0.9863119075978223, -0.1423928851424039, 0.370160330313347, 0.065332508836027]|6250.6469726562500000|      0.00781250|[169, 0, 0, 61]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      24|[9.772163293435838, -1.2458084142575283, 0.4054155398067587, 0.9863119075978223, -0.1423928851424039, 0.370160330313347, 0.065332508836027]|6250.6469726562500000|      0.00390625|[177, 0, 0, 64]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      25|[9.772163293435838, -1.2458084142575283, 0.4054155398067587, 0.9863119075978223, -0.1423928851424039, 0.370160330313347, 0.065332508836027]|6250.6469726562500000|      0.00195312|[185, 0, 0, 67]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
