k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      0.50000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       2|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      0.25000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[0.1352362354930803, 0.0997117922098848, 0.1350346779690653, 0.0372927789831678, 0.0850231341763445, 0.1045036301720573, -0.0021780809719828, -0.0322780640500685, -0.0399600411207803, 0.0087451280676594]|  0.8669305782557707|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate success | actual_k=1
       4|[0.1352362354930803, 0.0997117922098848, 0.1350346779690653, 0.0372927789831678, 0.0850231341763445, 0.1045036301720573, -0.0021780809719828, -0.0322780640500685, -0.0399600411207803, 0.0087451280676594]|  0.8669305782557707|      0.25000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       5|[0.1352362354930803, 0.0997117922098848, 0.1350346779690653, 0.0372927789831678, 0.0850231341763445, 0.1045036301720573, -0.0021780809719828, -0.0322780640500685, -0.0399600411207803, 0.0087451280676594]|  0.8669305782557707|      0.12500000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       6|[0.1352362354930803, 0.0997117922098848, 0.1350346779690653, 0.0372927789831678, 0.0850231341763445, 0.1045036301720573, -0.0021780809719828, -0.0322780640500685, -0.0399600411207803, 0.0087451280676594]|  0.8669305782557707|      0.06250000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       7|[0.1337026325359189, 0.1252896552455204, 0.1570496219478298, 0.0291143762859021, 0.0967040015355943, 0.0928486981684951, -0.0400993035257247, -0.0142719997884744, -0.0153078348729626, 0.0012699618411997]|  0.7849296731034074|      0.12500000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       8|[0.1337026325359189, 0.1252896552455204, 0.1570496219478298, 0.0291143762859021, 0.0967040015355943, 0.0928486981684951, -0.0400993035257247, -0.0142719997884744, -0.0153078348729626, 0.0012699618411997]|  0.7849296731034074|      0.06250000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       9|[0.1072981074706704, 0.1293798312583624, 0.1602008452390208, 0.0025065501759093, 0.0877356892897601, 0.0595625843161995, -0.0130998178538619, -0.0011835561948094, 0.0031948688149636, -0.0053170915055133]|  0.4873220490924267|      0.12500000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
      10|[0.1072981074706704, 0.1293798312583624, 0.1602008452390208, 0.0025065501759093, 0.0877356892897601, 0.0595625843161995, -0.0130998178538619, -0.0011835561948094, 0.0031948688149636, -0.0053170915055133]|  0.4873220490924267|      0.06250000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[0.113691772006349, 0.1116810771157828, 0.1433134975049816, -0.026900200070026, 0.0653182439881655, 0.0421945012210645, 0.0028214773945694, 0.0143723556921554, 0.0146976776932382, 0.0258310202948222]|  0.3989131333748896|      0.12500000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      12|[0.113691772006349, 0.1116810771157828, 0.1433134975049816, -0.026900200070026, 0.0653182439881655, 0.0421945012210645, 0.0028214773945694, 0.0143723556921554, 0.0146976776932382, 0.0258310202948222]|  0.3989131333748896|      0.06250000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      13|[0.1142922598127382, 0.1283448686759492, 0.1231640581463948, -0.0244969316735371, 0.015521429429653, 0.0489978351174847, -0.0091126889621528, 0.01527326989705, 0.0141125088309437, 0.0024462951121348]|  0.2712467482189131|      0.12500000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      14|[0.1142922598127382, 0.1283448686759492, 0.1231640581463948, -0.0244969316735371, 0.015521429429653, 0.0489978351174847, -0.0091126889621528, 0.01527326989705, 0.0141125088309437, 0.0024462951121348]|  0.2712467482189131|      0.06250000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      15|[0.1346931335954072, 0.1179059619882858, 0.1180047115523472, -0.0270138211184004, -0.0049980085533199, 0.0016019325092224, -0.0100247146894997, -0.00073727297986, -0.0022915032293627, 0.0148740938436214]|  0.1921849065535743|      0.12500000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      16|[0.1346931335954072, 0.1179059619882858, 0.1180047115523472, -0.0270138211184004, -0.0049980085533199, 0.0016019325092224, -0.0100247146894997, -0.00073727297986, -0.0022915032293627, 0.0148740938436214]|  0.1921849065535743|      0.06250000|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      17|[0.1346931335954072, 0.1179059619882858, 0.1180047115523472, -0.0270138211184004, -0.0049980085533199, 0.0016019325092224, -0.0100247146894997, -0.00073727297986, -0.0022915032293627, 0.0148740938436214]|  0.1921849065535743|      0.03125000|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      18|[0.132639132046887, 0.1125547248550959, 0.105536551342211, -0.0053950203121906, -0.0027506073358563, 0.0019928119768814, -0.0049219342405413, 0.0092288687183117, 0.0097794720287916, 0.008195330475522]|  0.1417026595399781|      0.06250000|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      19|[0.132639132046887, 0.1125547248550959, 0.105536551342211, -0.0053950203121906, -0.0027506073358563, 0.0019928119768814, -0.0049219342405413, 0.0092288687183117, 0.0097794720287916, 0.008195330475522]|  0.1417026595399781|      0.03125000|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
