k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.25000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.12500000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.06250000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.03125000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.01562500|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00781250|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00390625|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00195312|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00097656|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00048828|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00024414|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00012207|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.0999467546928942, 8.49925542779e-05, 1000.0000274024153, -100.00004787087562]|  5.5123486518859863|      0.00024414|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.0999467546928942, 8.49925542779e-05, 1000.0000274024153, -100.00004787087562]|  5.5123486518859863|      0.00012207|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[0.0999467546928942, 8.49925542779e-05, 1000.0000274024153, -100.00004787087562]|  5.5123486518859863|      0.00006104|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[0.0999517378809291, 0.0001452694719572, 1000.0000339354692, -100.000052817646] |  5.1697468757629395|      0.00012207|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      18|[0.0999517378809291, 0.0001452694719572, 1000.0000339354692, -100.000052817646] |  5.1697468757629395|      0.00006104|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[0.0999517378809291, 0.0001452694719572, 1000.0000339354692, -100.000052817646] |  5.1697468757629395|      0.00003052|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[0.0999517378809291, 0.0001452694719572, 1000.0000339354692, -100.000052817646] |  5.1697468757629395|      0.00001526|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
