k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7504728856305292|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3399571424764741, 0.5556019529303987, 5.275401555166044, 5.658651314130562, 6.246469162718303, 7.613477743290316]|171.5318625554523067|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       2|[-1.1081931785450276, 0.7496401928571834, 4.265012186144645, 6.158502138386903, 5.569768120580428, 7.983001741428119]| 67.2607664030257268|      4.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       3|[-1.1081931785450276, 0.7496401928571834, 4.265012186144645, 6.158502138386903, 5.569768120580428, 7.983001741428119]| 67.2607664030257268|      2.00000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[-1.1081931785450276, 0.7496401928571834, 4.265012186144645, 6.158502138386903, 5.569768120580428, 7.983001741428119]| 67.2607664030257268|      1.00000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[-1.1067920798338153, 1.1429511531896086, 3.5450663423598225, 6.39138735561502, 5.047598034727082, 7.992242112539126]| 42.1549922033743414|      2.00000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[-1.0690662334729213, 2.0664801953067773, 2.4641787565784377, 5.352058828662237, 4.237557307537989, 8.48314243759841]| 16.0224526377713694|      4.00000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       7|[-1.0690662334729213, 2.0664801953067773, 2.4641787565784377, 5.352058828662237, 4.237557307537989, 8.48314243759841]| 16.0224526377713694|      2.00000000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[-1.2741755014070226, 2.5564118546811776, 1.4076718823520922, 4.969237694271588, 2.8199986677396325, 9.150724540309044]|  7.0059926106858041|      4.00000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
       9|[-1.2741755014070226, 2.5564118546811776, 1.4076718823520922, 4.969237694271588, 2.8199986677396325, 9.150724540309044]|  7.0059926106858041|      2.00000000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[-1.2741755014070226, 2.5564118546811776, 1.4076718823520922, 4.969237694271588, 2.8199986677396325, 9.150724540309044]|  7.0059926106858041|      1.00000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[-0.5063698320310894, 2.9572566470760275, 1.7509863620501287, 4.699595286805909, 2.7419335957852504, 8.920220980356834]|  3.7317407441319372|      2.00000000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      12|[-0.5063698320310894, 2.9572566470760275, 1.7509863620501287, 4.699595286805909, 2.7419335957852504, 8.920220980356834]|  3.7317407441319372|      1.00000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[-0.5063698320310894, 2.9572566470760275, 1.7509863620501287, 4.699595286805909, 2.7419335957852504, 8.920220980356834]|  3.7317407441319372|      0.50000000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[-0.584963242967991, 2.929615907380711, 1.3725697229042806, 4.650664416182933, 2.490418451692825, 8.735272839851978]|  2.6069541700628829|      1.00000000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      15|[-0.584963242967991, 2.929615907380711, 1.3725697229042806, 4.650664416182933, 2.490418451692825, 8.735272839851978]|  2.6069541700628829|      0.50000000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[-0.3908054113130168, 2.9184695361714312, 1.3132964470343729, 4.5635661607839655, 2.0536041733641213, 8.63392021907588]|  1.9116147689757768|      1.00000000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      17|[-0.3908054113130168, 2.9184695361714312, 1.3132964470343729, 4.5635661607839655, 2.0536041733641213, 8.63392021907588]|  1.9116147689757768|      0.50000000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
