k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]|8633.4943309079972096|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.051611839746475, -0.8796505275780325, -1.0800830730839195, -0.8662989406946954, -1.1371009084260322, -0.9691521721077835, -0.9215078169368217, -0.8677223346603464, -0.9565908006169757, -1.0698379756201835, -0.9826788363632257, -0.8789849582234456, -0.9576716727432014, -0.6522403724827941, -0.9545134146416888, -1.1701173739996586, -1.0870020724440144, -0.9258309145494719, -1.059279179534466, -0.4695569200087433, -1.0724003741054928, -0.8869712291967243, -0.9232880384924802, -0.7788853458502603, -1.010576924697575, -0.8757412108858681, -0.8514273861115651, -1.039612805405483, -1.0930331654637149, -1.2108034059890302, -1.0629395370664483, -0.8357384448060586, -0.914691042716452, -0.8919524371748498, -1.017099274981553, -0.9507074036932754, -0.9202043247179533, -0.8894155309575633, -0.7512679456191139, -0.9554217113483331, -0.9779056589067813, -0.8617007604930187, -0.9987835462003928, -0.9790177211671428, -0.9244539325927956, -0.9367106553231348, -1.1085323528311688, -0.7536441748956821, -0.8444153886936019, -0.8768684696393763]|6676.8198242187500000|      2.00000000|[126, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[-1.030474165593573, -0.4940865686863767, -1.166551070438097, -0.8555524881186165, -1.1794299442073206, -0.5287611815897342, -0.6571242000673418, -0.9988361867827937, -0.6775393716393305, -1.0672865441504806, -0.8171677653922155, -0.8925073731632902, -0.5450280287484441, -0.7576826755534557, -0.3916506748165188, -0.6612044323842934, -1.1193729370815668, -1.085185355588357, -0.6102146133785498, -0.484660638663139, -0.806756685829491, -0.9498219926179599, -1.2094537550994937, -0.8935821977823128, -0.820365586016805, -0.5847291388997027, -0.5200388598689824, -1.0497851459938186, -0.7835470946077834, -1.4150264949314115, -0.967146326079303, -0.4917705850557398, -0.7357777280665286, -0.4819907287621423, -0.9720197017727228, -0.9071993247148162, -1.207699371711446, -0.6046829942115307, -0.5810791860228767, -0.2154133092743118, -1.0689210517129184, -0.9179513507100313, -1.3806287637770578, -0.3590946355445105, -0.5275984367746429, -0.7777920446755588, -0.9691152591782224, -0.774326713935972, -0.7262839184247037, -0.5579197829219573]|3653.0290527343750000|      4.00000000|[312, 0, 0, 5]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | iterate success | actual_k=0
       3|[-1.030474165593573, -0.4940865686863767, -1.166551070438097, -0.8555524881186165, -1.1794299442073206, -0.5287611815897342, -0.6571242000673418, -0.9988361867827937, -0.6775393716393305, -1.0672865441504806, -0.8171677653922155, -0.8925073731632902, -0.5450280287484441, -0.7576826755534557, -0.3916506748165188, -0.6612044323842934, -1.1193729370815668, -1.085185355588357, -0.6102146133785498, -0.484660638663139, -0.806756685829491, -0.9498219926179599, -1.2094537550994937, -0.8935821977823128, -0.820365586016805, -0.5847291388997027, -0.5200388598689824, -1.0497851459938186, -0.7835470946077834, -1.4150264949314115, -0.967146326079303, -0.4917705850557398, -0.7357777280665286, -0.4819907287621423, -0.9720197017727228, -0.9071993247148162, -1.207699371711446, -0.6046829942115307, -0.5810791860228767, -0.2154133092743118, -1.0689210517129184, -0.9179513507100313, -1.3806287637770578, -0.3590946355445105, -0.5275984367746429, -0.7777920446755588, -0.9691152591782224, -0.774326713935972, -0.7262839184247037, -0.5579197829219573]|3653.0290527343750000|      2.00000000|[498, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[-0.9796129258138926, -0.2485944994270777, -0.8445956512487727, -1.3313376881206727, -1.0334125173731976, -0.2548677195621816, -0.2041353359255508, -0.6722375718741909, -0.3643252138092372, -0.8149822647646868, -0.8003194993591415, -0.8447001443892155, -0.1688425735160693, -0.6684579417009767, -0.1077194603837222, -0.8277925535865598, -1.1101812587016802, -0.9580637106920465, -0.4876950281206169, -0.7079859826962633, -0.1604363324767645, -0.9580397830933645, -0.9052696151133546, -0.9552095849791127, -0.9274165562597507, -0.3935671821346407, -0.3018716946742843, -0.5032940157372439, -0.9141589773062522, -1.5149362680808465, -0.3883727044543845, -0.1337595907085878, 0.1034933115007143, -0.5376656110915433, -0.699668278994718, -0.9474771708561913, -0.8967973125273541, -0.5071387216644263, -0.7218326615600308, 0.0969217409306103, -1.2954071004456493, -0.9488352967332563, -1.361763734111058, -0.260117347888994, -0.5375545037729188, -0.5666127932123455, -0.965722747768108, -0.5062828341099872, -0.7808131566365157, -0.2288305331070468]|2113.5583496093750000|      4.00000000|[684, 0, 0, 11]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | iterate success | actual_k=0
       5|[-0.9796129258138926, -0.2485944994270777, -0.8445956512487727, -1.3313376881206727, -1.0334125173731976, -0.2548677195621816, -0.2041353359255508, -0.6722375718741909, -0.3643252138092372, -0.8149822647646868, -0.8003194993591415, -0.8447001443892155, -0.1688425735160693, -0.6684579417009767, -0.1077194603837222, -0.8277925535865598, -1.1101812587016802, -0.9580637106920465, -0.4876950281206169, -0.7079859826962633, -0.1604363324767645, -0.9580397830933645, -0.9052696151133546, -0.9552095849791127, -0.9274165562597507, -0.3935671821346407, -0.3018716946742843, -0.5032940157372439, -0.9141589773062522, -1.5149362680808465, -0.3883727044543845, -0.1337595907085878, 0.1034933115007143, -0.5376656110915433, -0.699668278994718, -0.9474771708561913, -0.8967973125273541, -0.5071387216644263, -0.7218326615600308, 0.0969217409306103, -1.2954071004456493, -0.9488352967332563, -1.361763734111058, -0.260117347888994, -0.5375545037729188, -0.5666127932123455, -0.965722747768108, -0.5062828341099872, -0.7808131566365157, -0.2288305331070468]|2113.5583496093750000|      2.00000000|[870, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-0.4457679548217465, -0.0188066872190808, -0.7473618977854362, -1.2611838557113435, -1.1271718731628524, -0.5292222136111331, -0.048046018633563, -0.0861341339307862, -0.305398362608894, -0.8415716784173974, -1.359859567866244, -0.7564123739328096, 0.0199305407263679, -0.85233564858972, 0.0601116034723347, -0.8458001193989659, -1.3447429086356286, -0.988699855754463, -0.1869701929439297, -0.949336340604495, 0.0870228270756142, -0.3449266877697665, -0.6442711198022761, -0.3990167881024747, -0.2739648122782468, -0.1660610362435036, -0.0868405404064849, -0.5980992235417297, -0.7734940938402471, -1.4488474477698188, -0.1715780341980997, -0.1287118509106946, -0.2485164215860499, -0.4347313660715438, -0.6598483429023227, -0.8595749675845257, -0.471110054903226, -0.2716724337317866, -0.3897712165799082, 0.5471568139858789, -0.7850214090033089, -1.0819190280580018, -1.321960923023562, -0.4156348628118146, -0.492627042473184, -0.5942968059002398, -1.0219959323214487, -0.4462601665898106, -0.786455346598934, -0.604941966295547]|1555.8709716796875000|      4.00000000|[1056, 0, 0, 17]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | iterate success | actual_k=0
       7|[-0.4457679548217465, -0.0188066872190808, -0.7473618977854362, -1.2611838557113435, -1.1271718731628524, -0.5292222136111331, -0.048046018633563, -0.0861341339307862, -0.305398362608894, -0.8415716784173974, -1.359859567866244, -0.7564123739328096, 0.0199305407263679, -0.85233564858972, 0.0601116034723347, -0.8458001193989659, -1.3447429086356286, -0.988699855754463, -0.1869701929439297, -0.949336340604495, 0.0870228270756142, -0.3449266877697665, -0.6442711198022761, -0.3990167881024747, -0.2739648122782468, -0.1660610362435036, -0.0868405404064849, -0.5980992235417297, -0.7734940938402471, -1.4488474477698188, -0.1715780341980997, -0.1287118509106946, -0.2485164215860499, -0.4347313660715438, -0.6598483429023227, -0.8595749675845257, -0.471110054903226, -0.2716724337317866, -0.3897712165799082, 0.5471568139858789, -0.7850214090033089, -1.0819190280580018, -1.321960923023562, -0.4156348628118146, -0.492627042473184, -0.5942968059002398, -1.0219959323214487, -0.4462601665898106, -0.786455346598934, -0.604941966295547]|1555.8709716796875000|      2.00000000|[1242, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[-0.0069198906764592, -0.2805131009226195, -0.4590735716916323, -1.396264227404295, -0.6282938380202336, -0.4616112236337941, 0.3652713260059226, 0.1987437897277801, -0.4488146004545414, -1.1029181829921766, -1.5390005651845469, -0.0455333884040375, 0.6336967874668735, -0.5764947203067641, -0.1244803434365478, -0.5653009944365837, -1.244303873695089, -0.524942984021908, -0.3149657551092023, -0.7869843746656293, 0.2416206903949775, -0.6382983739176049, -0.9629611613017486, -0.3150738321414142, 0.1623714693412064, -0.0726004753212095, -0.2034495897015786, -0.5886741650084867, -0.6638364400300191, -1.5949904503347736, 0.1735887291191899, -0.4984809876499356, -0.2695310302915243, -0.1370709311463438, -0.5568897575653413, -0.7280815060832491, -0.2793381840377802, -0.1689419018063147, -0.1733061112111065, 0.4208028101980118, -0.5792711203420136, -1.170603483973108, -1.1192020982349997, -0.4547836088489048, 0.0025938384985411, -0.6207851612941692, -0.5677140312167261, -0.7668441079905701, -0.6390280183751873, -0.3704809422370816]|1079.3663330078125000|      4.00000000|[1428, 0, 0, 23]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | iterate success | actual_k=0
       9|[-0.0069198906764592, -0.2805131009226195, -0.4590735716916323, -1.396264227404295, -0.6282938380202336, -0.4616112236337941, 0.3652713260059226, 0.1987437897277801, -0.4488146004545414, -1.1029181829921766, -1.5390005651845469, -0.0455333884040375, 0.6336967874668735, -0.5764947203067641, -0.1244803434365478, -0.5653009944365837, -1.244303873695089, -0.524942984021908, -0.3149657551092023, -0.7869843746656293, 0.2416206903949775, -0.6382983739176049, -0.9629611613017486, -0.3150738321414142, 0.1623714693412064, -0.0726004753212095, -0.2034495897015786, -0.5886741650084867, -0.6638364400300191, -1.5949904503347736, 0.1735887291191899, -0.4984809876499356, -0.2695310302915243, -0.1370709311463438, -0.5568897575653413, -0.7280815060832491, -0.2793381840377802, -0.1689419018063147, -0.1733061112111065, 0.4208028101980118, -0.5792711203420136, -1.170603483973108, -1.1192020982349997, -0.4547836088489048, 0.0025938384985411, -0.6207851612941692, -0.5677140312167261, -0.7668441079905701, -0.6390280183751873, -0.3704809422370816]|1079.3663330078125000|      2.00000000|[1614, 0, 0, 26]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[-0.0069198906764592, -0.2805131009226195, -0.4590735716916323, -1.396264227404295, -0.6282938380202336, -0.4616112236337941, 0.3652713260059226, 0.1987437897277801, -0.4488146004545414, -1.1029181829921766, -1.5390005651845469, -0.0455333884040375, 0.6336967874668735, -0.5764947203067641, -0.1244803434365478, -0.5653009944365837, -1.244303873695089, -0.524942984021908, -0.3149657551092023, -0.7869843746656293, 0.2416206903949775, -0.6382983739176049, -0.9629611613017486, -0.3150738321414142, 0.1623714693412064, -0.0726004753212095, -0.2034495897015786, -0.5886741650084867, -0.6638364400300191, -1.5949904503347736, 0.1735887291191899, -0.4984809876499356, -0.2695310302915243, -0.1370709311463438, -0.5568897575653413, -0.7280815060832491, -0.2793381840377802, -0.1689419018063147, -0.1733061112111065, 0.4208028101980118, -0.5792711203420136, -1.170603483973108, -1.1192020982349997, -0.4547836088489048, 0.0025938384985411, -0.6207851612941692, -0.5677140312167261, -0.7668441079905701, -0.6390280183751873, -0.3704809422370816]|1079.3663330078125000|      1.00000000|[1800, 0, 0, 29]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 126 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
