k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |2648.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 2.0, 2.0, 2.0]                                                            |2648.0000000000000000|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[2.277936613709435, 2.268480079103119, 2.2501392504956197, 2.1951923186142452]  |145.7838657556938813|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[2.277936613709435, 2.268480079103119, 2.2501392504956197, 2.1951923186142452]  |145.7838657556938813|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[2.277936613709435, 2.268480079103119, 2.2501392504956197, 2.1951923186142452]  |145.7838657556938813|      0.25000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[2.277936613709435, 2.268480079103119, 2.2501392504956197, 2.1951923186142452]  |145.7838657556938813|      0.12500000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[2.3612923808617157, 2.3278039087031033, 2.307780599922854, 2.2380289169882324] | 40.4965315158266463|      0.25000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[2.3612923808617157, 2.3278039087031033, 2.307780599922854, 2.2380289169882324] | 40.4965315158266463|      0.12500000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[2.3612923808617157, 2.3278039087031033, 2.307780599922854, 2.2380289169882324] | 40.4965315158266463|      0.06250000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[2.3612923808617157, 2.3278039087031033, 2.307780599922854, 2.2380289169882324] | 40.4965315158266463|      0.03125000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[2.3527254157707485, 2.3216444708456003, 2.2785266235363855, 2.2411006917178717]| 37.1774309095564561|      0.06250000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[2.3527254157707485, 2.3216444708456003, 2.2785266235363855, 2.2411006917178717]| 37.1774309095564561|      0.03125000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[2.3527254157707485, 2.3216444708456003, 2.2785266235363855, 2.2411006917178717]| 37.1774309095564561|      0.01562500|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[2.3527254157707485, 2.3216444708456003, 2.2785266235363855, 2.2411006917178717]| 37.1774309095564561|      0.00781250|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[2.3527254157707485, 2.3216444708456003, 2.2785266235363855, 2.2411006917178717]| 37.1774309095564561|      0.00390625|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
