k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[11.125583462060133, 3.036332067899407, 0.773976525903843, 39.85511867444691, -0.4308237740136894, -1.2963269426531168, 25.31540755458681, -0.7017266204580181, 0.6560110857027317]|973.3709031495980071|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[11.125583462060133, 3.036332067899407, 0.773976525903843, 39.85511867444691, -0.4308237740136894, -1.2963269426531168, 25.31540755458681, -0.7017266204580181, 0.6560110857027317]|973.3709031495980071|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[11.125583462060133, 3.036332067899407, 0.773976525903843, 39.85511867444691, -0.4308237740136894, -1.2963269426531168, 25.31540755458681, -0.7017266204580181, 0.6560110857027317]|973.3709031495980071|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[10.753677229578178, 3.0105582314823223, 0.7790145638352902, 39.89020311496623, -0.4032491320376218, -1.2368123146332537, 25.55553917744089, -0.9169555135024351, 0.6175905276568259]|903.3582533238175074|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[10.753677229578178, 3.0105582314823223, 0.7790145638352902, 39.89020311496623, -0.4032491320376218, -1.2368123146332537, 25.55553917744089, -0.9169555135024351, 0.6175905276568259]|903.3582533238175074|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[10.753677229578178, 3.0105582314823223, 0.7790145638352902, 39.89020311496623, -0.4032491320376218, -1.2368123146332537, 25.55553917744089, -0.9169555135024351, 0.6175905276568259]|903.3582533238175074|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[10.698941810047607, 3.004000773727232, 0.7017498260755767, 39.97517492675471, -0.3491380777949717, -1.3321215580069288, 25.73564387390481, -0.9477157308197536, 0.6471748879748564]|882.4986092441836263|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[10.698941810047607, 3.004000773727232, 0.7017498260755767, 39.97517492675471, -0.3491380777949717, -1.3321215580069288, 25.73564387390481, -0.9477157308197536, 0.6471748879748564]|882.4986092441836263|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[10.695485665757337, 3.025267086028739, 0.5445247796463241, 39.99728407885203, -0.3844275682834945, -1.3641877654697236, 25.865777725207817, -0.9060542379163141, 0.7732033774155906]|870.5880417837281584|      0.50000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[10.695485665757337, 3.025267086028739, 0.5445247796463241, 39.99728407885203, -0.3844275682834945, -1.3641877654697236, 25.865777725207817, -0.9060542379163141, 0.7732033774155906]|870.5880417837281584|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[10.695485665757337, 3.025267086028739, 0.5445247796463241, 39.99728407885203, -0.3844275682834945, -1.3641877654697236, 25.865777725207817, -0.9060542379163141, 0.7732033774155906]|870.5880417837281584|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
