k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.12500000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.06250000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.03125000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.01562500|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00781250|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00390625|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00195312|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00097656|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00048828|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00024414|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00012207|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00006104|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00003052|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00001526|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00000763|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00000381|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[0.0, 0.0, 0.01, 0.00037, 100000.0, 0.0979798, 0.000167, 100000.0]              |3359.7648016902749077|      0.00000191|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[1.45612616e-07, -1.295765116e-07, 0.0100001296780298, 0.0003709008917507, 100000.000000276, 0.0979796019350882, 0.0001653709733885, 100000.00000004921]|3355.8768824863327609|      0.00000381|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[1.45612616e-07, -1.295765116e-07, 0.0100001296780298, 0.0003709008917507, 100000.000000276, 0.0979796019350882, 0.0001653709733885, 100000.00000004921]|3355.8768824863327609|      0.00000191|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[1.0629818728e-06, -8.011241053e-07, 0.009999956546977, 0.0003722013155411, 99999.99999985048, 0.0979800710739813, 0.0001657523096341, 99999.99999977033]|3354.2964882024584767|      0.00000381|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[1.0629818728e-06, -8.011241053e-07, 0.009999956546977, 0.0003722013155411, 99999.99999985048, 0.0979800710739813, 0.0001657523096341, 99999.99999977033]|3354.2964882024584767|      0.00000191|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[1.0629818728e-06, -8.011241053e-07, 0.009999956546977, 0.0003722013155411, 99999.99999985048, 0.0979800710739813, 0.0001657523096341, 99999.99999977033]|3354.2964882024584767|      0.00000095|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[1.0629818728e-06, -8.011241053e-07, 0.009999956546977, 0.0003722013155411, 99999.99999985048, 0.0979800710739813, 0.0001657523096341, 99999.99999977033]|3354.2964882024584767|      0.00000048|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[1.0887883954e-06, -7.365965685e-07, 0.0100000098257258, 0.0003726596555662, 99999.99999978568, 0.0979801339262469, 0.0001657148066867, 99999.99999976179]|3354.1783972513308072|      0.00000095|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[1.0887883954e-06, -7.365965685e-07, 0.0100000098257258, 0.0003726596555662, 99999.99999978568, 0.0979801339262469, 0.0001657148066867, 99999.99999976179]|3354.1783972513308072|      0.00000048|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[1.0887883954e-06, -7.365965685e-07, 0.0100000098257258, 0.0003726596555662, 99999.99999978568, 0.0979801339262469, 0.0001657148066867, 99999.99999976179]|3354.1783972513308072|      0.00000024|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      29|[1.0887883954e-06, -7.365965685e-07, 0.0100000098257258, 0.0003726596555662, 99999.99999978568, 0.0979801339262469, 0.0001657148066867, 99999.99999976179]|3354.1783972513308072|      0.00000012|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      30|[1.1700309103e-06, -7.528317687e-07, 0.0100000076029493, 0.0003727044744253, 99999.99999976094, 0.0979801298238176, 0.0001657747958674, 99999.99999972853]|3354.1761800349991063|      0.00000024|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      31|[1.1700309103e-06, -7.528317687e-07, 0.0100000076029493, 0.0003727044744253, 99999.99999976094, 0.0979801298238176, 0.0001657747958674, 99999.99999972853]|3354.1761800349991063|      0.00000012|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      32|[1.2119564455e-06, -7.624240318e-07, 0.0100000271396458, 0.0003726830957505, 99999.99999975713, 0.0979801553014894, 0.0001656706166914, 99999.99999973085]|3354.1712635898202279|      0.00000024|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      33|[1.2119564455e-06, -7.624240318e-07, 0.0100000271396458, 0.0003726830957505, 99999.99999975713, 0.0979801553014894, 0.0001656706166914, 99999.99999973085]|3354.1712635898202279|      0.00000012|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[1.2625003699e-06, -7.593383618e-07, 0.0100001184782186, 0.0003727096614208, 99999.9999997545, 0.0979801643772569, 0.0001657206968522, 99999.9999997299]|3354.1633776587545981|      0.00000024|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      35|[1.2625003699e-06, -7.593383618e-07, 0.0100001184782186, 0.0003727096614208, 99999.9999997545, 0.0979801643772569, 0.0001657206968522, 99999.9999997299]|3354.1633776587545981|      0.00000012|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      36|[1.2625003699e-06, -7.593383618e-07, 0.0100001184782186, 0.0003727096614208, 99999.9999997545, 0.0979801643772569, 0.0001657206968522, 99999.9999997299]|3354.1633776587545981|      0.00000006|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      37|[1.312745204e-06, -7.674990832e-07, 0.0100001202887139, 0.0003726877230685, 99999.9999997428, 0.0979801751286509, 0.0001657304402797, 99999.99999971852]|3354.1598094590294750|      0.00000012|[555, 74, 37, 74]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      38|[1.312745204e-06, -7.674990832e-07, 0.0100001202887139, 0.0003726877230685, 99999.9999997428, 0.0979801751286509, 0.0001657304402797, 99999.99999971852]|3354.1598094590294750|      0.00000006|[570, 76, 38, 76]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      39|[1.3612388496e-06, -7.579799366e-07, 0.0100001352464569, 0.0003726979571379, 99999.99999972712, 0.0979801916288833, 0.0001657141953351, 99999.99999971854]|3354.1556020090042693|      0.00000012|[585, 78, 39, 78]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      40|[1.4114932091e-06, -7.442618349e-07, 0.0100000645053242, 0.0003727060272143, 99999.99999974266, 0.09798025605062, 0.0001657593174189, 99999.99999971817]|3354.1542966459846866|      0.00000024|[600, 80, 40, 80]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
