k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 |  6.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1237200937502332, 0.5713224297310469, 1.8949462995905064]                    |  3.7586960919824373|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.1237200937502332, 0.5713224297310469, 1.8949462995905064]                    |  3.7586960919824373|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.6979013199966009, -0.2200623699142383, 1.6851225203932731]                   |  1.8706688424565019|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[1.6979013199966009, -0.2200623699142383, 1.6851225203932731]                   |  1.8706688424565019|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[1.6979013199966009, -0.2200623699142383, 1.6851225203932731]                   |  1.8706688424565019|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.6979013199966009, -0.2200623699142383, 1.6851225203932731]                   |  1.8706688424565019|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[1.6199557763931032, 0.0174707043727199, 1.6867133856112053]                    |  1.5139111304952833|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[1.6199557763931032, 0.0174707043727199, 1.6867133856112053]                    |  1.5139111304952833|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[1.6199557763931032, 0.0174707043727199, 1.6867133856112053]                    |  1.5139111304952833|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[1.5446255244371088, -0.0208332945530213, 1.5946093313760998]                   |  1.2911864261860462|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[1.5446255244371088, -0.0208332945530213, 1.5946093313760998]                   |  1.2911864261860462|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[1.5931019613265869, -0.01736791201231, 1.4794441187885004]                     |  1.1248876113308861|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[1.5931019613265869, -0.01736791201231, 1.4794441187885004]                     |  1.1248876113308861|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[1.5931019613265869, -0.01736791201231, 1.4794441187885004]                     |  1.1248876113308861|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[1.6165905480191722, 0.0387647833175776, 1.4651732810349931]                    |  1.0901841598322062|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
