k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.50000000|[49, 16, 1, 2]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       2|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.25000000|[98, 32, 2, 4]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       3|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.12500000|[147, 48, 3, 6]                                                            |  | used linear model with 65 points | iterate failure | actual_k=16
       4|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.06250000|[196, 64, 4, 8]                                                            |  | used linear model with 65 points | iterate failure | actual_k=16
       5|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.03125000|[245, 80, 5, 10]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       6|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.01562500|[294, 96, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       7|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00781250|[343, 112, 7, 14]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
       8|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00390625|[392, 128, 8, 16]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
       9|[107.47019925525298, 0.0946107274496678, 0.9097338135531112, 102.39981965703336, 0.182469441398989, 0.8178048630901914, 97.4395402100531, 0.2840956402343396, 0.716682618397545, 96.29986796074125, 0.3053441159828139, 0.6953603117462033, 93.9902702314698, 0.3566836853266593, 0.6434493103711066, 89.71956141717563, 0.4677525940643988, 0.5322011167521222, 83.70987774785081, 0.6574644564211752, 0.3430920322422171, 78.30916244196739, 0.8762400257973155, 0.1231832128194032, 886.3699348678003, 910.0090626302988, 922.519668987165, 926.4596952132906, 935.5606853099662, 952.8301227385475, 975.7298387618074]|  0.4783714964343704|      0.00781250|[441, 144, 9, 18]                                                          |  | used linear model with 65 points | iterate success | actual_k=16
      10|[107.47019925525298, 0.0946107274496678, 0.9097338135531112, 102.39981965703336, 0.182469441398989, 0.8178048630901914, 97.4395402100531, 0.2840956402343396, 0.716682618397545, 96.29986796074125, 0.3053441159828139, 0.6953603117462033, 93.9902702314698, 0.3566836853266593, 0.6434493103711066, 89.71956141717563, 0.4677525940643988, 0.5322011167521222, 83.70987774785081, 0.6574644564211752, 0.3430920322422171, 78.30916244196739, 0.8762400257973155, 0.1231832128194032, 886.3699348678003, 910.0090626302988, 922.519668987165, 926.4596952132906, 935.5606853099662, 952.8301227385475, 975.7298387618074]|  0.4783714964343704|      0.00390625|[490, 160, 10, 20]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      11|[107.47019925525298, 0.0946107274496678, 0.9097338135531112, 102.39981965703336, 0.182469441398989, 0.8178048630901914, 97.4395402100531, 0.2840956402343396, 0.716682618397545, 96.29986796074125, 0.3053441159828139, 0.6953603117462033, 93.9902702314698, 0.3566836853266593, 0.6434493103711066, 89.71956141717563, 0.4677525940643988, 0.5322011167521222, 83.70987774785081, 0.6574644564211752, 0.3430920322422171, 78.30916244196739, 0.8762400257973155, 0.1231832128194032, 886.3699348678003, 910.0090626302988, 922.519668987165, 926.4596952132906, 935.5606853099662, 952.8301227385475, 975.7298387618074]|  0.4783714964343704|      0.00195312|[539, 176, 11, 22]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      12|[107.47045734240506, 0.0941068103078528, 0.909641182517936, 102.39984190774706, 0.1838878367557233, 0.8184428851970783, 97.43951182717493, 0.2839720390059197, 0.7166742892176194, 96.30023585649984, 0.305127180062241, 0.6952946927243937, 93.99053911479372, 0.3566476427038335, 0.6437146782171101, 89.71992083916503, 0.4677426122759812, 0.5321248509957582, 83.71014322313054, 0.6569812265517434, 0.3428923498800047, 78.30914545263374, 0.8764722338168471, 0.1232458336996402, 886.369950187587, 910.0088652365031, 922.5198042298624, 926.4598390077434, 935.5606525541979, 952.8300863129036, 975.7301575412025]|  0.3033983480320845|      0.00390625|[588, 192, 12, 24]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      13|[107.47045734240506, 0.0941068103078528, 0.909641182517936, 102.39984190774706, 0.1838878367557233, 0.8184428851970783, 97.43951182717493, 0.2839720390059197, 0.7166742892176194, 96.30023585649984, 0.305127180062241, 0.6952946927243937, 93.99053911479372, 0.3566476427038335, 0.6437146782171101, 89.71992083916503, 0.4677426122759812, 0.5321248509957582, 83.71014322313054, 0.6569812265517434, 0.3428923498800047, 78.30914545263374, 0.8764722338168471, 0.1232458336996402, 886.369950187587, 910.0088652365031, 922.5198042298624, 926.4598390077434, 935.5606525541979, 952.8300863129036, 975.7301575412025]|  0.3033983480320845|      0.00195312|[637, 208, 13, 26]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      14|[107.47045734240506, 0.0941068103078528, 0.909641182517936, 102.39984190774706, 0.1838878367557233, 0.8184428851970783, 97.43951182717493, 0.2839720390059197, 0.7166742892176194, 96.30023585649984, 0.305127180062241, 0.6952946927243937, 93.99053911479372, 0.3566476427038335, 0.6437146782171101, 89.71992083916503, 0.4677426122759812, 0.5321248509957582, 83.71014322313054, 0.6569812265517434, 0.3428923498800047, 78.30914545263374, 0.8764722338168471, 0.1232458336996402, 886.369950187587, 910.0088652365031, 922.5198042298624, 926.4598390077434, 935.5606525541979, 952.8300863129036, 975.7301575412025]|  0.3033983480320845|      0.00097656|[686, 224, 14, 28]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      15|[107.47041459595972, 0.0946632780961116, 0.9098780137145519, 102.39995637494057, 0.1835432741906802, 0.8182941963834227, 97.43959028645335, 0.284341343573051, 0.7168440083601662, 96.30019515812782, 0.3051709752551821, 0.6952753943544522, 93.99077159569289, 0.3565261564825898, 0.6436066432554091, 89.71982319717236, 0.4677317120938791, 0.5321430243071283, 83.71018130909988, 0.6571416100499212, 0.3427840683980961, 78.30896628134786, 0.8766244663808719, 0.1233878481148759, 886.3698559621009, 910.0088898497766, 922.5199657195741, 926.4598746201052, 935.5606987885753, 952.8300016390164, 975.7300805281508]|  0.2327476965651796|      0.00195312|[735, 240, 15, 30]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      16|[107.47041459595972, 0.0946632780961116, 0.9098780137145519, 102.39995637494057, 0.1835432741906802, 0.8182941963834227, 97.43959028645335, 0.284341343573051, 0.7168440083601662, 96.30019515812782, 0.3051709752551821, 0.6952753943544522, 93.99077159569289, 0.3565261564825898, 0.6436066432554091, 89.71982319717236, 0.4677317120938791, 0.5321430243071283, 83.71018130909988, 0.6571416100499212, 0.3427840683980961, 78.30896628134786, 0.8766244663808719, 0.1233878481148759, 886.3698559621009, 910.0088898497766, 922.5199657195741, 926.4598746201052, 935.5606987885753, 952.8300016390164, 975.7300805281508]|  0.2327476965651796|      0.00097656|[784, 256, 16, 32]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      17|[107.47041459595972, 0.0946632780961116, 0.9098780137145519, 102.39995637494057, 0.1835432741906802, 0.8182941963834227, 97.43959028645335, 0.284341343573051, 0.7168440083601662, 96.30019515812782, 0.3051709752551821, 0.6952753943544522, 93.99077159569289, 0.3565261564825898, 0.6436066432554091, 89.71982319717236, 0.4677317120938791, 0.5321430243071283, 83.71018130909988, 0.6571416100499212, 0.3427840683980961, 78.30896628134786, 0.8766244663808719, 0.1233878481148759, 886.3698559621009, 910.0088898497766, 922.5199657195741, 926.4598746201052, 935.5606987885753, 952.8300016390164, 975.7300805281508]|  0.2327476965651796|      0.00048828|[833, 272, 17, 34]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      18|[107.47050418152205, 0.0944556606214113, 0.909801393675872, 102.39997263924067, 0.1838686435945453, 0.8183215516780091, 97.4396567216674, 0.2844422448122917, 0.7168005767660324, 96.30018379811183, 0.3053027474766424, 0.6952795120243478, 93.99077188693535, 0.356575601593459, 0.6435625235314069, 89.71991010483725, 0.4677576096814937, 0.5321480567103495, 83.71020978107659, 0.6571445623067789, 0.3427695831694428, 78.30896121029959, 0.8765571091458189, 0.1233886575823381, 886.369848085738, 910.0088566976293, 922.5199891256591, 926.4599024815338, 935.5607065151213, 952.8298947077722, 975.7301718308621]|  0.2050292774223345|      0.00097656|[882, 288, 18, 36]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      19|[107.47058261476974, 0.0947115981795245, 0.9097938585129625, 102.39989313727843, 0.1840300056279447, 0.8180450177200612, 97.43970827645867, 0.2848334420875167, 0.7165485964481413, 96.30030587841227, 0.3054717462548883, 0.6951168816218642, 93.99077325784681, 0.3564350526394093, 0.6435359131889615, 89.72012058313935, 0.4678239685090316, 0.5320158296408867, 83.71008898923138, 0.6570950282219515, 0.3427909349897853, 78.30893884093183, 0.8769634265924712, 0.1234266922222616, 886.3697278648377, 910.0089368735522, 922.520126765227, 926.4601454634418, 935.5608086889282, 952.8301944050806, 975.7300547217013]|  0.1913568403898524|      0.00195312|[931, 304, 19, 38]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      20|[107.47058261476974, 0.0947115981795245, 0.9097938585129625, 102.39989313727843, 0.1840300056279447, 0.8180450177200612, 97.43970827645867, 0.2848334420875167, 0.7165485964481413, 96.30030587841227, 0.3054717462548883, 0.6951168816218642, 93.99077325784681, 0.3564350526394093, 0.6435359131889615, 89.72012058313935, 0.4678239685090316, 0.5320158296408867, 83.71008898923138, 0.6570950282219515, 0.3427909349897853, 78.30893884093183, 0.8769634265924712, 0.1234266922222616, 886.3697278648377, 910.0089368735522, 922.520126765227, 926.4601454634418, 935.5608086889282, 952.8301944050806, 975.7300547217013]|  0.1913568403898524|      0.00097656|[980, 320, 20, 40]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      21|[107.47058261476974, 0.0947115981795245, 0.9097938585129625, 102.39989313727843, 0.1840300056279447, 0.8180450177200612, 97.43970827645867, 0.2848334420875167, 0.7165485964481413, 96.30030587841227, 0.3054717462548883, 0.6951168816218642, 93.99077325784681, 0.3564350526394093, 0.6435359131889615, 89.72012058313935, 0.4678239685090316, 0.5320158296408867, 83.71008898923138, 0.6570950282219515, 0.3427909349897853, 78.30893884093183, 0.8769634265924712, 0.1234266922222616, 886.3697278648377, 910.0089368735522, 922.520126765227, 926.4601454634418, 935.5608086889282, 952.8301944050806, 975.7300547217013]|  0.1913568403898524|      0.00048828|[1029, 336, 21, 42]                                                        |  | used linear model with 65 points | iterate failure | actual_k=16
      22|[107.4705615301247, 0.094521539351031, 0.9097188770273597, 102.39986109381387, 0.1843121337821974, 0.8180586729130311, 97.43975102783148, 0.284926387059943, 0.7165777312701088, 96.30030770376187, 0.3055462450287753, 0.6950535876386403, 93.99072457475549, 0.3565750676096509, 0.6435665446998693, 89.72012964004514, 0.4677106663357724, 0.5319070711673974, 83.71016603516506, 0.6571840383480643, 0.3428195279304572, 78.30893943369618, 0.8769281763884126, 0.1233675657274721, 886.3697628312244, 910.0090362883027, 922.5201836608459, 926.4601604296354, 935.5608871190542, 952.830114073723, 975.7300374595357]|  0.1822700756536519|      0.00097656|[1078, 352, 22, 44]                                                        |  | used linear model with 65 points | iterate success | actual_k=16
      23|[107.4705615301247, 0.094521539351031, 0.9097188770273597, 102.39986109381387, 0.1843121337821974, 0.8180586729130311, 97.43975102783148, 0.284926387059943, 0.7165777312701088, 96.30030770376187, 0.3055462450287753, 0.6950535876386403, 93.99072457475549, 0.3565750676096509, 0.6435665446998693, 89.72012964004514, 0.4677106663357724, 0.5319070711673974, 83.71016603516506, 0.6571840383480643, 0.3428195279304572, 78.30893943369618, 0.8769281763884126, 0.1233675657274721, 886.3697628312244, 910.0090362883027, 922.5201836608459, 926.4601604296354, 935.5608871190542, 952.830114073723, 975.7300374595357]|  0.1822700756536519|      0.00048828|[1127, 368, 23, 46]                                                        |  | used linear model with 65 points | iterate failure | actual_k=16
      24|[107.4705615301247, 0.094521539351031, 0.9097188770273597, 102.39986109381387, 0.1843121337821974, 0.8180586729130311, 97.43975102783148, 0.284926387059943, 0.7165777312701088, 96.30030770376187, 0.3055462450287753, 0.6950535876386403, 93.99072457475549, 0.3565750676096509, 0.6435665446998693, 89.72012964004514, 0.4677106663357724, 0.5319070711673974, 83.71016603516506, 0.6571840383480643, 0.3428195279304572, 78.30893943369618, 0.8769281763884126, 0.1233675657274721, 886.3697628312244, 910.0090362883027, 922.5201836608459, 926.4601604296354, 935.5608871190542, 952.830114073723, 975.7300374595357]|  0.1822700756536519|      0.00024414|[1176, 384, 24, 48]                                                        |  | used linear model with 65 points | iterate failure | actual_k=16
      25|[107.47054313759698, 0.0946764255068865, 0.9097984092562487, 102.39986867690446, 0.1842697906898863, 0.8180120966270042, 97.4397713725588, 0.285030849167291, 0.7165747795120297, 96.30035085414043, 0.3055898243623579, 0.6950829172613838, 93.99072279837391, 0.3565922657006635, 0.643598650104721, 89.7201245627917, 0.4677653444388528, 0.5319140823661754, 83.71012274901074, 0.657190037316839, 0.3428233384826105, 78.30895204203657, 0.8769302563037229, 0.1233791473780914, 886.3697621268213, 910.0090288511431, 922.5201973632204, 926.4601621509105, 935.5609119727421, 952.8300793812083, 975.7300203882186]|  0.1707838352540662|      0.00048828|[1225, 400, 25, 50]                                                        |  | used linear model with 65 points | iterate success | actual_k=16
