k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.9981394273547614, 2.0021299957804457, 1.0782301453750416, 0.9360338119339815, 1.035285394232357, 1.064500492092517]|  0.5941428842609540|      0.25000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[0.9981394273547614, 2.0021299957804457, 1.0782301453750416, 0.9360338119339815, 1.035285394232357, 1.064500492092517]|  0.5941428842609540|      0.12500000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.979054678046531, 1.94030955421693, 1.1298755423502984, 0.8934003545060257, 1.0902304798709248, 1.001769445617018]|  0.5509789277742102|      0.25000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[1.1747662847003706, 1.9872286877004086, 1.147197548948147, 0.746840643890013, 1.0769378804714473, 1.008019889354222]|  0.4036485245359780|      0.50000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       8|[1.1747662847003706, 1.9872286877004086, 1.147197548948147, 0.746840643890013, 1.0769378804714473, 1.008019889354222]|  0.4036485245359780|      0.25000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[1.1747662847003706, 1.9872286877004086, 1.147197548948147, 0.746840643890013, 1.0769378804714473, 1.008019889354222]|  0.4036485245359780|      0.12500000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[1.1747662847003706, 1.9872286877004086, 1.147197548948147, 0.746840643890013, 1.0769378804714473, 1.008019889354222]|  0.4036485245359780|      0.06250000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[1.2118084160837976, 1.9810193502596902, 1.1229219553388061, 0.7495947405541603, 1.1160290006970635, 0.9887697086510361]|  0.3852456598485423|      0.12500000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[1.2118084160837976, 1.9810193502596902, 1.1229219553388061, 0.7495947405541603, 1.1160290006970635, 0.9887697086510361]|  0.3852456598485423|      0.06250000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[1.235444766717157, 1.9647098776759124, 1.1592474965829744, 0.7371193878828682, 1.1469090861578477, 0.9632194643517017]|  0.3676935268306974|      0.12500000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[1.235444766717157, 1.9647098776759124, 1.1592474965829744, 0.7371193878828682, 1.1469090861578477, 0.9632194643517017]|  0.3676935268306974|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[1.2210873540724652, 1.9397691315882994, 1.2001202992283462, 0.7001576742449407, 1.1433667867689858, 0.9578555356941552]|  0.3490943760660336|      0.12500000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      16|[1.2210873540724652, 1.9397691315882994, 1.2001202992283462, 0.7001576742449407, 1.1433667867689858, 0.9578555356941552]|  0.3490943760660336|      0.06250000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[1.268888480917244, 1.9251975854041274, 1.1991854567055313, 0.6776596475304238, 1.1596119083898442, 0.983114854788419]|  0.3290931469740110|      0.12500000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      18|[1.268888480917244, 1.9251975854041274, 1.1991854567055313, 0.6776596475304238, 1.1596119083898442, 0.983114854788419]|  0.3290931469740110|      0.06250000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[1.268888480917244, 1.9251975854041274, 1.1991854567055313, 0.6776596475304238, 1.1596119083898442, 0.983114854788419]|  0.3290931469740110|      0.03125000|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[1.2873418540445962, 1.9443951815173308, 1.2066107437841027, 0.6857331673664614, 1.1710875512658816, 0.9870494238291907]|  0.3234201060332026|      0.06250000|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
