k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00390625|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[0.499895166595816, 1.4999694149270728, -1.0000847325198268, 0.0138653408219107, 0.0194533517550233]|  0.1639514633295490|      0.00781250|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[0.499895166595816, 1.4999694149270728, -1.0000847325198268, 0.0138653408219107, 0.0194533517550233]|  0.1639514633295490|      0.00390625|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[0.499895166595816, 1.4999694149270728, -1.0000847325198268, 0.0138653408219107, 0.0194533517550233]|  0.1639514633295490|      0.00195312|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[0.499895166595816, 1.4999694149270728, -1.0000847325198268, 0.0138653408219107, 0.0194533517550233]|  0.1639514633295490|      0.00097656|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[0.499895166595816, 1.4999694149270728, -1.0000847325198268, 0.0138653408219107, 0.0194533517550233]|  0.1639514633295490|      0.00048828|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[0.4998361104031636, 1.4999603151299925, -1.000091639280164, 0.014348774716629, 0.0194203047430082]|  0.1577812623175595|      0.00097656|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[0.4994931581450915, 1.4999409952229679, -1.000120260747785, 0.0146684759253403, 0.0202762584538021]|  0.1514486114227986|      0.00195312|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      16|[0.4990546303204422, 1.4998868996240762, -1.0002882489928766, 0.0154294631755873, 0.022011810997889]|  0.1414187625930042|      0.00390625|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      17|[0.4990546303204422, 1.4998868996240762, -1.0002882489928766, 0.0154294631755873, 0.022011810997889]|  0.1414187625930042|      0.00195312|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[0.4983460183234572, 1.4999842500247436, -1.0003138360355386, 0.0151836421123082, 0.0238123682757727]|  0.1389699802176841|      0.00390625|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      19|[0.4983460183234572, 1.4999842500247436, -1.0003138360355386, 0.0151836421123082, 0.0238123682757727]|  0.1389699802176841|      0.00195312|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[0.4983460183234572, 1.4999842500247436, -1.0003138360355386, 0.0151836421123082, 0.0238123682757727]|  0.1389699802176841|      0.00097656|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[0.4982157105837691, 1.4999532907028734, -1.0003382834128993, 0.0161409945010232, 0.0236759334586078]|  0.1343801090222745|      0.00195312|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      22|[0.4982157105837691, 1.4999532907028734, -1.0003382834128993, 0.0161409945010232, 0.0236759334586078]|  0.1343801090222745|      0.00097656|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[0.4982157105837691, 1.4999532907028734, -1.0003382834128993, 0.0161409945010232, 0.0236759334586078]|  0.1343801090222745|      0.00048828|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[0.4981471246100269, 1.4999424350981725, -1.0003518840857029, 0.0157346546262987, 0.0239372754320108]|  0.1316165077603842|      0.00097656|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[0.4981471246100269, 1.4999424350981725, -1.0003518840857029, 0.0157346546262987, 0.0239372754320108]|  0.1316165077603842|      0.00048828|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
