k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 10.0, 1.0, 1.0]                                                         |3066308.1922855651937425|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[99.83182191869382, 9.973681391165778, 1.96625324091559, 1.1933342655023247]    |2663021.0060019092634320|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[99.83182191869382, 9.973681391165778, 1.96625324091559, 1.1933342655023247]    |2663021.0060019092634320|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[100.0622952957657, 9.634698851653104, 2.856782230670751, 1.3906436134113254]   |2633046.8629925693385303|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[100.8979350955155, 9.053934373665813, 3.4919616885800444, 2.9909453982107745]  |2623642.4995301226153970|      4.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[104.60638220674053, 10.054516019617619, 3.3175867778431765, 1.8882896116950443]|2586021.1015008878894150|      8.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[104.60638220674053, 10.054516019617619, 3.3175867778431765, 1.8882896116950443]|2586021.1015008878894150|      4.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[104.60638220674053, 10.054516019617619, 3.3175867778431765, 1.8882896116950443]|2586021.1015008878894150|      2.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[106.4926571082108, 10.203554824591006, 3.0170213288922425, 1.3143428880417387] |2568845.7991069448180497|      4.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[106.4926571082108, 10.203554824591006, 3.0170213288922425, 1.3143428880417387] |2568845.7991069448180497|      2.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[107.2367585413755, 9.465511014954457, 3.604287879288142, 2.9133183071791104]   |2560741.3212896226905286|      4.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[107.2367585413755, 9.465511014954457, 3.604287879288142, 2.9133183071791104]   |2560741.3212896226905286|      2.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[108.98363179140875, 9.199719982449087, 2.673956138537846, 3.024096588039909]   |2542216.3869800129905343|      4.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[108.98363179140875, 9.199719982449087, 2.673956138537846, 3.024096588039909]   |2542216.3869800129905343|      2.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[110.86627910407948, 9.164393803019955, 2.0098436859029367, 3.139620643525695]  |2528014.6098113739863038|      4.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
