k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[49, 16, 1, 2]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[98, 32, 2, 4]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       3|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.12500000|[147, 48, 3, 6]                                                            |  | used linear model with 65 points | iterate failure | actual_k=16
       4|[99.99853057255392, 0.0494273788728018, 0.2144381872910832, 0.9110726027658987, 99.99761550352389, 0.0214217461870707, 0.200794022874857, 0.7984175131815677, 99.99643686983437, -0.0053020027678141, 0.2740644075890784, 0.7863713202133893, 100.00587817058091, 0.1670713073078836, 0.3343744285434904, 0.6091568224284568, 99.99247279329354, 0.2713997893650019, 0.4680106241451729, 0.2940647905005261, 99.99532255615158, 0.6045890275884577, 0.6059631435917439, 0.0060170404477674, 300.01823575698336, 300.01081490006425, 300.00737499430505, 299.9997471737709, 299.98994039533216]|472.4347741486773771|      0.25000000|[196, 64, 4, 8]                                                            |  | used linear model with 65 points | iterate success | actual_k=16
       5|[100.01749780890668, 0.0934921627309374, 0.2727973189213497, 0.9061971699157468, 100.00812018559316, 0.0279881521797953, 0.2348818946218869, 0.6525459392670451, 100.04454710444924, 0.0354924488427283, 0.3068326217954851, 0.7756191972723092, 99.95318414444178, 0.1085007187592084, 0.2751339427486112, 0.6250258740448293, 99.9301844850128, 0.2544624908007773, 0.4691773427034116, 0.2551852071634582, 99.97893890796094, 0.6079543122739578, 0.6181858716583521, 0.1056889324356116, 300.0451871356346, 300.03726921489084, 300.0125973957004, 300.03587456697, 300.0053171617494]|354.6545606678635068|      0.50000000|[245, 80, 5, 10]                                                           |  | used linear model with 65 points | iterate success | actual_k=16
       6|[100.01749780890668, 0.0934921627309374, 0.2727973189213497, 0.9061971699157468, 100.00812018559316, 0.0279881521797953, 0.2348818946218869, 0.6525459392670451, 100.04454710444924, 0.0354924488427283, 0.3068326217954851, 0.7756191972723092, 99.95318414444178, 0.1085007187592084, 0.2751339427486112, 0.6250258740448293, 99.9301844850128, 0.2544624908007773, 0.4691773427034116, 0.2551852071634582, 99.97893890796094, 0.6079543122739578, 0.6181858716583521, 0.1056889324356116, 300.0451871356346, 300.03726921489084, 300.0125973957004, 300.03587456697, 300.0053171617494]|354.6545606678635068|      0.25000000|[294, 96, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       7|[100.02358337997921, 0.132129318238465, 0.3354860384269713, 0.8815607225122345, 100.0114222936639, 0.0168193423450939, 0.3395474797101146, 0.681980149426688, 99.997614916573, 0.0219435972865871, 0.2499668857856083, 0.761409167212043, 99.94522636148882, 0.111083449421649, 0.3022256082719831, 0.5448385653635384, 99.85673131992942, 0.2543150926123118, 0.3863324333192467, 0.259273602357962, 99.96912235485564, 0.6717746244133674, 0.6357093048440638, 0.1382935230201021, 299.9509805141678, 300.032330027878, 299.96294496354085, 299.9892867645268, 299.9969133816635]|215.0672263511327174|      0.50000000|[343, 112, 7, 14]                                                          |  | used linear model with 65 points | iterate success | actual_k=16
       8|[100.02358337997921, 0.132129318238465, 0.3354860384269713, 0.8815607225122345, 100.0114222936639, 0.0168193423450939, 0.3395474797101146, 0.681980149426688, 99.997614916573, 0.0219435972865871, 0.2499668857856083, 0.761409167212043, 99.94522636148882, 0.111083449421649, 0.3022256082719831, 0.5448385653635384, 99.85673131992942, 0.2543150926123118, 0.3863324333192467, 0.259273602357962, 99.96912235485564, 0.6717746244133674, 0.6357093048440638, 0.1382935230201021, 299.9509805141678, 300.032330027878, 299.96294496354085, 299.9892867645268, 299.9969133816635]|215.0672263511327174|      0.25000000|[392, 128, 8, 16]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
       9|[100.02358337997921, 0.132129318238465, 0.3354860384269713, 0.8815607225122345, 100.0114222936639, 0.0168193423450939, 0.3395474797101146, 0.681980149426688, 99.997614916573, 0.0219435972865871, 0.2499668857856083, 0.761409167212043, 99.94522636148882, 0.111083449421649, 0.3022256082719831, 0.5448385653635384, 99.85673131992942, 0.2543150926123118, 0.3863324333192467, 0.259273602357962, 99.96912235485564, 0.6717746244133674, 0.6357093048440638, 0.1382935230201021, 299.9509805141678, 300.032330027878, 299.96294496354085, 299.9892867645268, 299.9969133816635]|215.0672263511327174|      0.12500000|[441, 144, 9, 18]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
      10|[100.0569002402477, 0.1250458973774377, 0.3398709673829883, 0.9066775492064858, 100.03570728394637, 0.0685993224100869, 0.3657997485412363, 0.7083010385743334, 100.00371073644212, 0.0304065528843718, 0.304308354971479, 0.7182032128496881, 99.94734326937304, 0.0823295163684496, 0.3047422623398597, 0.5275621766243096, 99.85416929013151, 0.2391133989885849, 0.3887784644727034, 0.2672158875734008, 99.98901708847497, 0.6867239502214152, 0.6382117647679809, 0.1305309489225648, 299.92810553648695, 300.0695291507243, 299.95882764486487, 300.0017628764769, 300.001919162677]|164.0696197966264549|      0.25000000|[490, 160, 10, 20]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      11|[100.0569002402477, 0.1250458973774377, 0.3398709673829883, 0.9066775492064858, 100.03570728394637, 0.0685993224100869, 0.3657997485412363, 0.7083010385743334, 100.00371073644212, 0.0304065528843718, 0.304308354971479, 0.7182032128496881, 99.94734326937304, 0.0823295163684496, 0.3047422623398597, 0.5275621766243096, 99.85416929013151, 0.2391133989885849, 0.3887784644727034, 0.2672158875734008, 99.98901708847497, 0.6867239502214152, 0.6382117647679809, 0.1305309489225648, 299.92810553648695, 300.0695291507243, 299.95882764486487, 300.0017628764769, 300.001919162677]|164.0696197966264549|      0.12500000|[539, 176, 11, 22]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
