k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[1.3781726728762114, 0.2567857280922085, 0.6664759926703007, 0.8604736227028765, 0.4707567168796356, 2.9814245491405957, 5.109088231001884, 7.042782534177029, 2.158790632659297, 4.540599034057202, 5.574874028199034]|  1.3689833677667900|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[1.3781726728762114, 0.2567857280922085, 0.6664759926703007, 0.8604736227028765, 0.4707567168796356, 2.9814245491405957, 5.109088231001884, 7.042782534177029, 2.158790632659297, 4.540599034057202, 5.574874028199034]|  1.3689833677667900|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[1.3781726728762114, 0.2567857280922085, 0.6664759926703007, 0.8604736227028765, 0.4707567168796356, 2.9814245491405957, 5.109088231001884, 7.042782534177029, 2.158790632659297, 4.540599034057202, 5.574874028199034]|  1.3689833677667900|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[1.3781726728762114, 0.2567857280922085, 0.6664759926703007, 0.8604736227028765, 0.4707567168796356, 2.9814245491405957, 5.109088231001884, 7.042782534177029, 2.158790632659297, 4.540599034057202, 5.574874028199034]|  1.3689833677667900|      0.12500000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[1.3781726728762114, 0.2567857280922085, 0.6664759926703007, 0.8604736227028765, 0.4707567168796356, 2.9814245491405957, 5.109088231001884, 7.042782534177029, 2.158790632659297, 4.540599034057202, 5.574874028199034]|  1.3689833677667900|      0.06250000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[1.3639003625207151, 0.2461031661167744, 0.6677037706656006, 0.8695060238052664, 0.492607374322512, 2.9870782859592677, 5.091667088023605, 7.034370568528255, 2.163446769704547, 4.541043786415092, 5.625862179194992]|  1.2609628963433890|      0.12500000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[1.3639003625207151, 0.2461031661167744, 0.6677037706656006, 0.8695060238052664, 0.492607374322512, 2.9870782859592677, 5.091667088023605, 7.034370568528255, 2.163446769704547, 4.541043786415092, 5.625862179194992]|  1.2609628963433890|      0.06250000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[1.3705909061751385, 0.2413011139909882, 0.6636488798479108, 0.8642748668749087, 0.4450788418949481, 2.987425235526576, 5.09346818926313, 7.040912060145442, 2.178955619647359, 4.562782516908039, 5.653726243895775]|  1.1060532435734367|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[1.3705909061751385, 0.2413011139909882, 0.6636488798479108, 0.8642748668749087, 0.4450788418949481, 2.987425235526576, 5.09346818926313, 7.040912060145442, 2.178955619647359, 4.562782516908039, 5.653726243895775]|  1.1060532435734367|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[1.3683342941993086, 0.2327556893493659, 0.6302088975271779, 0.8479808830358103, 0.451260560477148, 2.9860366333921866, 5.080299514642075, 7.029426096285773, 2.220461650490746, 4.561134384577831, 5.673051277893083]|  0.9901016694355621|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
