k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[99.97732850737816, 0.0774952066985083, 0.2531734802737663, 0.9857007094191593, 99.99463699714931, 0.0150898561818441, 0.2231242135878862, 0.7779278649206995, 99.98345358657741, 0.0551958065646815, 0.2257381627151927, 0.775811768473366, 99.95868865513215, 0.1392421259585797, 0.4253879067892213, 0.6131619606785372, 100.01553288302367, 0.2410029942098068, 0.5188456175978151, 0.312539390270652, 100.04366218869512, 0.6140922316147052, 0.6439615922327738, -0.0431209756064755, 300.02140437674325, 299.95015362364916, 300.03263782705864, 300.03954890589233, 300.05730622690976]|370.4629821777343750|      0.50000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       4|[99.97732850737816, 0.0774952066985083, 0.2531734802737663, 0.9857007094191593, 99.99463699714931, 0.0150898561818441, 0.2231242135878862, 0.7779278649206995, 99.98345358657741, 0.0551958065646815, 0.2257381627151927, 0.775811768473366, 99.95868865513215, 0.1392421259585797, 0.4253879067892213, 0.6131619606785372, 100.01553288302367, 0.2410029942098068, 0.5188456175978151, 0.312539390270652, 100.04366218869512, 0.6140922316147052, 0.6439615922327738, -0.0431209756064755, 300.02140437674325, 299.95015362364916, 300.03263782705864, 300.03954890589233, 300.05730622690976]|370.4629821777343750|      0.25000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[99.97732850737816, 0.0774952066985083, 0.2531734802737663, 0.9857007094191593, 99.99463699714931, 0.0150898561818441, 0.2231242135878862, 0.7779278649206995, 99.98345358657741, 0.0551958065646815, 0.2257381627151927, 0.775811768473366, 99.95868865513215, 0.1392421259585797, 0.4253879067892213, 0.6131619606785372, 100.01553288302367, 0.2410029942098068, 0.5188456175978151, 0.312539390270652, 100.04366218869512, 0.6140922316147052, 0.6439615922327738, -0.0431209756064755, 300.02140437674325, 299.95015362364916, 300.03263782705864, 300.03954890589233, 300.05730622690976]|370.4629821777343750|      0.12500000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[99.97439957521884, 0.131883577230146, 0.2498410428159495, 1.0162872786042356, 100.00118158347198, 0.0702153682243407, 0.2393028481931889, 0.7701797946189013, 99.96668743046388, 0.0787675673390406, 0.2336621518726037, 0.7527884654866199, 99.94669982772268, 0.1185287791123072, 0.395408316639364, 0.6108930006509817, 100.032616979055, 0.238026561833978, 0.5023432277260657, 0.3409711274837846, 100.0210277943596, 0.6294235762098036, 0.6400537978197806, -0.0375811734311245, 300.00804845183774, 299.968916385627, 300.035039269062, 299.9982232696399, 300.0886624799744]|240.5038299560546875|      0.25000000|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       7|[99.9320191561371, 0.1490247988803717, 0.2782527217179509, 1.0085166070694296, 99.96920718796964, 0.2070319344971238, 0.2865967339977876, 0.754524891174814, 99.93421105681321, 0.1218659094182461, 0.2352862721023116, 0.7862559101717567, 99.98884971210263, 0.1230627530416584, 0.3699219251786791, 0.6322962987031449, 100.0137119576983, 0.2152847539589057, 0.3923648076932135, 0.3934081101015761, 100.05182291626299, 0.5825226997867594, 0.6471500170822527, 0.0121676912478121, 300.03780729205886, 299.96392503083047, 299.9810347434275, 299.9861721204848, 300.1594776926429]|186.9463806152343750|      0.50000000|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       8|[99.9320191561371, 0.1490247988803717, 0.2782527217179509, 1.0085166070694296, 99.96920718796964, 0.2070319344971238, 0.2865967339977876, 0.754524891174814, 99.93421105681321, 0.1218659094182461, 0.2352862721023116, 0.7862559101717567, 99.98884971210263, 0.1230627530416584, 0.3699219251786791, 0.6322962987031449, 100.0137119576983, 0.2152847539589057, 0.3923648076932135, 0.3934081101015761, 100.05182291626299, 0.5825226997867594, 0.6471500170822527, 0.0121676912478121, 300.03780729205886, 299.96392503083047, 299.9810347434275, 299.9861721204848, 300.1594776926429]|186.9463806152343750|      0.25000000|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[99.9320191561371, 0.1490247988803717, 0.2782527217179509, 1.0085166070694296, 99.96920718796964, 0.2070319344971238, 0.2865967339977876, 0.754524891174814, 99.93421105681321, 0.1218659094182461, 0.2352862721023116, 0.7862559101717567, 99.98884971210263, 0.1230627530416584, 0.3699219251786791, 0.6322962987031449, 100.0137119576983, 0.2152847539589057, 0.3923648076932135, 0.3934081101015761, 100.05182291626299, 0.5825226997867594, 0.6471500170822527, 0.0121676912478121, 300.03780729205886, 299.96392503083047, 299.9810347434275, 299.9861721204848, 300.1594776926429]|186.9463806152343750|      0.12500000|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[99.94104035758801, 0.1980193047493814, 0.2863594562352357, 1.0339282976047828, 99.950402299137, 0.202702979799476, 0.2925647315479873, 0.7191884774884766, 99.93298316803737, 0.1780615578737995, 0.2661175635102498, 0.8147636271640315, 99.98250805276821, 0.1130228219833229, 0.3287629455053799, 0.6268180540215371, 100.035361042944, 0.2130986275647057, 0.3806884736710943, 0.3999805757546738, 100.07777496662958, 0.5916074647753156, 0.6316335480455347, 0.0261708012034987, 300.0034873511981, 299.96535841428687, 299.9620032235801, 300.001918031655, 300.178220753861]|104.9841766357421875|      0.25000000|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
