k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.2440353253183474, -0.0402198018380588, -0.2679142142081252, -0.1946080935805532, 0.7607383022614789, 0.2869535718427024, 0.0184065127924983, 0.1532163359395687, 0.3798679099926338]|120982.7109260954312049|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[-0.2440353253183474, -0.0402198018380588, -0.2679142142081252, -0.1946080935805532, 0.7607383022614789, 0.2869535718427024, 0.0184065127924983, 0.1532163359395687, 0.3798679099926338]|120982.7109260954312049|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[-0.2440353253183474, -0.0402198018380588, -0.2679142142081252, -0.1946080935805532, 0.7607383022614789, 0.2869535718427024, 0.0184065127924983, 0.1532163359395687, 0.3798679099926338]|120982.7109260954312049|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[-0.3263171167725544, 0.0995623133452642, -0.1771853104884812, 0.1039206326917168, 1.0798713633786299, 0.3319698159355656, -0.0852472073035884, 0.0534730561652756, 0.3377449446420315]|62398.7748408022089279|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[-0.3263171167725544, 0.0995623133452642, -0.1771853104884812, 0.1039206326917168, 1.0798713633786299, 0.3319698159355656, -0.0852472073035884, 0.0534730561652756, 0.3377449446420315]|62398.7748408022089279|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[-0.2443858490851851, 0.0612176329336085, -0.2521280034973762, -0.1522933672408892, 1.2558370134884145, 0.1096828143819425, 0.0531985137942508, 0.0410073857799718, 0.6039345390210424]|26527.0672693203778181|      1.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[-0.2443858490851851, 0.0612176329336085, -0.2521280034973762, -0.1522933672408892, 1.2558370134884145, 0.1096828143819425, 0.0531985137942508, 0.0410073857799718, 0.6039345390210424]|26527.0672693203778181|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[-0.2443858490851851, 0.0612176329336085, -0.2521280034973762, -0.1522933672408892, 1.2558370134884145, 0.1096828143819425, 0.0531985137942508, 0.0410073857799718, 0.6039345390210424]|26527.0672693203778181|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[-0.1798670158325471, 0.1349727134996588, -0.1917990085498351, 0.050850371959949, 1.199859887909005, 0.1053755043133602, 0.0699023207897274, -0.0144017687093892, 0.5653423278767301]|3769.9677640900731603|      0.50000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[-0.1798670158325471, 0.1349727134996588, -0.1917990085498351, 0.050850371959949, 1.199859887909005, 0.1053755043133602, 0.0699023207897274, -0.0144017687093892, 0.5653423278767301]|3769.9677640900731603|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[-0.1798670158325471, 0.1349727134996588, -0.1917990085498351, 0.050850371959949, 1.199859887909005, 0.1053755043133602, 0.0699023207897274, -0.0144017687093892, 0.5653423278767301]|3769.9677640900731603|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[-0.1798670158325471, 0.1349727134996588, -0.1917990085498351, 0.050850371959949, 1.199859887909005, 0.1053755043133602, 0.0699023207897274, -0.0144017687093892, 0.5653423278767301]|3769.9677640900731603|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[-0.1740435402246694, 0.1323248471927433, -0.1885027741222916, -0.0065147329954841, 1.1931603753976379, 0.093678984733269, 0.0887080348610471, -0.0138567001870673, 0.570639637411985]|1433.3156613330982054|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[-0.1740435402246694, 0.1323248471927433, -0.1885027741222916, -0.0065147329954841, 1.1931603753976379, 0.093678984733269, 0.0887080348610471, -0.0138567001870673, 0.570639637411985]|1433.3156613330982054|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[-0.1968977903855457, 0.134594327562829, -0.1712763562616291, 0.0237645436497511, 1.1526804796605195, 0.0832588228322609, 0.087972475167095, -0.0341771357968368, 0.5727693692260175]|957.9907934045251068|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[-0.1968977903855457, 0.134594327562829, -0.1712763562616291, 0.0237645436497511, 1.1526804796605195, 0.0832588228322609, 0.087972475167095, -0.0341771357968368, 0.5727693692260175]|957.9907934045251068|      0.06250000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[-0.1968977903855457, 0.134594327562829, -0.1712763562616291, 0.0237645436497511, 1.1526804796605195, 0.0832588228322609, 0.087972475167095, -0.0341771357968368, 0.5727693692260175]|957.9907934045251068|      0.03125000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[-0.1997301271625961, 0.1255466696228928, -0.1720334469779561, -0.0023718646305678, 1.1403325244844742, 0.0858759793391087, 0.0888503832044013, -0.0407005071508997, 0.5721789215322532]|571.9716687099638648|      0.06250000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[-0.1997301271625961, 0.1255466696228928, -0.1720334469779561, -0.0023718646305678, 1.1403325244844742, 0.0858759793391087, 0.0888503832044013, -0.0407005071508997, 0.5721789215322532]|571.9716687099638648|      0.03125000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[-0.1997301271625961, 0.1255466696228928, -0.1720334469779561, -0.0023718646305678, 1.1403325244844742, 0.0858759793391087, 0.0888503832044013, -0.0407005071508997, 0.5721789215322532]|571.9716687099638648|      0.01562500|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[-0.1990843425744092, 0.1272390567946698, -0.1724788883831886, 0.0109952495379999, 1.13565070630278, 0.0804339504576742, 0.0874634523558053, -0.0421258831853724, 0.5747266420495394]|465.6610404371979257|      0.03125000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[-0.1990843425744092, 0.1272390567946698, -0.1724788883831886, 0.0109952495379999, 1.13565070630278, 0.0804339504576742, 0.0874634523558053, -0.0421258831853724, 0.5747266420495394]|465.6610404371979257|      0.01562500|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[-0.1998407480499509, 0.1299231746783017, -0.1708954253450741, 0.0026415984952262, 1.1267302224048532, 0.0721619325905982, 0.0842892237750364, -0.0445578532673387, 0.5750123479768192]|329.9814295363590873|      0.03125000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[-0.2022614229706525, 0.1365122398489569, -0.1825505235976733, 0.0024711382203498, 1.118126090978839, 0.0514604626398254, 0.0976708374465226, -0.0492162078381092, 0.5843967442623187]|197.6141080889944703|      0.06250000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[-0.2022614229706525, 0.1365122398489569, -0.1825505235976733, 0.0024711382203498, 1.118126090978839, 0.0514604626398254, 0.0976708374465226, -0.0492162078381092, 0.5843967442623187]|197.6141080889944703|      0.03125000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
