k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.12500000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[0.003407780194474, 0.0472664626493641, 0.0452239691345511, 0.0494577899869539, 0.0381284992430805, 0.0407576044615849, 0.0359440460603446, 0.0366418508763823, 0.0208842185280211, 0.0316941669054425, 0.0210199986028686, 0.0354388567627872]| 18.0096554240004778|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       5|[0.003407780194474, 0.0472664626493641, 0.0452239691345511, 0.0494577899869539, 0.0381284992430805, 0.0407576044615849, 0.0359440460603446, 0.0366418508763823, 0.0208842185280211, 0.0316941669054425, 0.0210199986028686, 0.0354388567627872]| 18.0096554240004778|      0.12500000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[-0.0247847343584948, 0.0991016238407208, 0.1036764603414181, 0.0351091886778996, 0.0560320121391799, 0.050422173531289, 0.0550469217854373, -0.0002299906242267, 0.0023584934906588, -0.0425737256288759, 0.0195724025533612, 0.012606599105651]| 13.7709394838281440|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[-0.0247847343584948, 0.0991016238407208, 0.1036764603414181, 0.0351091886778996, 0.0560320121391799, 0.050422173531289, 0.0550469217854373, -0.0002299906242267, 0.0023584934906588, -0.0425737256288759, 0.0195724025533612, 0.012606599105651]| 13.7709394838281440|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[-0.0021261701234476, 0.1693200450415943, 0.1644317721846171, 0.0119924877623423, 0.0355429048581254, 0.068452234527289, 0.1023394087034301, -0.0346154748070342, -0.0283789970704859, -0.0664497339192495, 0.0085026440626253, 0.0250222707946463]| 11.2620604188528191|      0.25000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[-0.0021261701234476, 0.1693200450415943, 0.1644317721846171, 0.0119924877623423, 0.0355429048581254, 0.068452234527289, 0.1023394087034301, -0.0346154748070342, -0.0283789970704859, -0.0664497339192495, 0.0085026440626253, 0.0250222707946463]| 11.2620604188528191|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[-0.0021261701234476, 0.1693200450415943, 0.1644317721846171, 0.0119924877623423, 0.0355429048581254, 0.068452234527289, 0.1023394087034301, -0.0346154748070342, -0.0283789970704859, -0.0664497339192495, 0.0085026440626253, 0.0250222707946463]| 11.2620604188528191|      0.06250000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[-0.0034550956628736, 0.1957212777573026, 0.1896728893240926, 0.0164856027663776, 0.063673727212046, 0.0894357232522019, 0.123196614726999, -0.0244086744877368, -0.0069559257365273, -0.059153854523979, 0.0248030310007088, 0.0262158176131716]|  9.0426501944857645|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
