k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.729988793350866, -0.4974969151277554, -0.7164279837664101, 0.1646369382918979, -0.2446171211040039, -0.1445080021152566, -0.031871470379829]|94518.7527875995292561|      2.00000000|[6, 2, 1, 3]                                                               |  | used linear model with 8 points | iterate success | actual_k=1
       2|[10.691770620232662, 0.60375957011183, -1.201023728482229, -0.9033373904723665, 0.3185583445680653, -0.0835121840336861, -0.4392049621812276]|42663.2742206990660634|      4.00000000|[12, 4, 2, 6]                                                              |  | used linear model with 8 points | iterate success | actual_k=1
       3|[11.104557774516978, 1.1577798473122238, -0.336605115311512, -3.7308336726091107, 0.4160158747000123, -2.6808216528608306, -0.5979471631770337]|22987.8660124934103806|      8.00000000|[19, 5, 3, 9]                                                              |  | used linear model with 8 points | iterate success | actual_k=1
       4|[11.104557774516978, 1.1577798473122238, -0.336605115311512, -3.7308336726091107, 0.4160158747000123, -2.6808216528608306, -0.5979471631770337]|22987.8660124934103806|      4.00000000|[25, 7, 4, 12]                                                             |  | used linear model with 8 points | iterate failure | actual_k=1
       5|[12.594160162746384, -0.3412492693168194, -2.249666836779076, -6.083107083615588, -1.05158221387873, -3.1034386909537184, -0.5054713732602714]|8094.2993339909862698|      8.00000000|[31, 9, 5, 15]                                                             |  | used linear model with 8 points | iterate success | actual_k=1
       6|[12.594160162746384, -0.3412492693168194, -2.249666836779076, -6.083107083615588, -1.05158221387873, -3.1034386909537184, -0.5054713732602714]|8094.2993339909862698|      4.00000000|[38, 10, 6, 18]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
       7|[12.594160162746384, -0.3412492693168194, -2.249666836779076, -6.083107083615588, -1.05158221387873, -3.1034386909537184, -0.5054713732602714]|8094.2993339909862698|      2.00000000|[44, 12, 7, 21]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
       8|[12.594160162746384, -0.3412492693168194, -2.249666836779076, -6.083107083615588, -1.05158221387873, -3.1034386909537184, -0.5054713732602714]|8094.2993339909862698|      1.00000000|[50, 14, 8, 24]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
       9|[12.594160162746384, -0.3412492693168194, -2.249666836779076, -6.083107083615588, -1.05158221387873, -3.1034386909537184, -0.5054713732602714]|8094.2993339909862698|      0.50000000|[56, 16, 9, 27]                                                            |  | used linear model with 8 points | iterate failure | actual_k=1
      10|[12.594160162746384, -0.3412492693168194, -2.249666836779076, -6.083107083615588, -1.05158221387873, -3.1034386909537184, -0.5054713732602714]|8094.2993339909862698|      0.25000000|[62, 18, 10, 30]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      11|[12.49277393537118, -0.3983004379175145, -2.361572157387061, -6.098093097596983, -0.961741519620399, -3.1532145000242653, -0.3452539143144826]|6483.3054808815004435|      0.50000000|[68, 20, 11, 33]                                                           |  | used linear model with 8 points | iterate success | actual_k=1
      12|[12.49277393537118, -0.3983004379175145, -2.361572157387061, -6.098093097596983, -0.961741519620399, -3.1532145000242653, -0.3452539143144826]|6483.3054808815004435|      0.25000000|[74, 22, 12, 36]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      13|[12.49277393537118, -0.3983004379175145, -2.361572157387061, -6.098093097596983, -0.961741519620399, -3.1532145000242653, -0.3452539143144826]|6483.3054808815004435|      0.12500000|[81, 23, 13, 39]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      14|[12.49277393537118, -0.3983004379175145, -2.361572157387061, -6.098093097596983, -0.961741519620399, -3.1532145000242653, -0.3452539143144826]|6483.3054808815004435|      0.06250000|[87, 25, 14, 42]                                                           |  | used linear model with 8 points | iterate failure | actual_k=1
      15|[12.498775975702788, -0.4107868308812533, -2.3823799586375287, -6.103294532291567, -0.9591111788897548, -3.1642482161711234, -0.4011612877323343]|5702.8437457132813506|      0.12500000|[93, 27, 15, 45]                                                           |  | used linear model with 8 points | iterate success | actual_k=1
      16|[12.498775975702788, -0.4107868308812533, -2.3823799586375287, -6.103294532291567, -0.9591111788897548, -3.1642482161711234, -0.4011612877323343]|5702.8437457132813506|      0.06250000|[100, 28, 16, 48]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      17|[12.498775975702788, -0.4107868308812533, -2.3823799586375287, -6.103294532291567, -0.9591111788897548, -3.1642482161711234, -0.4011612877323343]|5702.8437457132813506|      0.03125000|[106, 30, 17, 51]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      18|[12.498775975702788, -0.4107868308812533, -2.3823799586375287, -6.103294532291567, -0.9591111788897548, -3.1642482161711234, -0.4011612877323343]|5702.8437457132813506|      0.01562500|[112, 32, 18, 54]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      19|[12.504962443056222, -0.4097708871323125, -2.387135206030713, -6.100661369762692, -0.958672439031015, -3.168145363148485, -0.3885157377212348]|5676.3429358242101443|      0.03125000|[118, 34, 19, 57]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      20|[12.504962443056222, -0.4097708871323125, -2.387135206030713, -6.100661369762692, -0.958672439031015, -3.168145363148485, -0.3885157377212348]|5676.3429358242101443|      0.01562500|[124, 36, 20, 60]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      21|[12.504962443056222, -0.4097708871323125, -2.387135206030713, -6.100661369762692, -0.958672439031015, -3.168145363148485, -0.3885157377212348]|5676.3429358242101443|      0.00781250|[130, 38, 21, 63]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      22|[12.50402459756855, -0.4135484054174666, -2.391776803570667, -6.096762417150838, -0.9602811001974393, -3.1683650550887204, -0.3910659618696636]|5672.8519688057358508|      0.01562500|[136, 40, 22, 66]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
      23|[12.50402459756855, -0.4135484054174666, -2.391776803570667, -6.096762417150838, -0.9602811001974393, -3.1683650550887204, -0.3910659618696636]|5672.8519688057358508|      0.00781250|[142, 42, 23, 69]                                                          |  | used linear model with 8 points | iterate failure | actual_k=1
      24|[12.502989869257473, -0.4167980847892888, -2.389932703817098, -6.0955158888996595, -0.963277481506733, -3.173712398343149, -0.3884435278592195]|5671.0985585849102790|      0.01562500|[149, 43, 24, 72]                                                          |  | used linear model with 8 points | iterate success | actual_k=1
