k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.50000000|[84, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.7142435959902991, -0.0357238968913565, 0.5789853017246286, 0.0970905947718443, 0.5913044969573826, 0.0678923765816064, 1.4313441671261196, 0.0546115886560261, 0.0640686698568637, -0.0873333090667986, 1.2755768106111653, 0.0549364537864307, 0.3008059988163158, 0.0228705101417974, 1.1934692021272322, -0.0903964066150213, 4.731925058996703, 0.0563967709799041, 4.44845835128797, -0.0503564671149085, 0.1229555539985584, -0.0604214821988738, 0.2249582205740069, 0.1171349275244254, 0.6873230160376975, 0.0174561471644475, 0.3175754454333148, 0.0411816192123797, -0.118240410839735, 0.022076473185843, 1.5134665414999349, 0.038003502678028, 0.3112184269731803, 0.0226610585486847, -0.000690378358939, 0.0207857020119688, -0.0004002480256886, 0.0103966118315255, 0.3335747625580213, 0.0514669157926107, 0.2932624244318964, -0.0320332784953533, 0.8754439546598164, 0.0382530497337309, 0.9997389980488428, -0.056736219941223, 0.8135091383176343, 0.0046823366144239, 0.1696518088727307, -0.0842854059442489, 0.4933442952488368, -0.0751557825055833, 0.241152817662117, 0.0909202023150381, 0.4868508698081282, -0.0545033643032315, 0.0907184574327106, 0.0474582134810939, 0.2283520163947368, 0.1007151152058821, 0.1698121297106784, 0.0486009319411334, -0.0306773787224943, -0.0090912239535624, 0.0894307607236285, -0.0365787619663038]|185617.2812500000000000|      1.00000000|[112, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[0.7142435959902991, -0.0357238968913565, 0.5789853017246286, 0.0970905947718443, 0.5913044969573826, 0.0678923765816064, 1.4313441671261196, 0.0546115886560261, 0.0640686698568637, -0.0873333090667986, 1.2755768106111653, 0.0549364537864307, 0.3008059988163158, 0.0228705101417974, 1.1934692021272322, -0.0903964066150213, 4.731925058996703, 0.0563967709799041, 4.44845835128797, -0.0503564671149085, 0.1229555539985584, -0.0604214821988738, 0.2249582205740069, 0.1171349275244254, 0.6873230160376975, 0.0174561471644475, 0.3175754454333148, 0.0411816192123797, -0.118240410839735, 0.022076473185843, 1.5134665414999349, 0.038003502678028, 0.3112184269731803, 0.0226610585486847, -0.000690378358939, 0.0207857020119688, -0.0004002480256886, 0.0103966118315255, 0.3335747625580213, 0.0514669157926107, 0.2932624244318964, -0.0320332784953533, 0.8754439546598164, 0.0382530497337309, 0.9997389980488428, -0.056736219941223, 0.8135091383176343, 0.0046823366144239, 0.1696518088727307, -0.0842854059442489, 0.4933442952488368, -0.0751557825055833, 0.241152817662117, 0.0909202023150381, 0.4868508698081282, -0.0545033643032315, 0.0907184574327106, 0.0474582134810939, 0.2283520163947368, 0.1007151152058821, 0.1698121297106784, 0.0486009319411334, -0.0306773787224943, -0.0090912239535624, 0.0894307607236285, -0.0365787619663038]|185617.2812500000000000|      0.50000000|[194, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 44 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.7142435959902991, -0.0357238968913565, 0.5789853017246286, 0.0970905947718443, 0.5913044969573826, 0.0678923765816064, 1.4313441671261196, 0.0546115886560261, 0.0640686698568637, -0.0873333090667986, 1.2755768106111653, 0.0549364537864307, 0.3008059988163158, 0.0228705101417974, 1.1934692021272322, -0.0903964066150213, 4.731925058996703, 0.0563967709799041, 4.44845835128797, -0.0503564671149085, 0.1229555539985584, -0.0604214821988738, 0.2249582205740069, 0.1171349275244254, 0.6873230160376975, 0.0174561471644475, 0.3175754454333148, 0.0411816192123797, -0.118240410839735, 0.022076473185843, 1.5134665414999349, 0.038003502678028, 0.3112184269731803, 0.0226610585486847, -0.000690378358939, 0.0207857020119688, -0.0004002480256886, 0.0103966118315255, 0.3335747625580213, 0.0514669157926107, 0.2932624244318964, -0.0320332784953533, 0.8754439546598164, 0.0382530497337309, 0.9997389980488428, -0.056736219941223, 0.8135091383176343, 0.0046823366144239, 0.1696518088727307, -0.0842854059442489, 0.4933442952488368, -0.0751557825055833, 0.241152817662117, 0.0909202023150381, 0.4868508698081282, -0.0545033643032315, 0.0907184574327106, 0.0474582134810939, 0.2283520163947368, 0.1007151152058821, 0.1698121297106784, 0.0486009319411334, -0.0306773787224943, -0.0090912239535624, 0.0894307607236285, -0.0365787619663038]|185617.2812500000000000|      0.25000000|[276, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.7142435959902991, -0.0357238968913565, 0.5789853017246286, 0.0970905947718443, 0.5913044969573826, 0.0678923765816064, 1.4313441671261196, 0.0546115886560261, 0.0640686698568637, -0.0873333090667986, 1.2755768106111653, 0.0549364537864307, 0.3008059988163158, 0.0228705101417974, 1.1934692021272322, -0.0903964066150213, 4.731925058996703, 0.0563967709799041, 4.44845835128797, -0.0503564671149085, 0.1229555539985584, -0.0604214821988738, 0.2249582205740069, 0.1171349275244254, 0.6873230160376975, 0.0174561471644475, 0.3175754454333148, 0.0411816192123797, -0.118240410839735, 0.022076473185843, 1.5134665414999349, 0.038003502678028, 0.3112184269731803, 0.0226610585486847, -0.000690378358939, 0.0207857020119688, -0.0004002480256886, 0.0103966118315255, 0.3335747625580213, 0.0514669157926107, 0.2932624244318964, -0.0320332784953533, 0.8754439546598164, 0.0382530497337309, 0.9997389980488428, -0.056736219941223, 0.8135091383176343, 0.0046823366144239, 0.1696518088727307, -0.0842854059442489, 0.4933442952488368, -0.0751557825055833, 0.241152817662117, 0.0909202023150381, 0.4868508698081282, -0.0545033643032315, 0.0907184574327106, 0.0474582134810939, 0.2283520163947368, 0.1007151152058821, 0.1698121297106784, 0.0486009319411334, -0.0306773787224943, -0.0090912239535624, 0.0894307607236285, -0.0365787619663038]|185617.2812500000000000|      0.12500000|[357, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.7142435959902991, -0.0357238968913565, 0.5789853017246286, 0.0970905947718443, 0.5913044969573826, 0.0678923765816064, 1.4313441671261196, 0.0546115886560261, 0.0640686698568637, -0.0873333090667986, 1.2755768106111653, 0.0549364537864307, 0.3008059988163158, 0.0228705101417974, 1.1934692021272322, -0.0903964066150213, 4.731925058996703, 0.0563967709799041, 4.44845835128797, -0.0503564671149085, 0.1229555539985584, -0.0604214821988738, 0.2249582205740069, 0.1171349275244254, 0.6873230160376975, 0.0174561471644475, 0.3175754454333148, 0.0411816192123797, -0.118240410839735, 0.022076473185843, 1.5134665414999349, 0.038003502678028, 0.3112184269731803, 0.0226610585486847, -0.000690378358939, 0.0207857020119688, -0.0004002480256886, 0.0103966118315255, 0.3335747625580213, 0.0514669157926107, 0.2932624244318964, -0.0320332784953533, 0.8754439546598164, 0.0382530497337309, 0.9997389980488428, -0.056736219941223, 0.8135091383176343, 0.0046823366144239, 0.1696518088727307, -0.0842854059442489, 0.4933442952488368, -0.0751557825055833, 0.241152817662117, 0.0909202023150381, 0.4868508698081282, -0.0545033643032315, 0.0907184574327106, 0.0474582134810939, 0.2283520163947368, 0.1007151152058821, 0.1698121297106784, 0.0486009319411334, -0.0306773787224943, -0.0090912239535624, 0.0894307607236285, -0.0365787619663038]|185617.2812500000000000|      0.06250000|[437, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.7142435959902991, -0.0357238968913565, 0.5789853017246286, 0.0970905947718443, 0.5913044969573826, 0.0678923765816064, 1.4313441671261196, 0.0546115886560261, 0.0640686698568637, -0.0873333090667986, 1.2755768106111653, 0.0549364537864307, 0.3008059988163158, 0.0228705101417974, 1.1934692021272322, -0.0903964066150213, 4.731925058996703, 0.0563967709799041, 4.44845835128797, -0.0503564671149085, 0.1229555539985584, -0.0604214821988738, 0.2249582205740069, 0.1171349275244254, 0.6873230160376975, 0.0174561471644475, 0.3175754454333148, 0.0411816192123797, -0.118240410839735, 0.022076473185843, 1.5134665414999349, 0.038003502678028, 0.3112184269731803, 0.0226610585486847, -0.000690378358939, 0.0207857020119688, -0.0004002480256886, 0.0103966118315255, 0.3335747625580213, 0.0514669157926107, 0.2932624244318964, -0.0320332784953533, 0.8754439546598164, 0.0382530497337309, 0.9997389980488428, -0.056736219941223, 0.8135091383176343, 0.0046823366144239, 0.1696518088727307, -0.0842854059442489, 0.4933442952488368, -0.0751557825055833, 0.241152817662117, 0.0909202023150381, 0.4868508698081282, -0.0545033643032315, 0.0907184574327106, 0.0474582134810939, 0.2283520163947368, 0.1007151152058821, 0.1698121297106784, 0.0486009319411334, -0.0306773787224943, -0.0090912239535624, 0.0894307607236285, -0.0365787619663038]|185617.2812500000000000|      0.03125000|[518, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.711806770260116, -0.0315976236688746, 0.5764448850809297, 0.0960291168258304, 0.586510200717499, 0.0723207226728279, 1.4287213992052712, 0.0520058437622864, 0.0696742026915027, -0.0873716583090421, 1.2785682861997327, 0.0620009030969642, 0.2956827493216118, 0.0241499490091458, 1.1927884809620635, -0.0916360540569967, 4.725371988657747, 0.0593685527866875, 4.448796086188559, -0.058373529890833, 0.1241306264105551, -0.0642407347189892, 0.2205470890955856, 0.112865085418184, 0.6871821823853944, 0.0138673886766502, 0.3155891745674071, 0.0384483593118292, -0.1229356457345123, 0.0262042701716762, 1.508945571689075, 0.041905365746869, 0.3075317638567923, 0.0257894300511089, 0.0059062586356132, 0.0244104417278284, -0.0034532116134617, 0.0129163521179489, 0.3310743867709795, 0.0495055865014647, 0.2942567792321984, -0.0321493596827143, 0.8715264957853718, 0.0402014619733699, 1.0038489558707295, -0.0560021740058104, 0.8198193438652143, 0.0117917890939218, 0.177931134992052, -0.0852393037179325, 0.4898417462431561, -0.076453505351998, 0.2437498577249867, 0.0886966055695488, 0.4815852432959992, -0.0570705378086855, 0.0935997699473122, 0.0473507245452668, 0.2309043786858054, 0.101261067531991, 0.1631891998163615, 0.0566114184760744, -0.0326873353285097, -0.0065458278738737, 0.0899811495848853, -0.0346881058861275]|154160.7187500000000000|      0.06250000|[546, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[0.711806770260116, -0.0315976236688746, 0.5764448850809297, 0.0960291168258304, 0.586510200717499, 0.0723207226728279, 1.4287213992052712, 0.0520058437622864, 0.0696742026915027, -0.0873716583090421, 1.2785682861997327, 0.0620009030969642, 0.2956827493216118, 0.0241499490091458, 1.1927884809620635, -0.0916360540569967, 4.725371988657747, 0.0593685527866875, 4.448796086188559, -0.058373529890833, 0.1241306264105551, -0.0642407347189892, 0.2205470890955856, 0.112865085418184, 0.6871821823853944, 0.0138673886766502, 0.3155891745674071, 0.0384483593118292, -0.1229356457345123, 0.0262042701716762, 1.508945571689075, 0.041905365746869, 0.3075317638567923, 0.0257894300511089, 0.0059062586356132, 0.0244104417278284, -0.0034532116134617, 0.0129163521179489, 0.3310743867709795, 0.0495055865014647, 0.2942567792321984, -0.0321493596827143, 0.8715264957853718, 0.0402014619733699, 1.0038489558707295, -0.0560021740058104, 0.8198193438652143, 0.0117917890939218, 0.177931134992052, -0.0852393037179325, 0.4898417462431561, -0.076453505351998, 0.2437498577249867, 0.0886966055695488, 0.4815852432959992, -0.0570705378086855, 0.0935997699473122, 0.0473507245452668, 0.2309043786858054, 0.101261067531991, 0.1631891998163615, 0.0566114184760744, -0.0326873353285097, -0.0065458278738737, 0.0899811495848853, -0.0346881058861275]|154160.7187500000000000|      0.03125000|[627, 46, 0, 46]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.7088278452215088, -0.0303275258873531, 0.5790826139093237, 0.0936601995627661, 0.5855435396629094, 0.0752970459360317, 1.427892379011755, 0.0541438283589974, 0.0653598368057422, -0.085809246989009, 1.2825913727737634, 0.0588660369962755, 0.2878980110583448, 0.0215596294319138, 1.1941831999848989, -0.0956660422791129, 4.717942956289052, 0.0694294473507913, 4.452953880679829, -0.0650646035234895, 0.1331962702268492, -0.0614434343435731, 0.2222225256155091, 0.1100072214696595, 0.6834796810034396, 0.0223366097529227, 0.3173812363169243, 0.0396602397871706, -0.1307626857983655, 0.0273636216203297, 1.5101506232561939, 0.0443056644616098, 0.3069577504261849, 0.0243627947320298, 0.0112404214566052, 0.0263511549424259, -0.004064586231668, 0.0131875144416756, 0.3350061084335181, 0.0514139926310076, 0.2968985858052106, -0.0328281795937579, 0.8678140167708569, 0.0429231753989256, 1.0092376367082638, -0.0574185107869301, 0.8187453374529255, 0.0218186217598079, 0.1744613672807303, -0.0885686159310371, 0.4869758617978455, -0.0791896101247704, 0.2398863619735982, 0.0895565097480083, 0.4819100508791117, -0.0572290815707615, 0.0904789678752897, 0.0452084492242147, 0.2303733193405786, 0.1016054446995939, 0.1622232532661314, 0.0602872820041844, -0.0315881727897375, -0.0078883798325251, 0.0948776472180389, -0.0351571470722773]|129843.6093750000000000|      0.06250000|[655, 48, 0, 48]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
