k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0044156576083504, 0.0227473596101885, 0.0192360640878421, 0.0334176077325782, 0.0362299252582063, 0.054377833448198, 0.032398376643821, 0.0364428090387562, 0.0517932698530088, 0.0567291495490398, 0.0156685480607029, 0.0284212055868634]| 20.6676862808278585|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[0.0044156576083504, 0.0227473596101885, 0.0192360640878421, 0.0334176077325782, 0.0362299252582063, 0.054377833448198, 0.032398376643821, 0.0364428090387562, 0.0517932698530088, 0.0567291495490398, 0.0156685480607029, 0.0284212055868634]| 20.6676862808278585|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0171379837291449, 0.094564013824553, 0.0535132074938087, 0.0559440763461975, 0.0514162927117053, 0.0207695946935947, 0.031129438414866, 0.0145235225376254, 0.011887735231774, 0.0217124392444198, -0.0396624285635493, -0.0015921711897093]| 15.9589951279060926|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[0.0171379837291449, 0.094564013824553, 0.0535132074938087, 0.0559440763461975, 0.0514162927117053, 0.0207695946935947, 0.031129438414866, 0.0145235225376254, 0.011887735231774, 0.0217124392444198, -0.0396624285635493, -0.0015921711897093]| 15.9589951279060926|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0171379837291449, 0.094564013824553, 0.0535132074938087, 0.0559440763461975, 0.0514162927117053, 0.0207695946935947, 0.031129438414866, 0.0145235225376254, 0.011887735231774, 0.0217124392444198, -0.0396624285635493, -0.0015921711897093]| 15.9589951279060926|      0.06250000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[0.0247397308449857, 0.1260402176291893, 0.0711426568139643, 0.0720631160389346, 0.0655709180304843, 0.0402972076498275, 0.0479092680925805, 0.023012979438503, 0.0232937797001102, 0.0377872705453743, -0.0381243353628779, 0.0294064203953556]| 13.1742547316041083|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[0.0175348654021671, 0.185820441117038, 0.1211340338699554, 0.1012084305895773, 0.0912767766766362, 0.053770748093214, 0.0584119938094694, 0.0032048073058169, 0.0098345863130294, 0.0230123746828587, -0.0621683574315062, -0.0501439839425862]|  9.9207536959774671|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[0.0175348654021671, 0.185820441117038, 0.1211340338699554, 0.1012084305895773, 0.0912767766766362, 0.053770748093214, 0.0584119938094694, 0.0032048073058169, 0.0098345863130294, 0.0230123746828587, -0.0621683574315062, -0.0501439839425862]|  9.9207536959774671|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[0.0175348654021671, 0.185820441117038, 0.1211340338699554, 0.1012084305895773, 0.0912767766766362, 0.053770748093214, 0.0584119938094694, 0.0032048073058169, 0.0098345863130294, 0.0230123746828587, -0.0621683574315062, -0.0501439839425862]|  9.9207536959774671|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
