k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.50000000|[129, 0, 1, 3]                                                             |  | used linear model with 129 points | iterate failure | actual_k=0
       2|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.25000000|[258, 0, 2, 6]                                                             |  | used linear model with 129 points | iterate failure | actual_k=0
       3|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.12500000|[387, 0, 3, 9]                                                             |  | used linear model with 129 points | iterate failure | actual_k=0
       4|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.06250000|[516, 0, 4, 12]                                                            |  | used linear model with 129 points | iterate failure | actual_k=0
       5|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.03125000|[645, 0, 5, 15]                                                            |  | used linear model with 129 points | iterate failure | actual_k=0
       6|[1.0227919118889726, 0.0186257045586415, 1.8865280080349636, 0.013086861699975, 0.0182072034458375, 1.9995835042290575, 0.4299271751135868, 0.0191579799024317, 2.1199636423130337, 0.7989509895956561, 0.0204206401626605, 2.161688964951545, 0.221836275439197, 0.0204699199051898, 2.2163676588147876, 2.691128062651004, 0.0191359452502081, 2.2793919426618556, 0.8053416075054821, 0.0165965425521738, 2.387757730008915, 2.2692180091415763, 0.0215473722015479, 2.487074226727808, 14.353674452155627, 0.0395438215546292, 2.558555660378459, 12.16215398419008, 0.0363019171380627, 2.70568546888359, 0.2727663848419554, 0.0196812320771784, 2.939520886027414, 0.2411310503652538, 0.0227864510032688, 2.9670269185942106, 1.1623715777628993, 0.0236974297183401, 3.1266628927402147, 0.1740580473592193, 0.018145970766826, 3.2247442077996356, 0.1179824295068918, 0.0210158888717609, 3.2535486891885825, 3.7455286839039803, 0.0227483684896157, 3.382707481117082, 0.8303115281060645, 0.0204119100257411, 3.6663602605656425, 0.1578353808169571, 0.0218774237665867, 3.7205040668157054, 0.3839928925478489, 0.0212910542855506, 3.832742097839868, 0.9253815571188906, 0.0197545686923966, 3.9571217048159673, 0.2583718889551377, 0.0216451058739473, 4.050351798366214, 2.0677953127745083, 0.0229302401089024, 4.1757245852260745, 1.9453341948127116, 0.0215185844123952, 4.428377556222823, 1.4851752263944908, 0.0185838052237776, 4.560938012871471, 0.4787632828570821, 0.0200497107131641, 4.602004328692472, 0.4936933842353059, 0.0214314033141911, 4.702629304973262, 0.3266477897240102, 0.0169951861268263, 4.8022676872390635, 0.8413483514634434, 0.0184329334001769, 4.9673931718625, 0.4615904249272573, 0.0200903018547616, 5.393984276730017, 0.491980116091633, 0.0179463964200685, 5.4179842835398935, 0.9838276652934488, 0.0223175729802915, 2.584770687677552, -0.0165466068858789, 0.0180647500698379, 3.861075519227654, 0.2675135665836983, 0.0214971534672838, 5.197911918972835]|2674367.9651615093462169|      0.06250000|[774, 0, 6, 18]                                                            |  | used linear model with 129 points | iterate success | actual_k=0
       7|[1.0227919118889726, 0.0186257045586415, 1.8865280080349636, 0.013086861699975, 0.0182072034458375, 1.9995835042290575, 0.4299271751135868, 0.0191579799024317, 2.1199636423130337, 0.7989509895956561, 0.0204206401626605, 2.161688964951545, 0.221836275439197, 0.0204699199051898, 2.2163676588147876, 2.691128062651004, 0.0191359452502081, 2.2793919426618556, 0.8053416075054821, 0.0165965425521738, 2.387757730008915, 2.2692180091415763, 0.0215473722015479, 2.487074226727808, 14.353674452155627, 0.0395438215546292, 2.558555660378459, 12.16215398419008, 0.0363019171380627, 2.70568546888359, 0.2727663848419554, 0.0196812320771784, 2.939520886027414, 0.2411310503652538, 0.0227864510032688, 2.9670269185942106, 1.1623715777628993, 0.0236974297183401, 3.1266628927402147, 0.1740580473592193, 0.018145970766826, 3.2247442077996356, 0.1179824295068918, 0.0210158888717609, 3.2535486891885825, 3.7455286839039803, 0.0227483684896157, 3.382707481117082, 0.8303115281060645, 0.0204119100257411, 3.6663602605656425, 0.1578353808169571, 0.0218774237665867, 3.7205040668157054, 0.3839928925478489, 0.0212910542855506, 3.832742097839868, 0.9253815571188906, 0.0197545686923966, 3.9571217048159673, 0.2583718889551377, 0.0216451058739473, 4.050351798366214, 2.0677953127745083, 0.0229302401089024, 4.1757245852260745, 1.9453341948127116, 0.0215185844123952, 4.428377556222823, 1.4851752263944908, 0.0185838052237776, 4.560938012871471, 0.4787632828570821, 0.0200497107131641, 4.602004328692472, 0.4936933842353059, 0.0214314033141911, 4.702629304973262, 0.3266477897240102, 0.0169951861268263, 4.8022676872390635, 0.8413483514634434, 0.0184329334001769, 4.9673931718625, 0.4615904249272573, 0.0200903018547616, 5.393984276730017, 0.491980116091633, 0.0179463964200685, 5.4179842835398935, 0.9838276652934488, 0.0223175729802915, 2.584770687677552, -0.0165466068858789, 0.0180647500698379, 3.861075519227654, 0.2675135665836983, 0.0214971534672838, 5.197911918972835]|2674367.9651615093462169|      0.03125000|[903, 0, 7, 21]                                                            |  | used linear model with 129 points | iterate failure | actual_k=0
       8|[1.022023445428321, 0.0186524311383034, 1.8877676258121001, 0.0134226207253671, 0.0197856940371699, 2.000481341913215, 0.429641310077842, 0.0184768809441798, 2.1165561487893982, 0.8003872718524501, 0.022037525827234, 2.1625887566515694, 0.2243347337203589, 0.019175992558792, 2.2171202233849896, 2.6877290667986897, 0.0210610667696114, 2.280592949502784, 0.8044307435625098, 0.0158912766826647, 2.3883209218380883, 2.2704612628935568, 0.0180767311332287, 2.4846066889931864, 14.355360707664481, 0.0612302264600714, 2.5551933829918325, 12.163437358053502, 0.0510334784406406, 2.7088519999091516, 0.2738182386014572, 0.0204002730830225, 2.940475349106695, 0.240239486252664, 0.0187035082355328, 2.9692373202398494, 1.1606021213457887, 0.0219087352134198, 3.125221396357047, 0.1738073551007238, 0.0186999794568296, 3.22391091983285, 0.1189094800070987, 0.0217390648090976, 3.2532686036197553, 3.748429606587203, 0.0299553847065071, 3.382889612151927, 0.8302494868684347, 0.0224992292945461, 3.665970894487191, 0.1561877484362986, 0.0220169532164132, 3.719033962260175, 0.3818584339510235, 0.0201687749572689, 3.8343977568834013, 0.9247894748944069, 0.0197065078056712, 3.9583952568654435, 0.2592027806213932, 0.0223081479214299, 4.051540850092512, 2.068268177333316, 0.0249626798157405, 4.1775421741892105, 1.945476511895112, 0.0243890464646298, 4.427355893058133, 1.486032809808767, 0.0164610141784317, 4.558966113539891, 0.4780047414737107, 0.0200626206584337, 4.602632626015531, 0.494239316661646, 0.0201568827900376, 4.7033889830157785, 0.3276314483363553, 0.0187101720016202, 4.803401815917409, 0.8431130715818262, 0.0173056108122217, 4.966076261905955, 0.4616491070639314, 0.020747197537118, 5.3948938157177775, 0.4921455660846886, 0.0225209773043479, 5.41759800548258, 0.9846348043494804, 0.0237910336719165, 2.5848251365350734, -0.0190671927209647, 0.0179491464248913, 3.859949031496198, 0.2678579978640236, 0.0217146096014165, 5.198993787450586]|2159488.4901478076353669|      0.06250000|[1032, 0, 8, 24]                                                           |  | used linear model with 129 points | iterate success | actual_k=0
       9|[1.022023445428321, 0.0186524311383034, 1.8877676258121001, 0.0134226207253671, 0.0197856940371699, 2.000481341913215, 0.429641310077842, 0.0184768809441798, 2.1165561487893982, 0.8003872718524501, 0.022037525827234, 2.1625887566515694, 0.2243347337203589, 0.019175992558792, 2.2171202233849896, 2.6877290667986897, 0.0210610667696114, 2.280592949502784, 0.8044307435625098, 0.0158912766826647, 2.3883209218380883, 2.2704612628935568, 0.0180767311332287, 2.4846066889931864, 14.355360707664481, 0.0612302264600714, 2.5551933829918325, 12.163437358053502, 0.0510334784406406, 2.7088519999091516, 0.2738182386014572, 0.0204002730830225, 2.940475349106695, 0.240239486252664, 0.0187035082355328, 2.9692373202398494, 1.1606021213457887, 0.0219087352134198, 3.125221396357047, 0.1738073551007238, 0.0186999794568296, 3.22391091983285, 0.1189094800070987, 0.0217390648090976, 3.2532686036197553, 3.748429606587203, 0.0299553847065071, 3.382889612151927, 0.8302494868684347, 0.0224992292945461, 3.665970894487191, 0.1561877484362986, 0.0220169532164132, 3.719033962260175, 0.3818584339510235, 0.0201687749572689, 3.8343977568834013, 0.9247894748944069, 0.0197065078056712, 3.9583952568654435, 0.2592027806213932, 0.0223081479214299, 4.051540850092512, 2.068268177333316, 0.0249626798157405, 4.1775421741892105, 1.945476511895112, 0.0243890464646298, 4.427355893058133, 1.486032809808767, 0.0164610141784317, 4.558966113539891, 0.4780047414737107, 0.0200626206584337, 4.602632626015531, 0.494239316661646, 0.0201568827900376, 4.7033889830157785, 0.3276314483363553, 0.0187101720016202, 4.803401815917409, 0.8431130715818262, 0.0173056108122217, 4.966076261905955, 0.4616491070639314, 0.020747197537118, 5.3948938157177775, 0.4921455660846886, 0.0225209773043479, 5.41759800548258, 0.9846348043494804, 0.0237910336719165, 2.5848251365350734, -0.0190671927209647, 0.0179491464248913, 3.859949031496198, 0.2678579978640236, 0.0217146096014165, 5.198993787450586]|2159488.4901478076353669|      0.03125000|[1161, 0, 9, 27]                                                           |  | used linear model with 129 points | iterate failure | actual_k=0
      10|[1.0211481149773334, 0.0200875630749498, 1.8865038957962228, 0.0158958327747351, 0.019274503945581, 2.002893479783529, 0.4290764913788934, 0.0171054866188982, 2.1170218428109804, 0.7999936551915842, 0.0209697359604788, 2.1630294778657726, 0.2256111233884718, 0.0179509154659378, 2.214314899879329, 2.6860168868670438, 0.0255551378935904, 2.2819575637268796, 0.8033197979250646, 0.0158170111760809, 2.386035856429783, 2.266627381635729, 0.0223687971147187, 2.4808009985077746, 14.357296070282617, 0.0811105093803373, 2.5523644673456722, 12.163738219246852, 0.0652318561906748, 2.715037457927794, 0.2713713602059486, 0.0196597487870238, 2.9426366836609446, 0.2392599986225806, 0.0185819234758307, 2.9723281521524925, 1.1631234983331205, 0.0238384099748738, 3.1265402851734567, 0.1739477267249432, 0.0196937384325152, 3.2240155266908084, 0.1174492684563384, 0.0225057667219735, 3.2563094707454354, 3.7506748461534976, 0.0359387272930964, 3.383643426985025, 0.8300549395758354, 0.0208571289548397, 3.6686889763458734, 0.156463349560083, 0.0219356214187821, 3.720482022055386, 0.3832890207758702, 0.0185255526937926, 3.834842680793147, 0.9233809053257336, 0.0209825937857167, 3.9573259993134964, 0.2594302983438529, 0.0193137431355171, 4.052920372487357, 2.069830491614653, 0.0286951858376256, 4.175988715772366, 1.9436127041219182, 0.0276056145337234, 4.426696632952332, 1.484515349370905, 0.019596677993513, 4.560952371178625, 0.4760642076229568, 0.0191309350100061, 4.602470469933526, 0.4935259270443254, 0.0201407590922016, 4.702580308160015, 0.3300626256768155, 0.0177823425972324, 4.803463021237051, 0.8408603249634613, 0.0155441893137754, 4.9645159130996666, 0.4611932806487165, 0.021342606551757, 5.397691272552628, 0.4922696997028916, 0.0236419533716219, 5.418566808721974, 0.9814600923405751, 0.0244557641418332, 2.5839199405074327, -0.0198978098511759, 0.0176318051980607, 3.8591751664220695, 0.2681678550711916, 0.0203452773727671, 5.198245516884824]|1866691.4952543969266117|      0.06250000|[1290, 0, 10, 30]                                                          |  | used linear model with 129 points | iterate success | actual_k=0
      11|[1.0211481149773334, 0.0200875630749498, 1.8865038957962228, 0.0158958327747351, 0.019274503945581, 2.002893479783529, 0.4290764913788934, 0.0171054866188982, 2.1170218428109804, 0.7999936551915842, 0.0209697359604788, 2.1630294778657726, 0.2256111233884718, 0.0179509154659378, 2.214314899879329, 2.6860168868670438, 0.0255551378935904, 2.2819575637268796, 0.8033197979250646, 0.0158170111760809, 2.386035856429783, 2.266627381635729, 0.0223687971147187, 2.4808009985077746, 14.357296070282617, 0.0811105093803373, 2.5523644673456722, 12.163738219246852, 0.0652318561906748, 2.715037457927794, 0.2713713602059486, 0.0196597487870238, 2.9426366836609446, 0.2392599986225806, 0.0185819234758307, 2.9723281521524925, 1.1631234983331205, 0.0238384099748738, 3.1265402851734567, 0.1739477267249432, 0.0196937384325152, 3.2240155266908084, 0.1174492684563384, 0.0225057667219735, 3.2563094707454354, 3.7506748461534976, 0.0359387272930964, 3.383643426985025, 0.8300549395758354, 0.0208571289548397, 3.6686889763458734, 0.156463349560083, 0.0219356214187821, 3.720482022055386, 0.3832890207758702, 0.0185255526937926, 3.834842680793147, 0.9233809053257336, 0.0209825937857167, 3.9573259993134964, 0.2594302983438529, 0.0193137431355171, 4.052920372487357, 2.069830491614653, 0.0286951858376256, 4.175988715772366, 1.9436127041219182, 0.0276056145337234, 4.426696632952332, 1.484515349370905, 0.019596677993513, 4.560952371178625, 0.4760642076229568, 0.0191309350100061, 4.602470469933526, 0.4935259270443254, 0.0201407590922016, 4.702580308160015, 0.3300626256768155, 0.0177823425972324, 4.803463021237051, 0.8408603249634613, 0.0155441893137754, 4.9645159130996666, 0.4611932806487165, 0.021342606551757, 5.397691272552628, 0.4922696997028916, 0.0236419533716219, 5.418566808721974, 0.9814600923405751, 0.0244557641418332, 2.5839199405074327, -0.0198978098511759, 0.0176318051980607, 3.8591751664220695, 0.2681678550711916, 0.0203452773727671, 5.198245516884824]|1866691.4952543969266117|      0.03125000|[1419, 0, 11, 33]                                                          |  | used linear model with 129 points | iterate failure | actual_k=0
