k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |2648.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 2.0, 2.0, 2.0]                                                            |2648.0000000000000000|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[2.3075363539400215, 2.1647303719528592, 2.2507230609907634, 2.255779675206949] |154.5759872919301756|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[2.3075363539400215, 2.1647303719528592, 2.2507230609907634, 2.255779675206949] |154.5759872919301756|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[2.3075363539400215, 2.1647303719528592, 2.2507230609907634, 2.255779675206949] |154.5759872919301756|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[2.3075363539400215, 2.1647303719528592, 2.2507230609907634, 2.255779675206949] |154.5759872919301756|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[2.418476901766694, 2.181435988797711, 2.2993224405028454, 2.2817838580395517]  | 36.1782190761801843|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[2.418476901766694, 2.181435988797711, 2.2993224405028454, 2.2817838580395517]  | 36.1782190761801843|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[2.418476901766694, 2.181435988797711, 2.2993224405028454, 2.2817838580395517]  | 36.1782190761801843|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[2.418476901766694, 2.181435988797711, 2.2993224405028454, 2.2817838580395517]  | 36.1782190761801843|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[2.418476901766694, 2.181435988797711, 2.2993224405028454, 2.2817838580395517]  | 36.1782190761801843|      0.01562500|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[2.418476901766694, 2.181435988797711, 2.2993224405028454, 2.2817838580395517]  | 36.1782190761801843|      0.00781250|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[2.418476901766694, 2.181435988797711, 2.2993224405028454, 2.2817838580395517]  | 36.1782190761801843|      0.00390625|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[2.420989669533502, 2.181177308786102, 2.2995823315699093, 2.284752077791768]   | 36.0810338431255317|      0.00781250|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[2.420989669533502, 2.181177308786102, 2.2995823315699093, 2.284752077791768]   | 36.0810338431255317|      0.00390625|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[2.420989669533502, 2.181177308786102, 2.2995823315699093, 2.284752077791768]   | 36.0810338431255317|      0.00195312|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      16|[2.420989669533502, 2.181177308786102, 2.2995823315699093, 2.284752077791768]   | 36.0810338431255317|      0.00097656|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      17|[2.420989669533502, 2.181177308786102, 2.2995823315699093, 2.284752077791768]   | 36.0810338431255317|      0.00048828|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      18|[2.421243260117546, 2.1810657848140163, 2.2994433265388188, 2.284374784272386]  | 36.0753750782114793|      0.00097656|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      19|[2.42205939936332, 2.18053082050456, 2.2994179913453574, 2.284347173341684]     | 36.0613621330748089|      0.00195312|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      20|[2.423893587412488, 2.1807444351033327, 2.298833921475723, 2.2840948191134838]  | 36.0525715697417084|      0.00390625|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=0
