k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.05631567076366, 149.9765737400813, -100.20968947925579, 1.2303930576239692, 2.1089057316586]|84662.6652460849581985|      2.00000000|[7, 2, 1, 3]                                                               |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       2|[49.05631567076366, 149.9765737400813, -100.20968947925579, 1.2303930576239692, 2.1089057316586]|84662.6652460849581985|      1.00000000|[17, 5, 1, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[48.19272538997537, 150.2615706651756, -100.60522863524072, 1.1551655436099246, 2.2132042303667885]|81819.8281250000000000|      2.00000000|[23, 7, 1, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[46.37943150972488, 150.86339352720785, -100.2238888704759, 1.0678454052310646, 1.7696619845501702]|76244.4843750000000000|      4.00000000|[29, 9, 1, 10]                                                             |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[46.37943150972488, 150.86339352720785, -100.2238888704759, 1.0678454052310646, 1.7696619845501702]|76244.4843750000000000|      2.00000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[44.62192336609097, 150.69803648996506, -100.73590195793214, 1.8305820005094835, 1.5699179989301264]|70734.0156250000000000|      4.00000000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[44.62192336609097, 150.69803648996506, -100.73590195793214, 1.8305820005094835, 1.5699179989301264]|70734.0156250000000000|      2.00000000|[53, 17, 2, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[43.27605495737264, 149.6381425420154, -100.40334087372348, 2.160665186193352, 2.489543608247521]|66617.8203125000000000|      4.00000000|[60, 19, 2, 21]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[43.27605495737264, 149.6381425420154, -100.40334087372348, 2.160665186193352, 2.489543608247521]|66617.8203125000000000|      2.00000000|[69, 22, 2, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[42.30315230225887, 148.34476793348048, -101.50874620744398, 2.5406290525216053, 2.3697560707617567]|63385.5820312500000000|      4.00000000|[75, 24, 2, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[42.30315230225887, 148.34476793348048, -101.50874620744398, 2.5406290525216053, 2.3697560707617567]|63385.5820312500000000|      2.00000000|[84, 27, 2, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[42.01956625843876, 147.95709291262042, -102.4112911073838, 4.11817566149439, 1.6870801344181086]|62356.2617187500000000|      4.00000000|[90, 29, 2, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[38.524154163721285, 146.6319472656805, -103.36995113872138, 3.4926157064403514, 2.533087811361793]|52517.8515625000000000|      8.00000000|[96, 31, 2, 33]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[38.524154163721285, 146.6319472656805, -103.36995113872138, 3.4926157064403514, 2.533087811361793]|52517.8515625000000000|      4.00000000|[105, 34, 3, 37]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[37.59385895242288, 146.82811640789924, -106.61019397848878, 5.636308186238638, 2.5715244978578378]|49661.4296875000000000|      8.00000000|[112, 36, 3, 39]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      16|[37.59385895242288, 146.82811640789924, -106.61019397848878, 5.636308186238638, 2.5715244978578378]|49661.4296875000000000|      4.00000000|[121, 39, 3, 42]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[37.59385895242288, 146.82811640789924, -106.61019397848878, 5.636308186238638, 2.5715244978578378]|49661.4296875000000000|      2.00000000|[130, 42, 3, 45]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[35.89684410889352, 147.56502746911937, -105.87083565503698, 5.7976661062543435, 2.50507451754787]|45704.4140625000000000|      4.00000000|[136, 44, 3, 47]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      19|[35.89684410889352, 147.56502746911937, -105.87083565503698, 5.7976661062543435, 2.50507451754787]|45704.4140625000000000|      2.00000000|[145, 47, 3, 50]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
