k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[145, 0, 0, 9]                                                             |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
       2|[0.842938111665055, 0.9341048483577415, 0.909076840790285, 0.9341019289866476, 0.9171874862663639, 0.8742945245041446, 0.8758230769082788, 0.8698166414335023, 0.9023584208782639, 0.8878523283929609, 1.0650051820465598, 0.662840924947061, 0.9960454208091252, 1.0117025445111658, 0.9608128513386398, 0.9964825753238621, 0.9528944616941012, 1.033478695837049, 0.9095608420711361, 1.0005343769290602, 1.0104236027900506, 1.0033168362033207]|  1.3795319795608521|      1.00000000|[177, 0, 0, 11]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       3|[0.842938111665055, 0.9341048483577415, 0.909076840790285, 0.9341019289866476, 0.9171874862663639, 0.8742945245041446, 0.8758230769082788, 0.8698166414335023, 0.9023584208782639, 0.8878523283929609, 1.0650051820465598, 0.662840924947061, 0.9960454208091252, 1.0117025445111658, 0.9608128513386398, 0.9964825753238621, 0.9528944616941012, 1.033478695837049, 0.9095608420711361, 1.0005343769290602, 1.0104236027900506, 1.0033168362033207]|  1.3795319795608521|      0.50000000|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
       4|[0.7490216256879636, 0.8630848184292881, 0.9152766944866348, 0.8341459318919038, 0.679038064769155, 0.7691415896811886, 0.6983841759277681, 0.7147155051966181, 0.8021610473111014, 0.761659245168689, 1.1392178455699051, 0.4541847561001797, 0.997097287857261, 1.0906327330231065, 0.8570733494334659, 0.9559339993045864, 0.9611105645278846, 0.9938963263289484, 0.8788609242654412, 1.0679333333357333, 0.9755444767629609, 1.0317912849082707]|  1.2581731081008911|      1.00000000|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       5|[0.7490216256879636, 0.8630848184292881, 0.9152766944866348, 0.8341459318919038, 0.679038064769155, 0.7691415896811886, 0.6983841759277681, 0.7147155051966181, 0.8021610473111014, 0.761659245168689, 1.1392178455699051, 0.4541847561001797, 0.997097287857261, 1.0906327330231065, 0.8570733494334659, 0.9559339993045864, 0.9611105645278846, 0.9938963263289484, 0.8788609242654412, 1.0679333333357333, 0.9755444767629609, 1.0317912849082707]|  1.2581731081008911|      0.50000000|[497, 0, 0, 31]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
       6|[0.6002553988013651, 0.7499169942944743, 0.8095218249932942, 0.7269174402698008, 0.5814605447861517, 0.6848094210053639, 0.6145940181571542, 0.6363826548548652, 0.7046375149085875, 0.6421880584099938, 1.1510512419413832, 0.1119486373439224, 0.9762706297825364, 1.1402489809880394, 0.8009541694687355, 0.9545050930346516, 0.9365635468234892, 0.9960192074140998, 0.8016907446170246, 0.997600230735131, 0.9126971353222906, 1.0376175592356174]|  1.1273264884948730|      1.00000000|[529, 0, 0, 33]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       7|[0.6002553988013651, 0.7499169942944743, 0.8095218249932942, 0.7269174402698008, 0.5814605447861517, 0.6848094210053639, 0.6145940181571542, 0.6363826548548652, 0.7046375149085875, 0.6421880584099938, 1.1510512419413832, 0.1119486373439224, 0.9762706297825364, 1.1402489809880394, 0.8009541694687355, 0.9545050930346516, 0.9365635468234892, 0.9960192074140998, 0.8016907446170246, 0.997600230735131, 0.9126971353222906, 1.0376175592356174]|  1.1273264884948730|      0.50000000|[673, 0, 0, 42]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
       8|[0.4950767177731855, 0.6371429218467545, 0.6832259832925833, 0.5925360284545701, 0.4638090439956918, 0.5627914756239945, 0.5083950626951221, 0.5249736640481967, 0.5770422207558478, 0.5382232708332713, 1.168029450347264, -0.2088868939950865, 0.9665655167006956, 1.148146488049712, 0.7749939563077157, 0.9338293150619768, 0.8835974912437741, 0.9384259147834417, 0.7767556251334521, 0.9652098348808592, 0.9158545650776844, 1.0172253475932889]|  1.0034081935882568|      1.00000000|[721, 0, 0, 45]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | iterate success | actual_k=0
       9|[0.4950767177731855, 0.6371429218467545, 0.6832259832925833, 0.5925360284545701, 0.4638090439956918, 0.5627914756239945, 0.5083950626951221, 0.5249736640481967, 0.5770422207558478, 0.5382232708332713, 1.168029450347264, -0.2088868939950865, 0.9665655167006956, 1.148146488049712, 0.7749939563077157, 0.9338293150619768, 0.8835974912437741, 0.9384259147834417, 0.7767556251334521, 0.9652098348808592, 0.9158545650776844, 1.0172253475932889]|  1.0034081935882568|      0.50000000|[865, 0, 0, 54]                                                            |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      10|[0.4950767177731855, 0.6371429218467545, 0.6832259832925833, 0.5925360284545701, 0.4638090439956918, 0.5627914756239945, 0.5083950626951221, 0.5249736640481967, 0.5770422207558478, 0.5382232708332713, 1.168029450347264, -0.2088868939950865, 0.9665655167006956, 1.148146488049712, 0.7749939563077157, 0.9338293150619768, 0.8835974912437741, 0.9384259147834417, 0.7767556251334521, 0.9652098348808592, 0.9158545650776844, 1.0172253475932889]|  1.0034081935882568|      0.25000000|[1009, 0, 0, 63]                                                           |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.4053133600258607, 0.6124320811371174, 0.5991820748471653, 0.5430461796327521, 0.3986890147603193, 0.4891695868706469, 0.4559731630948221, 0.5129687562194646, 0.5599334859689854, 0.5358544109236231, 1.191940480935553, -0.3669221393778325, 0.912578560966002, 1.1425614296390045, 0.7950439672220292, 0.9215202729251684, 0.8634078243012181, 0.9259564298579754, 0.7812076275316695, 0.9307115559099332, 0.9049671634193134, 0.9941987933065973]|  0.9531530737876892|      0.50000000|[1041, 0, 0, 65]                                                           |  | trying linear partial model with 17 points | iterate success | actual_k=0
      12|[0.4053133600258607, 0.6124320811371174, 0.5991820748471653, 0.5430461796327521, 0.3986890147603193, 0.4891695868706469, 0.4559731630948221, 0.5129687562194646, 0.5599334859689854, 0.5358544109236231, 1.191940480935553, -0.3669221393778325, 0.912578560966002, 1.1425614296390045, 0.7950439672220292, 0.9215202729251684, 0.8634078243012181, 0.9259564298579754, 0.7812076275316695, 0.9307115559099332, 0.9049671634193134, 0.9941987933065973]|  0.9531530737876892|      0.25000000|[1185, 0, 0, 74]                                                           |  | trying linear partial model with 17 points | trying quadratic partial model with 33 points | trying quadratic partial model with 49 points | trying quadratic partial model with 65 points | trying quadratic partial model with 81 points | trying quadratic partial model with 97 points | trying quadratic partial model with 113 points | trying quadratic partial model with 129 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.4002942827941511, 0.5731266979150211, 0.533923975155012, 0.4925412422334262, 0.3335937418711873, 0.4863319846206464, 0.4312527730466392, 0.4621653118918987, 0.4658020382005208, 0.4802409393587089, 1.206139378732139, -0.5221644892623774, 0.9304074403418564, 1.133495852247721, 0.7569101890310385, 0.9234591304382855, 0.8312876783585096, 0.8447853186879604, 0.7831418494475123, 0.9183752761924788, 0.8797016337754472, 0.9817534416359789]|  0.9049016237258911|      0.50000000|[1217, 0, 0, 76]                                                           |  | trying linear partial model with 17 points | iterate success | actual_k=0
