k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 25.2430323198307036|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.7061591089665686, -0.3331906796704187, -0.2381273674845957]                  |  4.3656231768392733|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.7061591089665686, -0.3331906796704187, -0.2381273674845957]                  |  4.3656231768392733|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.7061591089665686, -0.3331906796704187, -0.2381273674845957]                  |  4.3656231768392733|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[2.0993411630620473, -0.1699024720532506, -0.5003197273855521]                  |  1.0868854529343346|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[2.0993411630620473, -0.1699024720532506, -0.5003197273855521]                  |  1.0868854529343346|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[2.0993411630620473, -0.1699024720532506, -0.5003197273855521]                  |  1.0868854529343346|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[2.0993411630620473, -0.1699024720532506, -0.5003197273855521]                  |  1.0868854529343346|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[2.0993411630620473, -0.1699024720532506, -0.5003197273855521]                  |  1.0868854529343346|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.077187243844788, -0.2260669477591279, -0.4841640617539832]                   |  1.0035472342298362|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[2.077187243844788, -0.2260669477591279, -0.4841640617539832]                   |  1.0035472342298362|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[2.136257343695806, -0.2389917224118017, -0.4683550926614606]                   |  0.9068055041516685|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[2.136257343695806, -0.2389917224118017, -0.4683550926614606]                   |  0.9068055041516685|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[2.136257343695806, -0.2389917224118017, -0.4683550926614606]                   |  0.9068055041516685|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[2.1511075306311116, -0.2650394311003347, -0.4595487699292521]                  |  0.8618895542451813|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[2.179508886918715, -0.3181425385293604, -0.4428253449688569]                   |  0.8069264146229292|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
