k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.02078476997982, 149.8872241825569, -100.04334358904607, 1.1625487921364117, 1.9891201213166887]|84560.7625979197764536|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[47.031752167413, 149.8171825411976, -100.1614413747046, 1.3175803539319457, 2.0184731837083865]|78104.3861198310769396|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[43.12120359995452, 149.06438051574463, -100.52728806916298, 1.3711823131809269, 2.0831418634600527]|66040.3254258535016561|      8.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[43.12120359995452, 149.06438051574463, -100.52728806916298, 1.3711823131809269, 2.0831418634600527]|66040.3254258535016561|      4.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[43.12120359995452, 149.06438051574463, -100.52728806916298, 1.3711823131809269, 2.0831418634600527]|66040.3254258535016561|      2.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[41.2444397530031, 149.0151032084298, -100.12389747108905, 1.929897775430481, 2.1041720177328744]|60774.3418543246807531|      4.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[41.2444397530031, 149.0151032084298, -100.12389747108905, 1.929897775430481, 2.1041720177328744]|60774.3418543246807531|      2.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[39.25368126798056, 148.89355597002782, -100.2706611959507, 1.9464681869939295, 2.1212820636995136]|55327.4618638946412830|      4.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[39.25368126798056, 148.89355597002782, -100.2706611959507, 1.9464681869939295, 2.1212820636995136]|55327.4618638946412830|      2.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[37.27272713096603, 148.7656569573016, -100.51102842264433, 1.9787956526894575, 2.146601638775019]|50152.1447108496431611|      4.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[37.27272713096603, 148.7656569573016, -100.51102842264433, 1.9787956526894575, 2.146601638775019]|50152.1447108496431611|      2.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[35.287035663837756, 148.575354760832, -100.65135798066542, 1.9833518417932, 2.179787896160538]|45233.9207886221556691|      4.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[35.287035663837756, 148.575354760832, -100.65135798066542, 1.9833518417932, 2.179787896160538]|45233.9207886221556691|      2.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[33.29654402701982, 148.4213510392316, -100.76415292691712, 1.9786593306071856, 2.141301821666813]|40578.1943807678981102|      4.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[33.29654402701982, 148.4213510392316, -100.76415292691712, 1.9786593306071856, 2.141301821666813]|40578.1943807678981102|      2.00000000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[31.30794460177471, 148.26898827629276, -100.91273343828483, 1.9781974390369763, 2.127828415180701]|36184.9252603797067422|      4.00000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[31.30794460177471, 148.26898827629276, -100.91273343828483, 1.9781974390369763, 2.127828415180701]|36184.9252603797067422|      2.00000000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
