k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]                              |  2.9665404653292509|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0510708077863952, 0.1239416856728396, 0.0509841583073756, 0.0440183355505396, 0.1252724901435532, 0.033604548602152, 0.0761539847149585, 0.1240611719676103, -0.0520433787234768, -0.0571127434858126]|  2.0842944113495121|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[0.0510708077863952, 0.1239416856728396, 0.0509841583073756, 0.0440183355505396, 0.1252724901435532, 0.033604548602152, 0.0761539847149585, 0.1240611719676103, -0.0520433787234768, -0.0571127434858126]|  2.0842944113495121|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.0510708077863952, 0.1239416856728396, 0.0509841583073756, 0.0440183355505396, 0.1252724901435532, 0.033604548602152, 0.0761539847149585, 0.1240611719676103, -0.0520433787234768, -0.0571127434858126]|  2.0842944113495121|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0362488931742696, 0.1152906162865238, 0.0574443628869488, 0.0287249468228623, 0.1371905910224267, 0.0279569676611557, 0.0349099865043738, 0.055882420025024, 0.0240836159687569, -0.0048042103486721]|  0.7270337960779037|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[0.0362488931742696, 0.1152906162865238, 0.0574443628869488, 0.0287249468228623, 0.1371905910224267, 0.0279569676611557, 0.0349099865043738, 0.055882420025024, 0.0240836159687569, -0.0048042103486721]|  0.7270337960779037|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0362488931742696, 0.1152906162865238, 0.0574443628869488, 0.0287249468228623, 0.1371905910224267, 0.0279569676611557, 0.0349099865043738, 0.055882420025024, 0.0240836159687569, -0.0048042103486721]|  0.7270337960779037|      0.06250000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[0.0347140941313313, 0.1191180816769107, 0.0472372680962233, 0.0188822530556349, 0.1153173606132077, 0.0186965738323952, 0.011191403169098, 0.0146896814592611, -0.0020246522530827, 0.0087210925314542]|  0.3677628789839512|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[0.0347140941313313, 0.1191180816769107, 0.0472372680962233, 0.0188822530556349, 0.1153173606132077, 0.0186965738323952, 0.011191403169098, 0.0146896814592611, -0.0020246522530827, 0.0087210925314542]|  0.3677628789839512|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.0377221080793993, 0.1141308486168551, 0.0496768763665198, 0.0201237636739345, 0.0609457481902152, 0.0150411692062185, 0.0099094895289185, -0.0079797531261745, 0.0097908977356895, -0.0067724000498357]|  0.1733809565548423|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
