k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.583745740942767, 9.346108407182793, 9.976994366482042, 9.600703761498051, -0.0787640514327628, 0.184152673886291, 0.2976627431157186, -0.3323737950975894]|1575.1163330078125000|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[8.601307443529334, 8.296751168957064, 9.023707332251403, 9.114241263003148, 0.2980885232954115, 0.6934545252019138, 0.4230807969932102, 0.2768277472620167]|1478.3443603515625000|      4.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[7.751469023278252, 5.532885872081477, 7.952329658568115, 6.891190734431094, 0.9785310477779484, 1.0280092044955933, 0.4796560764604252, -0.7085096990639617]|886.1136474609375000|      8.00000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[5.614212775547012, 6.169203708368845, 2.0953722163837343, 5.211792700255953, 0.5078937725676926, 1.437997932675434, 4.870298463131717, -2.2036940811117365]|331.2381591796875000|     16.00000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[5.614212775547012, 6.169203708368845, 2.0953722163837343, 5.211792700255953, 0.5078937725676926, 1.437997932675434, 4.870298463131717, -2.2036940811117365]|331.2381591796875000|      8.00000000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[5.614212775547012, 6.169203708368845, 2.0953722163837343, 5.211792700255953, 0.5078937725676926, 1.437997932675434, 4.870298463131717, -2.2036940811117365]|331.2381591796875000|      4.00000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[4.447053948750687, 3.5611120208009908, 2.5605771521047793, 2.7222726949267226, 1.3278954084770753, 1.1763651843933383, 4.148138299695839, -1.8048170905547756]|157.4866333007812500|      8.00000000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       8|[4.447053948750687, 3.5611120208009908, 2.5605771521047793, 2.7222726949267226, 1.3278954084770753, 1.1763651843933383, 4.148138299695839, -1.8048170905547756]|157.4866333007812500|      4.00000000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[1.9852313164559505, 2.0948510468907022, 4.070446611064916, 1.7596958667914002, 1.1189818200424906, 2.0253297842033704, 6.092530030876175, -1.6093607862314134]|128.2106628417968750|      8.00000000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[1.9852313164559505, 2.0948510468907022, 4.070446611064916, 1.7596958667914002, 1.1189818200424906, 2.0253297842033704, 6.092530030876175, -1.6093607862314134]|128.2106628417968750|      4.00000000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[1.9852313164559505, 2.0948510468907022, 4.070446611064916, 1.7596958667914002, 1.1189818200424906, 2.0253297842033704, 6.092530030876175, -1.6093607862314134]|128.2106628417968750|      2.00000000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[2.159968416580222, 1.1285825955095001, 2.682407194039656, 1.8140554559458633, 0.668031752477642, 1.5656745183352592, 6.049628577585878, -0.7788763637494355]| 94.0018768310546875|      4.00000000|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      13|[2.159968416580222, 1.1285825955095001, 2.682407194039656, 1.8140554559458633, 0.668031752477642, 1.5656745183352592, 6.049628577585878, -0.7788763637494355]| 94.0018768310546875|      2.00000000|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[2.159968416580222, 1.1285825955095001, 2.682407194039656, 1.8140554559458633, 0.668031752477642, 1.5656745183352592, 6.049628577585878, -0.7788763637494355]| 94.0018768310546875|      1.00000000|[374, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[2.0768973143826908, 0.6041989411924852, 2.693863358885023, 2.4333496907851155, 0.1741326265656181, 1.4810482542825778, 5.866677495896057, -0.5555037320080545]| 77.1387252807617188|      2.00000000|[400, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      16|[2.1759793907742613, -0.8783893259250154, 2.2644726630264693, 2.6631141895889967, 0.3849565535096944, 0.3690148511364093, 5.344348938764543, -0.5230300771027243]| 52.1612205505371094|      4.00000000|[426, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      17|[2.1759793907742613, -0.8783893259250154, 2.2644726630264693, 2.6631141895889967, 0.3849565535096944, 0.3690148511364093, 5.344348938764543, -0.5230300771027243]| 52.1612205505371094|      2.00000000|[452, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      18|[2.1759793907742613, -0.8783893259250154, 2.2644726630264693, 2.6631141895889967, 0.3849565535096944, 0.3690148511364093, 5.344348938764543, -0.5230300771027243]| 52.1612205505371094|      1.00000000|[478, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[1.7385946021206837, -1.0216898233359448, 2.141280615788171, 2.8368795730976624, -0.3497629530498275, -0.0788023453516886, 5.393701195730817, -0.5225999255289734]| 47.3906555175781250|      2.00000000|[504, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      20|[1.7385946021206837, -1.0216898233359448, 2.141280615788171, 2.8368795730976624, -0.3497629530498275, -0.0788023453516886, 5.393701195730817, -0.5225999255289734]| 47.3906555175781250|      1.00000000|[530, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      21|[1.5762068725580285, -1.259610546549005, 2.146306549391897, 2.051248978600169, -0.8180075988014242, -0.1247416154155715, 5.224172316747429, -0.7454894903717039]| 42.3864669799804688|      2.00000000|[557, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      22|[1.5762068725580285, -1.259610546549005, 2.146306549391897, 2.051248978600169, -0.8180075988014242, -0.1247416154155715, 5.224172316747429, -0.7454894903717039]| 42.3864669799804688|      1.00000000|[583, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      23|[1.5762068725580285, -1.259610546549005, 2.146306549391897, 2.051248978600169, -0.8180075988014242, -0.1247416154155715, 5.224172316747429, -0.7454894903717039]| 42.3864669799804688|      0.50000000|[610, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      24|[1.5762068725580285, -1.259610546549005, 2.146306549391897, 2.051248978600169, -0.8180075988014242, -0.1247416154155715, 5.224172316747429, -0.7454894903717039]| 42.3864669799804688|      0.25000000|[636, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
