k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[17, 0, 1, 5]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[34, 0, 2, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.12500000|[51, 0, 3, 15]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[-0.0176682475816886, 0.0534510243262455, -0.0063200148391307, 0.0352955181678339, 0.0290504590721909, 0.049596705987603, 0.0394388079559308, 0.0368189276085945, 0.007358327090069, 0.0644874856943193, -0.0027239468538185, -0.0271125199862566]| 18.5369286590198072|      0.25000000|[68, 0, 4, 20]                                                             |  | used linear model with 17 points | iterate success | actual_k=0
       5|[-0.0176682475816886, 0.0534510243262455, -0.0063200148391307, 0.0352955181678339, 0.0290504590721909, 0.049596705987603, 0.0394388079559308, 0.0368189276085945, 0.007358327090069, 0.0644874856943193, -0.0027239468538185, -0.0271125199862566]| 18.5369286590198072|      0.12500000|[85, 0, 5, 25]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[0.035064334367304, 0.1059590697138408, 0.0775086175122036, 0.0525849611734708, 0.068958085475936, 0.0662878337281744, 0.0317606875163424, 0.0140880047785857, 0.0086454719341557, 0.0545054124357979, 0.0083461515891188, -0.0176094076181632]| 13.7719968287520356|      0.25000000|[102, 0, 6, 30]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[0.1051203931501485, 0.260719670046953, 0.1081041296151246, 0.1147656677117059, 0.1456709295930783, 0.0824062871284868, 0.0336408458441243, 0.0492287593859405, -0.0665122978022561, 0.0206372182971208, -0.0516239397577049, -0.1227928197206966]| 11.6726353033603214|      0.50000000|[119, 0, 7, 35]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       8|[0.1051203931501485, 0.260719670046953, 0.1081041296151246, 0.1147656677117059, 0.1456709295930783, 0.0824062871284868, 0.0336408458441243, 0.0492287593859405, -0.0665122978022561, 0.0206372182971208, -0.0516239397577049, -0.1227928197206966]| 11.6726353033603214|      0.25000000|[136, 0, 8, 40]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[0.1051203931501485, 0.260719670046953, 0.1081041296151246, 0.1147656677117059, 0.1456709295930783, 0.0824062871284868, 0.0336408458441243, 0.0492287593859405, -0.0665122978022561, 0.0206372182971208, -0.0516239397577049, -0.1227928197206966]| 11.6726353033603214|      0.12500000|[153, 0, 9, 45]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[0.1115624100982184, 0.2741170403250784, 0.1371906119519371, 0.1215673104459889, 0.200418694134342, 0.0981455922775526, 0.0793357713354101, 0.072552737523732, 0.0103831099196388, 0.063400591648791, -0.0343144570546609, -0.0984326175989596]|  7.5477661059808181|      0.25000000|[170, 0, 10, 50]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      11|[0.1115624100982184, 0.2741170403250784, 0.1371906119519371, 0.1215673104459889, 0.200418694134342, 0.0981455922775526, 0.0793357713354101, 0.072552737523732, 0.0103831099196388, 0.063400591648791, -0.0343144570546609, -0.0984326175989596]|  7.5477661059808181|      0.12500000|[187, 0, 11, 55]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[0.1115624100982184, 0.2741170403250784, 0.1371906119519371, 0.1215673104459889, 0.200418694134342, 0.0981455922775526, 0.0793357713354101, 0.072552737523732, 0.0103831099196388, 0.063400591648791, -0.0343144570546609, -0.0984326175989596]|  7.5477661059808181|      0.06250000|[204, 0, 12, 60]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[0.1195244225171992, 0.2965179295995589, 0.1624610527171869, 0.1280972434673251, 0.1959601690254416, 0.0922385864257617, 0.0570918459061883, 0.0486452096513012, -0.0090361719218829, 0.0489170249979966, -0.0559819613869721, -0.1203945184799973]|  6.5713960008263772|      0.12500000|[221, 0, 13, 65]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
