k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[200.0, 400.0, 250.0]                                                           |4515242499193466.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[199.93248211288312, 399.46934395272314, 250.8448937769967]                     |3886328812647560.0000000000000000|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[199.82875717897977, 398.40352808524705, 252.53405856313304]                    |2887732591930494.0000000000000000|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[198.2524409979742, 396.715135448178, 255.79972198739938]                       |1669303326895539.5000000000000000|      8.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[199.77509802496778, 391.1190533112625, 261.31020112219727]                     |576590236225485.0000000000000000|     16.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[197.30164554663327, 382.99534763141446, 274.8707113952152]                     |71382311144810.8750000000000000|     32.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[197.30164554663327, 382.99534763141446, 274.8707113952152]                     |71382311144810.8750000000000000|     16.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[197.30164554663327, 382.99534763141446, 274.8707113952152]                     |71382311144810.8750000000000000|      8.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[196.41005661409358, 378.3654476209656, 281.3336128387325]                      |26769425897639.7578125000000000|     16.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[196.41005661409358, 378.3654476209656, 281.3336128387325]                      |26769425897639.7578125000000000|      8.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[196.0418784536897, 373.5877133846845, 287.73968030713064]                      |10441810390821.8828125000000000|     16.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[196.0418784536897, 373.5877133846845, 287.73968030713064]                      |10441810390821.8828125000000000|      8.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[191.38565814197452, 373.56099037967545, 294.2449780166728]                     |5551550152558.3701171875000000|     16.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[193.09524808642107, 363.615573337226, 306.66133746997485]                      |1008881227787.6835937500000000|     32.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[194.2940641180588, 344.1592569103489, 332.0387800365441]                       |37496335037.6509399414062500|     64.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[168.24178564684115, 302.48994860758, 373.038140178221]                         |2181981204.0819706916809082|    128.00000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
