k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[20.001681937559926, 2.030607288906199, 2.000498925568731, 2.010104750305667, 0.6989569220347525]|4994.5690412883768659|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[20.001681937559926, 2.030607288906199, 2.000498925568731, 2.010104750305667, 0.6989569220347525]|4994.5690412883768659|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[20.001681937559926, 2.030607288906199, 2.000498925568731, 2.010104750305667, 0.6989569220347525]|4994.5690412883768659|      0.25000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[20.12061596191733, 1.9987395210246492, 2.007947732611767, 2.052775577798676, 0.4857367096366377]|4454.8339809077788232|      0.50000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[20.12061596191733, 1.9987395210246492, 2.007947732611767, 2.052775577798676, 0.4857367096366377]|4454.8339809077788232|      0.25000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[20.12061596191733, 1.9987395210246492, 2.007947732611767, 2.052775577798676, 0.4857367096366377]|4454.8339809077788232|      0.12500000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[20.092476234197324, 2.0304408891665138, 2.024797164833139, 1.9994110521980815, 0.5891606093069692]|4044.8461817792008333|      0.25000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[20.092476234197324, 2.0304408891665138, 2.024797164833139, 1.9994110521980815, 0.5891606093069692]|4044.8461817792008333|      0.12500000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[20.081271648207384, 2.1240689480447488, 2.049240442604218, 2.066711632157377, 0.549080664790589]|3735.8303126467690163|      0.25000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[20.093727584213692, 2.354629087047125, 2.136139347471768, 2.104924994105555, 0.5623166484279962]|3345.0349149387966463|      0.50000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[20.093727584213692, 2.354629087047125, 2.136139347471768, 2.104924994105555, 0.5623166484279962]|3345.0349149387966463|      0.25000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[20.093727584213692, 2.354629087047125, 2.136139347471768, 2.104924994105555, 0.5623166484279962]|3345.0349149387966463|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[20.093727584213692, 2.354629087047125, 2.136139347471768, 2.104924994105555, 0.5623166484279962]|3345.0349149387966463|      0.06250000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[20.11182315486402, 2.3656583350058678, 2.1474242712400304, 2.1033817554454814, 0.5046328125440491]|3198.3871606911957315|      0.12500000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      16|[20.11182315486402, 2.3656583350058678, 2.1474242712400304, 2.1033817554454814, 0.5046328125440491]|3198.3871606911957315|      0.06250000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[20.11182315486402, 2.3656583350058678, 2.1474242712400304, 2.1033817554454814, 0.5046328125440491]|3198.3871606911957315|      0.03125000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
