k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[113, 16, 1, 3]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[226, 32, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[339, 48, 3, 9]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[452, 64, 4, 12]                                                           |  | used linear model with 129 points | iterate failure | actual_k=8
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[565, 80, 5, 15]                                                           |  | used linear model with 129 points | iterate failure | actual_k=8
       6|[1.02360913714791, 0.0183834924698404, 0.0094476024136001, 0.0175628648075778, 0.4298408103840011, 0.0205032701859862, 0.800093924313949, 0.0162481338772694, 0.220749939057608, 0.0192932657215298, 2.692691801747052, 0.0205571970361381, 0.8046895137669116, 0.0173659319455321, 2.265688759273459, 0.0227271771008491, 14.352400750012341, 0.0432892512644745, 12.163273475388918, 0.0357571430913786, 0.2760625955978431, 0.0205787965763749, 0.2427609732760141, 0.0205769107320621, 1.1641586998371958, 0.0180056527835698, 0.1762947823892, 0.0215024300906582, 0.1164252299922008, 0.0167214365741453, 3.7448580721790177, 0.0212869062339071, 0.8335625954243424, 0.0190447024039084, 0.1587347489309346, 0.0194646325189223, 0.3866581718403563, 0.0230530914936627, 0.9230596777420365, 0.0195516693862203, 0.2577093638347746, 0.0214596763840189, 2.074554085033946, 0.0196022934934899, 1.944958657571501, 0.0228473945388055, 1.4851136393698239, 0.0183675586267089, 0.484104778981907, 0.018782187991257, 0.4902759647405416, 0.0177565909955973, 0.3262142919061006, 0.020881689992624, 0.8397261269791084, 0.0192038099982533, 0.4590269601769392, 0.0189843463309589, 0.4897361135871648, 0.0196686296046657, 0.9859120898762784, 0.0186884670449397, -0.0198542207666895, 0.0187342004853548, 0.2665957515767985, 0.0211170344094217]|2234920.8000841657631099|      0.06250000|[678, 96, 6, 18]                                                           |  | used linear model with 129 points | iterate success | actual_k=8
       7|[1.02360913714791, 0.0183834924698404, 0.0094476024136001, 0.0175628648075778, 0.4298408103840011, 0.0205032701859862, 0.800093924313949, 0.0162481338772694, 0.220749939057608, 0.0192932657215298, 2.692691801747052, 0.0205571970361381, 0.8046895137669116, 0.0173659319455321, 2.265688759273459, 0.0227271771008491, 14.352400750012341, 0.0432892512644745, 12.163273475388918, 0.0357571430913786, 0.2760625955978431, 0.0205787965763749, 0.2427609732760141, 0.0205769107320621, 1.1641586998371958, 0.0180056527835698, 0.1762947823892, 0.0215024300906582, 0.1164252299922008, 0.0167214365741453, 3.7448580721790177, 0.0212869062339071, 0.8335625954243424, 0.0190447024039084, 0.1587347489309346, 0.0194646325189223, 0.3866581718403563, 0.0230530914936627, 0.9230596777420365, 0.0195516693862203, 0.2577093638347746, 0.0214596763840189, 2.074554085033946, 0.0196022934934899, 1.944958657571501, 0.0228473945388055, 1.4851136393698239, 0.0183675586267089, 0.484104778981907, 0.018782187991257, 0.4902759647405416, 0.0177565909955973, 0.3262142919061006, 0.020881689992624, 0.8397261269791084, 0.0192038099982533, 0.4590269601769392, 0.0189843463309589, 0.4897361135871648, 0.0196686296046657, 0.9859120898762784, 0.0186884670449397, -0.0198542207666895, 0.0187342004853548, 0.2665957515767985, 0.0211170344094217]|2234920.8000841657631099|      0.03125000|[791, 112, 7, 21]                                                          |  | used linear model with 129 points | iterate failure | actual_k=8
       8|[1.0232603830374487, 0.0180587847862467, 0.0083053406419624, 0.0182711802206569, 0.4284029824231333, 0.0195065795162676, 0.7994702685940055, 0.0159834089944499, 0.2224600457928093, 0.0180989363271395, 2.690178089692277, 0.0214824359903527, 0.8055134229843004, 0.0151068487692239, 2.267647959029049, 0.0254005261900558, 14.352001742635629, 0.0612067958114063, 12.160206628028032, 0.0559956708785973, 0.2784516376841926, 0.0201448157080942, 0.2442862761504805, 0.0220374624110208, 1.1620244741067463, 0.0169542736504519, 0.1754594391677599, 0.0214894060345361, 0.1152732450628035, 0.0161064638847149, 3.7453881753626534, 0.0287961402250892, 0.8354051034206051, 0.0214218813688792, 0.1611057973384606, 0.0200571935436061, 0.3905648388275645, 0.0218430825650423, 0.9252381599965634, 0.0217774924169405, 0.2610336765547773, 0.0225399716736996, 2.0735757853572316, 0.0226828967804948, 1.946911129883335, 0.0249679527268535, 1.4861028243753462, 0.0209219996953484, 0.4836152413669868, 0.0181000795237215, 0.4900113987866432, 0.0157206013233787, 0.3238025463646241, 0.0183509720600452, 0.8413692412659977, 0.0223283511274451, 0.4590701904481539, 0.0189440798963216, 0.4868485159207455, 0.018924257275117, 0.9847589744452754, 0.0172082298577931, -0.0202725606481057, 0.0206557048225708, 0.2677049332487654, 0.0204963474401424]|1829221.2427103237714618|      0.06250000|[904, 128, 8, 24]                                                          |  | used linear model with 129 points | iterate success | actual_k=8
       9|[1.0232603830374487, 0.0180587847862467, 0.0083053406419624, 0.0182711802206569, 0.4284029824231333, 0.0195065795162676, 0.7994702685940055, 0.0159834089944499, 0.2224600457928093, 0.0180989363271395, 2.690178089692277, 0.0214824359903527, 0.8055134229843004, 0.0151068487692239, 2.267647959029049, 0.0254005261900558, 14.352001742635629, 0.0612067958114063, 12.160206628028032, 0.0559956708785973, 0.2784516376841926, 0.0201448157080942, 0.2442862761504805, 0.0220374624110208, 1.1620244741067463, 0.0169542736504519, 0.1754594391677599, 0.0214894060345361, 0.1152732450628035, 0.0161064638847149, 3.7453881753626534, 0.0287961402250892, 0.8354051034206051, 0.0214218813688792, 0.1611057973384606, 0.0200571935436061, 0.3905648388275645, 0.0218430825650423, 0.9252381599965634, 0.0217774924169405, 0.2610336765547773, 0.0225399716736996, 2.0735757853572316, 0.0226828967804948, 1.946911129883335, 0.0249679527268535, 1.4861028243753462, 0.0209219996953484, 0.4836152413669868, 0.0181000795237215, 0.4900113987866432, 0.0157206013233787, 0.3238025463646241, 0.0183509720600452, 0.8413692412659977, 0.0223283511274451, 0.4590701904481539, 0.0189440798963216, 0.4868485159207455, 0.018924257275117, 0.9847589744452754, 0.0172082298577931, -0.0202725606481057, 0.0206557048225708, 0.2677049332487654, 0.0204963474401424]|1829221.2427103237714618|      0.03125000|[1017, 144, 9, 27]                                                         |  | used linear model with 129 points | iterate failure | actual_k=8
      10|[1.0246972007036201, 0.0154269407987739, 0.0099756182400055, 0.0208114656617148, 0.429957913155717, 0.0181743288757149, 0.8012309694447274, 0.0150713440126967, 0.221990646049859, 0.0181444046230855, 2.690819960869788, 0.0291060259371009, 0.8071226176113986, 0.0175594508742477, 2.267598067982685, 0.0301333911862798, 14.350568290794536, 0.0815417098070695, 12.159117782928584, 0.0720111281774774, 0.2795087133310578, 0.0210079945933579, 0.243845307634358, 0.0212388383366792, 1.161732416232665, 0.0221074346929724, 0.1770203446562623, 0.0215774959315563, 0.1180673471133006, 0.0179596745528489, 3.743699287224798, 0.0336937927600908, 0.8340768896479387, 0.0182115390811314, 0.1626112303730074, 0.022410081580101, 0.3903612231887342, 0.0239750118704483, 0.9272661816772299, 0.0215556697786053, 0.2610622802927557, 0.0210562817686166, 2.0724451410842666, 0.0293941826882388, 1.9441212173789553, 0.0262421308761405, 1.483916994898281, 0.0223974962074087, 0.4837611770816346, 0.0187307187395957, 0.4890664307217339, 0.0147245155353566, 0.3245722475813902, 0.0173652965325165, 0.8417343336026105, 0.021641011498822, 0.4600343121836838, 0.0200352280766638, 0.4841186242037783, 0.0185776775873756, 0.9841582293839433, 0.0194794204167046, -0.0186253252316072, 0.020822201852048, 0.2688884596609386, 0.0204176016423494]|1628355.3847044291906059|      0.06250000|[1130, 160, 10, 30]                                                        |  | used linear model with 129 points | iterate success | actual_k=8
      11|[1.0246972007036201, 0.0154269407987739, 0.0099756182400055, 0.0208114656617148, 0.429957913155717, 0.0181743288757149, 0.8012309694447274, 0.0150713440126967, 0.221990646049859, 0.0181444046230855, 2.690819960869788, 0.0291060259371009, 0.8071226176113986, 0.0175594508742477, 2.267598067982685, 0.0301333911862798, 14.350568290794536, 0.0815417098070695, 12.159117782928584, 0.0720111281774774, 0.2795087133310578, 0.0210079945933579, 0.243845307634358, 0.0212388383366792, 1.161732416232665, 0.0221074346929724, 0.1770203446562623, 0.0215774959315563, 0.1180673471133006, 0.0179596745528489, 3.743699287224798, 0.0336937927600908, 0.8340768896479387, 0.0182115390811314, 0.1626112303730074, 0.022410081580101, 0.3903612231887342, 0.0239750118704483, 0.9272661816772299, 0.0215556697786053, 0.2610622802927557, 0.0210562817686166, 2.0724451410842666, 0.0293941826882388, 1.9441212173789553, 0.0262421308761405, 1.483916994898281, 0.0223974962074087, 0.4837611770816346, 0.0187307187395957, 0.4890664307217339, 0.0147245155353566, 0.3245722475813902, 0.0173652965325165, 0.8417343336026105, 0.021641011498822, 0.4600343121836838, 0.0200352280766638, 0.4841186242037783, 0.0185776775873756, 0.9841582293839433, 0.0194794204167046, -0.0186253252316072, 0.020822201852048, 0.2688884596609386, 0.0204176016423494]|1628355.3847044291906059|      0.03125000|[1243, 176, 11, 33]                                                        |  | used linear model with 129 points | iterate failure | actual_k=8
