k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9892767732059133, 2.001043753779926, -7.9555992055811835]                    | 41.0191863640729864|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.9428194873982974, 0.6007680952221526, -6.98392270126982]                     |  2.8119045468305952|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[0.9428194873982974, 0.6007680952221526, -6.98392270126982]                     |  2.8119045468305952|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.9428194873982974, 0.6007680952221526, -6.98392270126982]                     |  2.8119045468305952|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.9428194873982974, 0.6007680952221526, -6.98392270126982]                     |  2.8119045468305952|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.6871465946450146, 0.2941508332624938, -7.284949654514094]                    |  1.6157132186078436|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[0.6871465946450146, 0.2941508332624938, -7.284949654514094]                    |  1.6157132186078436|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.6871465946450146, 0.2941508332624938, -7.284949654514094]                    |  1.6157132186078436|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.5357316427549512, 0.0952219240461104, -7.284054432692615]                    |  1.2965122947466927|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[0.2393420609343397, 0.0994091657130057, -6.881393678713008]                    |  1.0671768507233372|      1.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[0.2393420609343397, 0.0994091657130057, -6.881393678713008]                    |  1.0671768507233372|      0.50000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.2393420609343397, 0.0994091657130057, -6.881393678713008]                    |  1.0671768507233372|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.1871326624653948, 0.0068079974942031, -7.107666086125012]                    |  1.0334286783020104|      0.50000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[0.1871326624653948, 0.0068079974942031, -7.107666086125012]                    |  1.0334286783020104|      0.25000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[-0.0596799710680182, 0.0463538889684265, -7.112098511624682]                   |  1.0042844979071417|      0.50000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
