k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.440555372355323, 3.1402313919948637, 0.3458285583765566, 40.350237904218616, -0.6492398523805707, -1.1448239983371986, 25.55967930303444, -0.3438246882374973, 0.9767935105502715]|941.8497239732823800|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       2|[10.440555372355323, 3.1402313919948637, 0.3458285583765566, 40.350237904218616, -0.6492398523805707, -1.1448239983371986, 25.55967930303444, -0.3438246882374973, 0.9767935105502715]|941.8497239732823800|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[10.440555372355323, 3.1402313919948637, 0.3458285583765566, 40.350237904218616, -0.6492398523805707, -1.1448239983371986, 25.55967930303444, -0.3438246882374973, 0.9767935105502715]|941.8497239732823800|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[10.63527571555055, 3.2462606982295967, 0.3029574200740751, 40.557134922845165, -0.7048345365847885, -1.3949782371581525, 25.571624879889434, -0.6433238624267001, 1.003006085607657]|906.7607073109132898|      1.00000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       5|[10.63527571555055, 3.2462606982295967, 0.3029574200740751, 40.557134922845165, -0.7048345365847885, -1.3949782371581525, 25.571624879889434, -0.6433238624267001, 1.003006085607657]|906.7607073109132898|      0.50000000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       6|[10.71687511025281, 3.2499140404784144, 0.1758918829258244, 40.63262859498061, -0.7499294261614271, -1.3583425142703218, 26.004031664542854, -0.7230572018752517, 0.8456069479988318]|869.1923671700631076|      1.00000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       7|[10.71687511025281, 3.2499140404784144, 0.1758918829258244, 40.63262859498061, -0.7499294261614271, -1.3583425142703218, 26.004031664542854, -0.7230572018752517, 0.8456069479988318]|869.1923671700631076|      0.50000000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[10.71687511025281, 3.2499140404784144, 0.1758918829258244, 40.63262859498061, -0.7499294261614271, -1.3583425142703218, 26.004031664542854, -0.7230572018752517, 0.8456069479988318]|869.1923671700631076|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       9|[10.581435536203115, 3.3029862493603974, 0.2707692438713942, 40.59766375299349, -0.6785430494584738, -1.3310482229382417, 26.15508410260619, -0.676709612888035, 0.8280206617921728]|867.1702606514274976|      0.50000000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
      10|[10.581435536203115, 3.3029862493603974, 0.2707692438713942, 40.59766375299349, -0.6785430494584738, -1.3310482229382417, 26.15508410260619, -0.676709612888035, 0.8280206617921728]|867.1702606514274976|      0.25000000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[10.683125906177837, 3.2326437999264557, 0.4351915563910888, 40.53192700372751, -0.6111862689984212, -1.3080293747652405, 26.117319856031703, -0.6806701008508944, 0.9246972586202409]|855.6329167489246856|      0.50000000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      12|[10.683125906177837, 3.2326437999264557, 0.4351915563910888, 40.53192700372751, -0.6111862689984212, -1.3080293747652405, 26.117319856031703, -0.6806701008508944, 0.9246972586202409]|855.6329167489246856|      0.25000000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      13|[10.683125906177837, 3.2326437999264557, 0.4351915563910888, 40.53192700372751, -0.6111862689984212, -1.3080293747652405, 26.117319856031703, -0.6806701008508944, 0.9246972586202409]|855.6329167489246856|      0.12500000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      14|[10.620760518120779, 3.227131786767419, 0.4711347357166354, 40.53270022667932, -0.5786860822684554, -1.2995325628339336, 26.147899715641792, -0.6830260405701033, 1.0160401831051384]|851.5877281459328287|      0.25000000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      15|[10.635065747473375, 3.0642535510973232, 0.5997879535548698, 40.51238094900391, -0.5610763309489788, -1.2603678003792154, 26.253145650033822, -0.6138531881041778, 1.0491452441803115]|848.5461608564162361|      0.50000000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      16|[10.635065747473375, 3.0642535510973232, 0.5997879535548698, 40.51238094900391, -0.5610763309489788, -1.2603678003792154, 26.253145650033822, -0.6138531881041778, 1.0491452441803115]|848.5461608564162361|      0.25000000|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      17|[10.635065747473375, 3.0642535510973232, 0.5997879535548698, 40.51238094900391, -0.5610763309489788, -1.2603678003792154, 26.253145650033822, -0.6138531881041778, 1.0491452441803115]|848.5461608564162361|      0.12500000|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      18|[10.623309601419182, 3.0489695802158523, 0.6349406677007139, 40.528598146407575, -0.5859290039051684, -1.289958355096226, 26.244466864540374, -0.6270013796881224, 1.158749212719324]|845.5205593268279927|      0.25000000|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      19|[10.623309601419182, 3.0489695802158523, 0.6349406677007139, 40.528598146407575, -0.5859290039051684, -1.289958355096226, 26.244466864540374, -0.6270013796881224, 1.158749212719324]|845.5205593268279927|      0.12500000|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      20|[10.654368117599471, 3.0784882916309524, 0.6323300750787986, 40.55851687456963, -0.6038462883121413, -1.2776627070938886, 26.322220445235086, -0.624351211632071, 1.2385127007229602]|843.8569378463390649|      0.25000000|[200, 60, 20, 80]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      21|[10.654368117599471, 3.0784882916309524, 0.6323300750787986, 40.55851687456963, -0.6038462883121413, -1.2776627070938886, 26.322220445235086, -0.624351211632071, 1.2385127007229602]|843.8569378463390649|      0.12500000|[210, 63, 21, 84]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      22|[10.650819638781755, 3.052203136870839, 0.6462499357258951, 40.58628256646029, -0.6712560929808193, -1.2804912492692633, 26.291547936203152, -0.5639300309846935, 1.307889919413759]|841.7408353709250832|      0.25000000|[220, 66, 22, 88]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      23|[10.650819638781755, 3.052203136870839, 0.6462499357258951, 40.58628256646029, -0.6712560929808193, -1.2804912492692633, 26.291547936203152, -0.5639300309846935, 1.307889919413759]|841.7408353709250832|      0.12500000|[230, 69, 23, 92]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
