k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00344121636713, 149.94277141288615, -100.05907574032219, 100.00593587043443, 200.0083846245409]|84511.9840473547083093|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[47.01068069195967, 149.8174387583419, -100.17333190818012, 100.00683409251143, 199.99647079343055]|78036.1486199788923841|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[43.02179131976748, 149.62416802483136, -100.39969526324225, 100.00956518089377, 199.9838148611554]|65877.9542791300045792|      8.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[35.046240935102695, 149.34104015612436, -100.93350138719427, 99.94788878946902, 200.13106198814586]|44742.1043810505434521|     16.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[19.313997742816436, 146.7994770402637, -102.22824061853449, 99.34738465941423, 200.12594539993285]|15153.4907834345212905|     32.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[-10.052936183576282, 153.4514085274363, -97.1411601860629, 96.36503096084027, 191.0395721771881]|5711.2650760010492377|     64.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[-10.052936183576282, 153.4514085274363, -97.1411601860629, 96.36503096084027, 191.0395721771881]|5711.2650760010492377|     32.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[-10.052936183576282, 153.4514085274363, -97.1411601860629, 96.36503096084027, 191.0395721771881]|5711.2650760010492377|     16.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[-10.052936183576282, 153.4514085274363, -97.1411601860629, 96.36503096084027, 191.0395721771881]|5711.2650760010492377|      8.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[-3.6373152202752355, 150.7241535977298, -98.87129866659802, 93.11986465685904, 189.66938799200707]|2826.1696661662076622|     16.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[-3.6373152202752355, 150.7241535977298, -98.87129866659802, 93.11986465685904, 189.66938799200707]|2826.1696661662076622|      8.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[-3.6373152202752355, 150.7241535977298, -98.87129866659802, 93.11986465685904, 189.66938799200707]|2826.1696661662076622|      4.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[-0.7985826832331391, 149.24147981207722, -101.26656463511408, 93.18426258097134, 189.71216504094664]|2212.5194821210225200|      8.00000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[2.7615624317838545, 145.3213694381795, -107.07460622593577, 94.60820163967595, 189.2681471889847]|1760.5133211759082315|     16.00000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      15|[2.7615624317838545, 145.3213694381795, -107.07460622593577, 94.60820163967595, 189.2681471889847]|1760.5133211759082315|      8.00000000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[-1.1154048192171455, 145.21645891236975, -106.8862435597624, 98.17853505446975, 195.2827425643561]|1420.7442738813113010|     16.00000000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      17|[-1.1154048192171455, 145.21645891236975, -106.8862435597624, 98.17853505446975, 195.2827425643561]|1420.7442738813113010|      8.00000000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
