k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.9241832548458282, -0.9778686882193259, 20.046048580227524]                   |805.8600322019050282|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[0.9241832548458282, -0.9778686882193259, 20.046048580227524]                   |805.8600322019050282|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.9241832548458282, -0.9778686882193259, 20.046048580227524]                   |805.8600322019050282|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.8060603853037267, -1.19562224265387, 20.079669663230035]                     |362.8875898585536106|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[0.8060603853037267, -1.19562224265387, 20.079669663230035]                     |362.8875898585536106|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.8060603853037267, -1.19562224265387, 20.079669663230035]                     |362.8875898585536106|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.7563653825373035, -1.1169947376293536, 20.16317488554376]                    |227.3951646185833795|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[0.7563653825373035, -1.1169947376293536, 20.16317488554376]                    |227.3951646185833795|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.7563653825373035, -1.1169947376293536, 20.16317488554376]                    |227.3951646185833795|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.7563653825373035, -1.1169947376293536, 20.16317488554376]                    |227.3951646185833795|      0.03125000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.7563653825373035, -1.1169947376293536, 20.16317488554376]                    |227.3951646185833795|      0.01562500|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.756636306710972, -1.1326161303923583, 20.162976609886993]                    |226.3802655431937296|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[0.756636306710972, -1.1326161303923583, 20.162976609886993]                    |226.3802655431937296|      0.01562500|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.756636306710972, -1.1326161303923583, 20.162976609886993]                    |226.3802655431937296|      0.00781250|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
