k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[100.03108565950055, 0.1235837892017419, 0.2929429365642637, 0.9058183373259702, 100.0114313289112, 0.0536615318917888, 0.2020941923604929, 0.8044856743426884, 99.97961592453989, -0.0123445095935144, 0.2581452939287181, 0.7375357474420217, 100.01331999719511, 0.1796681628681304, 0.3011476359907822, 0.6086741663907191, 99.97475610816777, 0.2071451340999247, 0.4484134355578775, 0.2541439036258576, 99.98989242388005, 0.6332326926387549, 0.5690024690703187, 0.0090648136285397, 300.0267574309347, 299.98016477857277, 300.01398832363674, 300.01059828059994, 300.0175093891486]|371.3525695800781250|      0.50000000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       4|[100.03108565950055, 0.1235837892017419, 0.2929429365642637, 0.9058183373259702, 100.0114313289112, 0.0536615318917888, 0.2020941923604929, 0.8044856743426884, 99.97961592453989, -0.0123445095935144, 0.2581452939287181, 0.7375357474420217, 100.01331999719511, 0.1796681628681304, 0.3011476359907822, 0.6086741663907191, 99.97475610816777, 0.2071451340999247, 0.4484134355578775, 0.2541439036258576, 99.98989242388005, 0.6332326926387549, 0.5690024690703187, 0.0090648136285397, 300.0267574309347, 299.98016477857277, 300.01398832363674, 300.01059828059994, 300.0175093891486]|371.3525695800781250|      0.25000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[100.03108565950055, 0.1235837892017419, 0.2929429365642637, 0.9058183373259702, 100.0114313289112, 0.0536615318917888, 0.2020941923604929, 0.8044856743426884, 99.97961592453989, -0.0123445095935144, 0.2581452939287181, 0.7375357474420217, 100.01331999719511, 0.1796681628681304, 0.3011476359907822, 0.6086741663907191, 99.97475610816777, 0.2071451340999247, 0.4484134355578775, 0.2541439036258576, 99.98989242388005, 0.6332326926387549, 0.5690024690703187, 0.0090648136285397, 300.0267574309347, 299.98016477857277, 300.01398832363674, 300.01059828059994, 300.0175093891486]|371.3525695800781250|      0.12500000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[100.01653888015498, 0.1327495217624271, 0.2948173269097737, 0.8909386705417133, 99.99431656506336, 0.0626400289522183, 0.2115708504547678, 0.8054973375803601, 99.98797708579237, 0.0539509670533509, 0.2809889891646049, 0.7489498618410838, 100.01835138567263, 0.1059533844021655, 0.2621557206839314, 0.5693021829940448, 99.97820356888599, 0.1995153455900701, 0.4571988356424933, 0.2768541087671721, 99.98925883184936, 0.6440708475120398, 0.5646879411956927, 0.0041947961622144, 300.0234517762918, 299.9846699762836, 300.0165803556219, 299.999353747732, 300.01512923329386]|233.9286041259765625|      0.25000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[100.01653888015498, 0.1327495217624271, 0.2948173269097737, 0.8909386705417133, 99.99431656506336, 0.0626400289522183, 0.2115708504547678, 0.8054973375803601, 99.98797708579237, 0.0539509670533509, 0.2809889891646049, 0.7489498618410838, 100.01835138567263, 0.1059533844021655, 0.2621557206839314, 0.5693021829940448, 99.97820356888599, 0.1995153455900701, 0.4571988356424933, 0.2768541087671721, 99.98925883184936, 0.6440708475120398, 0.5646879411956927, 0.0041947961622144, 300.0234517762918, 299.9846699762836, 300.0165803556219, 299.999353747732, 300.01512923329386]|233.9286041259765625|      0.12500000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[100.01653888015498, 0.1327495217624271, 0.2948173269097737, 0.8909386705417133, 99.99431656506336, 0.0626400289522183, 0.2115708504547678, 0.8054973375803601, 99.98797708579237, 0.0539509670533509, 0.2809889891646049, 0.7489498618410838, 100.01835138567263, 0.1059533844021655, 0.2621557206839314, 0.5693021829940448, 99.97820356888599, 0.1995153455900701, 0.4571988356424933, 0.2768541087671721, 99.98925883184936, 0.6440708475120398, 0.5646879411956927, 0.0041947961622144, 300.0234517762918, 299.9846699762836, 300.0165803556219, 299.999353747732, 300.01512923329386]|233.9286041259765625|      0.06250000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[100.01500121734907, 0.1437853270591317, 0.3051463304285466, 0.8871295292305874, 99.99167473687564, 0.0931482585593165, 0.2297786903588472, 0.8088629874578622, 99.98421010131415, 0.0293795209420339, 0.2633997576420486, 0.7286459218695727, 100.01700738273018, 0.1179266385422112, 0.2727647617440812, 0.5774374885695728, 99.97781903146394, 0.1816559891106018, 0.4483688084715071, 0.2643503889636029, 99.98758766537779, 0.6484823226921924, 0.5623080172312843, 0.0091468324231601, 300.0239215705791, 299.9831091952808, 300.0172117602734, 299.99334232582396, 300.0236019530464]|188.6645202636718750|      0.12500000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      10|[100.03543210209386, 0.1826164395237743, 0.3247274883487061, 0.8955331221709525, 99.98693106391163, 0.1365081073022301, 0.2193412151642385, 0.7880703811440467, 99.97704186594792, 0.0885973487659628, 0.2854635993217111, 0.7191851078918193, 100.00826773942461, 0.099401084567034, 0.2496881000238184, 0.5478689852298637, 99.97003558854215, 0.1781768556532293, 0.4556886834262862, 0.2849615192874695, 99.9734589448873, 0.6768066568242492, 0.5688344589881741, -0.0143513751065275, 300.022433466472, 300.00738738463207, 300.0343245600421, 299.9704285945657, 300.0594307375549]|149.0348052978515625|      0.25000000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
