k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[1.4203858032125747, 0.3844906370145638, 0.580237612139603, 0.8093679539188283, 0.4443009235384283, 2.982562313473335, 4.9417455131266985, 6.914154958583653, 2.2159000779660514, 4.738720919737191, 5.596302354917227]|  1.5580898106646142|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       3|[1.4203858032125747, 0.3844906370145638, 0.580237612139603, 0.8093679539188283, 0.4443009235384283, 2.982562313473335, 4.9417455131266985, 6.914154958583653, 2.2159000779660514, 4.738720919737191, 5.596302354917227]|  1.5580898106646142|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[1.4203858032125747, 0.3844906370145638, 0.580237612139603, 0.8093679539188283, 0.4443009235384283, 2.982562313473335, 4.9417455131266985, 6.914154958583653, 2.2159000779660514, 4.738720919737191, 5.596302354917227]|  1.5580898106646142|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[1.3840346458166843, 0.3444285180696218, 0.5616388295332015, 0.7866818434860734, 0.4969564318421225, 2.905390816471343, 4.956075338660249, 7.03155307652599, 2.172608578507542, 4.643894986066568, 5.754830679005599]|  1.1042568473723096|      0.50000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=0
       6|[1.3840346458166843, 0.3444285180696218, 0.5616388295332015, 0.7866818434860734, 0.4969564318421225, 2.905390816471343, 4.956075338660249, 7.03155307652599, 2.172608578507542, 4.643894986066568, 5.754830679005599]|  1.1042568473723096|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[1.3840346458166843, 0.3444285180696218, 0.5616388295332015, 0.7866818434860734, 0.4969564318421225, 2.905390816471343, 4.956075338660249, 7.03155307652599, 2.172608578507542, 4.643894986066568, 5.754830679005599]|  1.1042568473723096|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[1.3630577052523225, 0.3222718220308356, 0.5534224674203557, 0.7527728258158887, 0.4237172398235747, 2.897314936181159, 4.938552166371831, 7.0306882162882465, 2.2361217574113117, 4.61063238756042, 5.703846507880016]|  0.9805904814230892|      0.25000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[1.3630577052523225, 0.3222718220308356, 0.5534224674203557, 0.7527728258158887, 0.4237172398235747, 2.897314936181159, 4.938552166371831, 7.0306882162882465, 2.2361217574113117, 4.61063238756042, 5.703846507880016]|  0.9805904814230892|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[1.3630577052523225, 0.3222718220308356, 0.5534224674203557, 0.7527728258158887, 0.4237172398235747, 2.897314936181159, 4.938552166371831, 7.0306882162882465, 2.2361217574113117, 4.61063238756042, 5.703846507880016]|  0.9805904814230892|      0.06250000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[1.3270543617041481, 0.2899961287745362, 0.562786230904981, 0.7621191975312418, 0.4344868847262479, 2.898035144382717, 4.92231919021624, 7.027521093422601, 2.25868973386019, 4.618206877455437, 5.724739654025957]|  0.7979917392952904|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      12|[1.3270543617041481, 0.2899961287745362, 0.562786230904981, 0.7621191975312418, 0.4344868847262479, 2.898035144382717, 4.92231919021624, 7.027521093422601, 2.25868973386019, 4.618206877455437, 5.724739654025957]|  0.7979917392952904|      0.06250000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[1.3270543617041481, 0.2899961287745362, 0.562786230904981, 0.7621191975312418, 0.4344868847262479, 2.898035144382717, 4.92231919021624, 7.027521093422601, 2.25868973386019, 4.618206877455437, 5.724739654025957]|  0.7979917392952904|      0.03125000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[1.320963712368594, 0.2768352562029515, 0.5701560634106944, 0.7632188311046935, 0.4241908912289634, 2.9029710194531266, 4.92188153012999, 7.026717250463669, 2.2773641867810883, 4.63339864622307, 5.724704814062305]|  0.7316841280535441|      0.06250000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[1.3217535168476697, 0.2541546984093868, 0.561832623933538, 0.7413365117229404, 0.4275442583738081, 2.904131624294195, 4.9052609997920795, 7.025240741907589, 2.303124031844041, 4.676145605650528, 5.7168807088861335]|  0.6586899724621064|      0.12500000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      16|[1.3217535168476697, 0.2541546984093868, 0.561832623933538, 0.7413365117229404, 0.4275442583738081, 2.904131624294195, 4.9052609997920795, 7.025240741907589, 2.303124031844041, 4.676145605650528, 5.7168807088861335]|  0.6586899724621064|      0.06250000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[1.299670781019738, 0.2508259618284461, 0.5714284438646491, 0.7459436883541725, 0.3974449751641567, 2.8973961469612055, 4.896585603880133, 7.02553342995531, 2.3475521003127624, 4.693266259321546, 5.716129217487518]|  0.5869422548526008|      0.12500000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      18|[1.299670781019738, 0.2508259618284461, 0.5714284438646491, 0.7459436883541725, 0.3974449751641567, 2.8973961469612055, 4.896585603880133, 7.02553342995531, 2.3475521003127624, 4.693266259321546, 5.716129217487518]|  0.5869422548526008|      0.06250000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      19|[1.261846068675605, 0.2207576861708101, 0.5652015456677506, 0.7369740686391334, 0.40090460318248, 2.9219024915781047, 4.893397868724706, 7.015240899561059, 2.3588287610480223, 4.686905278895351, 5.739707993047486]|  0.5155540999185242|      0.12500000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      20|[1.261846068675605, 0.2207576861708101, 0.5652015456677506, 0.7369740686391334, 0.40090460318248, 2.9219024915781047, 4.893397868724706, 7.015240899561059, 2.3588287610480223, 4.686905278895351, 5.739707993047486]|  0.5155540999185242|      0.06250000|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[1.261846068675605, 0.2207576861708101, 0.5652015456677506, 0.7369740686391334, 0.40090460318248, 2.9219024915781047, 4.893397868724706, 7.015240899561059, 2.3588287610480223, 4.686905278895351, 5.739707993047486]|  0.5155540999185242|      0.03125000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      22|[1.2660919859168311, 0.2225235641062148, 0.5672804208536745, 0.7425832790904878, 0.3779824147079924, 2.926493301425765, 4.8833630326391635, 7.0093911076385425, 2.3701584106459137, 4.697333084122925, 5.7407620593540845]|  0.5006396766823256|      0.06250000|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      23|[1.2660919859168311, 0.2225235641062148, 0.5672804208536745, 0.7425832790904878, 0.3779824147079924, 2.926493301425765, 4.8833630326391635, 7.0093911076385425, 2.3701584106459137, 4.697333084122925, 5.7407620593540845]|  0.5006396766823256|      0.03125000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[1.2548393773135287, 0.2128649089810644, 0.5672805265212117, 0.7423163335268065, 0.3888045933215203, 2.9357006387167774, 4.895060692381938, 7.006741743730979, 2.387435742680029, 4.7003428367044675, 5.750924078126158]|  0.4712758790042062|      0.06250000|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[1.2548393773135287, 0.2128649089810644, 0.5672805265212117, 0.7423163335268065, 0.3888045933215203, 2.9357006387167774, 4.895060692381938, 7.006741743730979, 2.387435742680029, 4.7003428367044675, 5.750924078126158]|  0.4712758790042062|      0.03125000|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[1.2469880610757098, 0.1998738811980456, 0.571583480175776, 0.7287849810772007, 0.3694619607962074, 2.9440866350648216, 4.89093414256502, 7.000919989155489, 2.385184945071674, 4.704954893872394, 5.75570098638615]|  0.4525324245105951|      0.06250000|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      27|[1.2469880610757098, 0.1998738811980456, 0.571583480175776, 0.7287849810772007, 0.3694619607962074, 2.9440866350648216, 4.89093414256502, 7.000919989155489, 2.385184945071674, 4.704954893872394, 5.75570098638615]|  0.4525324245105951|      0.03125000|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      28|[1.2469880610757098, 0.1998738811980456, 0.571583480175776, 0.7287849810772007, 0.3694619607962074, 2.9440866350648216, 4.89093414256502, 7.000919989155489, 2.385184945071674, 4.704954893872394, 5.75570098638615]|  0.4525324245105951|      0.01562500|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      29|[1.2420280307524316, 0.1900158293434208, 0.5679975566583009, 0.7250061670515087, 0.3713371550162209, 2.950039316472627, 4.890079626900205, 6.994510655244104, 2.3868453320150964, 4.705872654875552, 5.758996370632985]|  0.4400167969340699|      0.03125000|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
