k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0358154131479206, -0.2819864660473082, 1.0200572200170765, 1.004279079812712, 0.140114142336457, 0.5764712544129145]|497.7507834458129992|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[-0.0358154131479206, -0.2819864660473082, 1.0200572200170765, 1.004279079812712, 0.140114142336457, 0.5764712544129145]|497.7507834458129992|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.0830610461899634, -0.3541267091591974, 0.5756080351056688, 1.1830543821306145, -0.1046386079049235, -0.2549519695236401]|403.7852272211951572|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[0.0830610461899634, -0.3541267091591974, 0.5756080351056688, 1.1830543821306145, -0.1046386079049235, -0.2549519695236401]|403.7852272211951572|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.0830610461899634, -0.3541267091591974, 0.5756080351056688, 1.1830543821306145, -0.1046386079049235, -0.2549519695236401]|403.7852272211951572|      0.50000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.2225733413866138, -0.2320440502812764, 0.3280105791016515, 1.5466547777178485, -0.2524082870577625, -0.2718788098215989]|311.2883496976521656|      1.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[0.7343956103067639, -0.5778466341563469, 0.7407423748009636, 2.071535725361876, -0.2900925241969596, -0.6856310205868354]|180.7268809343525504|      2.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       8|[0.7343956103067639, -0.5778466341563469, 0.7407423748009636, 2.071535725361876, -0.2900925241969596, -0.6856310205868354]|180.7268809343525504|      1.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[0.7343956103067639, -0.5778466341563469, 0.7407423748009636, 2.071535725361876, -0.2900925241969596, -0.6856310205868354]|180.7268809343525504|      0.50000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[0.8670805663377235, -0.4469419104783594, 0.6029164272468202, 2.327740520791292, -0.428907852739134, -0.3519364427115665]| 91.7761220593869069|      1.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[0.8670805663377235, -0.4469419104783594, 0.6029164272468202, 2.327740520791292, -0.428907852739134, -0.3519364427115665]| 91.7761220593869069|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[0.8670805663377235, -0.4469419104783594, 0.6029164272468202, 2.327740520791292, -0.428907852739134, -0.3519364427115665]| 91.7761220593869069|      0.25000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[0.8670805663377235, -0.4469419104783594, 0.6029164272468202, 2.327740520791292, -0.428907852739134, -0.3519364427115665]| 91.7761220593869069|      0.12500000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[0.8670805663377235, -0.4469419104783594, 0.6029164272468202, 2.327740520791292, -0.428907852739134, -0.3519364427115665]| 91.7761220593869069|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[0.8377206447342311, -0.4151715472134775, 0.6064389394312871, 2.2905414995911837, -0.4225199788889834, -0.3763886168233498]| 79.4758113835630553|      0.12500000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      16|[0.7634481469005223, -0.3996171877654229, 0.6331821989368422, 2.2615313071191996, -0.404343853012727, -0.465716625978317]| 73.7421799141457512|      0.25000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[0.7634481469005223, -0.3996171877654229, 0.6331821989368422, 2.2615313071191996, -0.404343853012727, -0.465716625978317]| 73.7421799141457512|      0.12500000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[0.7634481469005223, -0.3996171877654229, 0.6331821989368422, 2.2615313071191996, -0.404343853012727, -0.465716625978317]| 73.7421799141457512|      0.06250000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[0.716772146341047, -0.3953444986375334, 0.5939924263827986, 2.2540925023880756, -0.4040674847513679, -0.4548494906010923]| 72.4749165149650594|      0.12500000|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      20|[0.716772146341047, -0.3953444986375334, 0.5939924263827986, 2.2540925023880756, -0.4040674847513679, -0.4548494906010923]| 72.4749165149650594|      0.06250000|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
