k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.675843357173315, -1.5014410089879306, -0.0069909632973581, -0.0469922982992239, 0.0842764178764626, -0.516352357001351, 0.0255674791538755]|113700.5347322798770620|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[10.675843357173315, -1.5014410089879306, -0.0069909632973581, -0.0469922982992239, 0.0842764178764626, -0.516352357001351, 0.0255674791538755]|113700.5347322798770620|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[10.675843357173315, -1.5014410089879306, -0.0069909632973581, -0.0469922982992239, 0.0842764178764626, -0.516352357001351, 0.0255674791538755]|113700.5347322798770620|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[10.675843357173315, -1.5014410089879306, -0.0069909632973581, -0.0469922982992239, 0.0842764178764626, -0.516352357001351, 0.0255674791538755]|113700.5347322798770620|      0.25000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[10.675843357173315, -1.5014410089879306, -0.0069909632973581, -0.0469922982992239, 0.0842764178764626, -0.516352357001351, 0.0255674791538755]|113700.5347322798770620|      0.12500000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[10.675843357173315, -1.5014410089879306, -0.0069909632973581, -0.0469922982992239, 0.0842764178764626, -0.516352357001351, 0.0255674791538755]|113700.5347322798770620|      0.06250000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[10.675843357173315, -1.5014410089879306, -0.0069909632973581, -0.0469922982992239, 0.0842764178764626, -0.516352357001351, 0.0255674791538755]|113700.5347322798770620|      0.03125000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[10.675843357173315, -1.5014410089879306, -0.0069909632973581, -0.0469922982992239, 0.0842764178764626, -0.516352357001351, 0.0255674791538755]|113700.5347322798770620|      0.01562500|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[10.676896346872333, -1.4958865632308536, -0.0196195684666574, -0.0446777067505892, 0.0851925177239617, -0.5109140313376823, 0.0214533155071931]|83731.8731236558669480|      0.03125000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[10.676896346872333, -1.4958865632308536, -0.0196195684666574, -0.0446777067505892, 0.0851925177239617, -0.5109140313376823, 0.0214533155071931]|83731.8731236558669480|      0.01562500|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[10.676896346872333, -1.4958865632308536, -0.0196195684666574, -0.0446777067505892, 0.0851925177239617, -0.5109140313376823, 0.0214533155071931]|83731.8731236558669480|      0.00781250|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[10.676896346872333, -1.4958865632308536, -0.0196195684666574, -0.0446777067505892, 0.0851925177239617, -0.5109140313376823, 0.0214533155071931]|83731.8731236558669480|      0.00390625|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[10.676896346872333, -1.4958865632308536, -0.0196195684666574, -0.0446777067505892, 0.0851925177239617, -0.5109140313376823, 0.0214533155071931]|83731.8731236558669480|      0.00195312|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[10.676896346872333, -1.4958865632308536, -0.0196195684666574, -0.0446777067505892, 0.0851925177239617, -0.5109140313376823, 0.0214533155071931]|83731.8731236558669480|      0.00097656|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[10.676896346872333, -1.4958865632308536, -0.0196195684666574, -0.0446777067505892, 0.0851925177239617, -0.5109140313376823, 0.0214533155071931]|83731.8731236558669480|      0.00048828|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[10.676902370199825, -1.4959993456377751, -0.0196013508976452, -0.0443717593766417, 0.0852631100377776, -0.5111170415813794, 0.0217457711757218]|78830.8157538735395065|      0.00097656|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      17|[10.676643769303697, -1.4963094791677223, -0.0197947294896299, -0.0441745026214175, 0.0853110093313303, -0.5114048130980389, 0.0225389954763377]|76526.5407223633228568|      0.00195312|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      18|[10.676643769303697, -1.4963094791677223, -0.0197947294896299, -0.0441745026214175, 0.0853110093313303, -0.5114048130980389, 0.0225389954763377]|76526.5407223633228568|      0.00097656|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      19|[10.676643769303697, -1.4963094791677223, -0.0197947294896299, -0.0441745026214175, 0.0853110093313303, -0.5114048130980389, 0.0225389954763377]|76526.5407223633228568|      0.00048828|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      20|[10.676643769303697, -1.4963094791677223, -0.0197947294896299, -0.0441745026214175, 0.0853110093313303, -0.5114048130980389, 0.0225389954763377]|76526.5407223633228568|      0.00024414|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      21|[10.67665770902772, -1.4963094619927009, -0.0198100016531956, -0.0441113824787054, 0.0852588177530883, -0.5114071231357782, 0.0223099460492159]|76301.8564868277462665|      0.00048828|[189, 0, 21, 63]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
