k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.046313370835115, 149.96119619600066, -99.97903466891809, 1.2802565659620675, 1.9000360551245155]|84671.9064583140716422|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[47.054563446169404, 149.826236773678, -100.06668849506694, 1.3431426052510969, 1.8445352015773089]|78196.4353906573232962|      4.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[47.054563446169404, 149.826236773678, -100.06668849506694, 1.3431426052510969, 1.8445352015773089]|78196.4353906573232962|      2.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[47.054563446169404, 149.826236773678, -100.06668849506694, 1.3431426052510969, 1.8445352015773089]|78196.4353906573232962|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[46.05824713395193, 149.76537103032737, -100.12707713265954, 1.3442231586673268, 1.8456361783155566]|75054.3417949455179041|      2.00000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[44.06521219293449, 149.65177276899973, -100.24738245346718, 1.3637112080290321, 1.8529849621869623]|68968.6345645727851661|      4.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[44.06521219293449, 149.65177276899973, -100.24738245346718, 1.3637112080290321, 1.8529849621869623]|68968.6345645727851661|      2.00000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[42.07686705142728, 149.51766332199222, -100.3259560840849, 1.5109156687529197, 1.8273864117877119]|63164.1844016455652309|      4.00000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[42.07686705142728, 149.51766332199222, -100.3259560840849, 1.5109156687529197, 1.8273864117877119]|63164.1844016455652309|      2.00000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[42.07686705142728, 149.51766332199222, -100.3259560840849, 1.5109156687529197, 1.8273864117877119]|63164.1844016455652309|      1.00000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[41.080999653153405, 149.453420074386, -100.38981372906437, 1.5174667371571346, 1.8278499553960657]|60351.9049602242812398|      2.00000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[39.08836843678796, 149.35839548647618, -100.4697700133435, 1.5799186907738993, 1.727361601084415]|54937.1258040660832194|      4.00000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[39.08836843678796, 149.35839548647618, -100.4697700133435, 1.5799186907738993, 1.727361601084415]|54937.1258040660832194|      2.00000000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
