k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.254380028530617, -0.6751010827145105, 0.1616226731213367, 0.7628437549430175, -0.1638381113464969, 0.1319838643653462, -0.4530022513526296]|67505.5934311565506505|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[10.311838832754, -1.5207335324880995, 0.4196403629095766, 1.4767265993073857, 0.4663900578291919, 1.426845428994536, 0.3416979343836156]|31118.5305484067575890|      4.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[10.311838832754, -1.5207335324880995, 0.4196403629095766, 1.4767265993073857, 0.4663900578291919, 1.426845428994536, 0.3416979343836156]|31118.5305484067575890|      2.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[10.311838832754, -1.5207335324880995, 0.4196403629095766, 1.4767265993073857, 0.4663900578291919, 1.426845428994536, 0.3416979343836156]|31118.5305484067575890|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[10.311838832754, -1.5207335324880995, 0.4196403629095766, 1.4767265993073857, 0.4663900578291919, 1.426845428994536, 0.3416979343836156]|31118.5305484067575890|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[10.311838832754, -1.5207335324880995, 0.4196403629095766, 1.4767265993073857, 0.4663900578291919, 1.426845428994536, 0.3416979343836156]|31118.5305484067575890|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[10.315929042143118, -1.5279244772389058, 0.4079479592850995, 1.4764929826448612, 0.4526656659318131, 1.4142002450656181, 0.0928073278675554]|4348.3227896968865025|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[10.315929042143118, -1.5279244772389058, 0.4079479592850995, 1.4764929826448612, 0.4526656659318131, 1.4142002450656181, 0.0928073278675554]|4348.3227896968865025|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[10.315929042143118, -1.5279244772389058, 0.4079479592850995, 1.4764929826448612, 0.4526656659318131, 1.4142002450656181, 0.0928073278675554]|4348.3227896968865025|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[10.315929042143118, -1.5279244772389058, 0.4079479592850995, 1.4764929826448612, 0.4526656659318131, 1.4142002450656181, 0.0928073278675554]|4348.3227896968865025|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[10.315929042143118, -1.5279244772389058, 0.4079479592850995, 1.4764929826448612, 0.4526656659318131, 1.4142002450656181, 0.0928073278675554]|4348.3227896968865025|      0.03125000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[10.315929042143118, -1.5279244772389058, 0.4079479592850995, 1.4764929826448612, 0.4526656659318131, 1.4142002450656181, 0.0928073278675554]|4348.3227896968865025|      0.01562500|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[10.315929042143118, -1.5279244772389058, 0.4079479592850995, 1.4764929826448612, 0.4526656659318131, 1.4142002450656181, 0.0928073278675554]|4348.3227896968865025|      0.00781250|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
