k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00331701281146, 149.94178085592367, -100.05669687769317, 99.99603156257469, 199.99819172009973]|84511.8479968393803574|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[47.0105338979335, 149.8176238588334, -100.17231991976132, 99.99376723017777, 199.99302625085525]|78035.9149064262455795|      4.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[43.0268539171659, 149.55427196579683, -100.41854033619748, 99.97650338382485, 199.99715631194664]|65876.4040788007841911|      8.00000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[35.04521937755029, 149.3603041257242, -100.84851626021033, 100.2059986300471, 200.13257857659815]|44756.9079582805061364|     16.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[19.18230670825335, 147.68011983494512, -102.03205144825789, 100.5855518948543, 200.14546939135803]|15116.5517357169046591|     32.00000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[-12.193262764036984, 143.38957066896845, -106.07385823571002, 102.67716970829623, 200.81908720526894]|5847.5780346439978530|     64.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[-12.193262764036984, 143.38957066896845, -106.07385823571002, 102.67716970829623, 200.81908720526894]|5847.5780346439978530|     32.00000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[-12.193262764036984, 143.38957066896845, -106.07385823571002, 102.67716970829623, 200.81908720526894]|5847.5780346439978530|     16.00000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[3.0517537313721412, 143.51970767555608, -110.2700874954193, 100.29041496982204, 200.3017882273551]|1446.9419230562689336|     32.00000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[3.0517537313721412, 143.51970767555608, -110.2700874954193, 100.29041496982204, 200.3017882273551]|1446.9419230562689336|     16.00000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[3.0517537313721412, 143.51970767555608, -110.2700874954193, 100.29041496982204, 200.3017882273551]|1446.9419230562689336|      8.00000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[3.0517537313721412, 143.51970767555608, -110.2700874954193, 100.29041496982204, 200.3017882273551]|1446.9419230562689336|      4.00000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[0.055170559086076, 141.49617523627248, -111.03010399987741, 101.51245114324963, 201.22634664223472]|892.1951591402502117|      8.00000000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[0.055170559086076, 141.49617523627248, -111.03010399987741, 101.51245114324963, 201.22634664223472]|892.1951591402502117|      4.00000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[-1.9580727593330067, 138.7996423790142, -112.5799537843003, 100.87448824554096, 199.86013623477953]|762.8307174228723397|      8.00000000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      16|[-1.9580727593330067, 138.7996423790142, -112.5799537843003, 100.87448824554096, 199.86013623477953]|762.8307174228723397|      4.00000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[0.96299701194893, 136.57882928433477, -113.91666740250258, 101.51996148372842, 200.43624524486327]|523.7618689644018559|      8.00000000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[0.1748099383296754, 131.98022256268243, -118.86092004777863, 98.73197144067043, 203.60058635416925]|162.5625954956333601|     16.00000000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[0.1748099383296754, 131.98022256268243, -118.86092004777863, 98.73197144067043, 203.60058635416925]|162.5625954956333601|      8.00000000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[0.1748099383296754, 131.98022256268243, -118.86092004777863, 98.73197144067043, 203.60058635416925]|162.5625954956333601|      4.00000000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[0.1748099383296754, 131.98022256268243, -118.86092004777863, 98.73197144067043, 203.60058635416925]|162.5625954956333601|      2.00000000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
