k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.003552562977404, 149.93968704747985, -100.05871849757993, 99.99969208530733, 199.99737393071413]|84511.8162933054700261|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[47.01056180514162, 149.81054397949669, -100.16438012732124, 100.00338319666312, 200.00885882820683]|78036.1672510268690530|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[43.026193124045214, 149.54668725999775, -100.3961160956197, 99.96602967580856, 200.01829281728382]|65877.2011796261213021|      8.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[35.24108518608953, 151.20497638414287, -101.08250980783657, 99.76459782730264, 199.6570997146946]|45491.7599305471594562|     16.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[19.2641729011579, 151.54344466062534, -101.41706781827594, 99.29873386510505, 200.20001294145578]|15818.4135741626741947|     32.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[-5.584403547668256, 148.66993103713764, -114.3924310426979, 113.50652334655173, 194.90191562565607]|2010.1343837602050826|     64.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[-5.584403547668256, 148.66993103713764, -114.3924310426979, 113.50652334655173, 194.90191562565607]|2010.1343837602050826|     32.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[-5.584403547668256, 148.66993103713764, -114.3924310426979, 113.50652334655173, 194.90191562565607]|2010.1343837602050826|     16.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[0.3775454445167021, 139.22144488161882, -123.6771774312368, 120.05757592968595, 196.3366518861159]|230.3917171812348954|     32.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      10|[0.3775454445167021, 139.22144488161882, -123.6771774312368, 120.05757592968595, 196.3366518861159]|230.3917171812348954|     16.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.3775454445167021, 139.22144488161882, -123.6771774312368, 120.05757592968595, 196.3366518861159]|230.3917171812348954|      8.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[0.3775454445167021, 139.22144488161882, -123.6771774312368, 120.05757592968595, 196.3366518861159]|230.3917171812348954|      4.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[0.3775454445167021, 139.22144488161882, -123.6771774312368, 120.05757592968595, 196.3366518861159]|230.3917171812348954|      2.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[-0.7799564294594992, 138.15463630529666, -124.88702485624731, 120.25071893585712, 196.19148349909702]|199.7669830101373805|      4.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[-0.7799564294594992, 138.15463630529666, -124.88702485624731, 120.25071893585712, 196.19148349909702]|199.7669830101373805|      2.00000000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[0.789131706651131, 137.44942613434637, -125.64670051284028, 120.71445145444693, 196.68996728407652]|139.9889426359589208|      4.00000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[0.789131706651131, 137.44942613434637, -125.64670051284028, 120.71445145444693, 196.68996728407652]|139.9889426359589208|      2.00000000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
