k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[99.90368470232629, 0.7511460396856264, -0.8637401464450241]                    |18223.0607870975618425|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[99.90368470232629, 0.7511460396856264, -0.8637401464450241]                    |18223.0607870975618425|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[100.56903194480182, 0.0390542996753964, -0.6396009023590985]                   |18217.7920358717565250|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[100.56903194480182, 0.0390542996753964, -0.6396009023590985]                   |18217.7920358717565250|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[100.56903194480182, 0.0390542996753964, -0.6396009023590985]                   |18217.7920358717565250|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[100.18568334665744, -0.0882540941603448, -0.3449206940659314]                  |18140.5435575953961234|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[100.18568334665744, -0.0882540941603448, -0.3449206940659314]                  |18140.5435575953961234|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[100.64195271194313, -0.0343750500436579, -0.1476510438232745]                  |17951.5506309664087894|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[100.64195271194313, -0.0343750500436579, -0.1476510438232745]                  |17951.5506309664087894|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[100.81524022059706, 0.4334121656040367, -0.1137901486624457]                   |17777.1683146936120465|      1.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[100.81524022059706, 0.4334121656040367, -0.1137901486624457]                   |17777.1683146936120465|      0.50000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[100.81524022059706, 0.4334121656040367, -0.1137901486624457]                   |17777.1683146936120465|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[100.81524022059706, 0.4334121656040367, -0.1137901486624457]                   |17777.1683146936120465|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[100.78729754650126, 0.4343686083676989, 0.0080429017861723]                    |3648.3140318505520554|      0.25000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[100.78729754650126, 0.4343686083676989, 0.0080429017861723]                    |3648.3140318505520554|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
